"School IRN","School Name","District IRN","District Name","County","Org Type","Grade Span","Open/Closed Status as of 9/1/2014","No. Third graders enrolled at end of school year and accountable to school","Perc. Exempt from TGRG promotion threshold","No. Subject to TGRG promotion threshold","Perc. Met promotion threshold","Perc. Did not meet promotion threshold"
"025502","Morgan Elementary School","046144","Ross Local","Butler","Traditional School","K-4,P","Open","68.0","0.029411764705882353","66.0","1.0","0.0"
"019323","Kramer Elementary School","046151","Talawanda City","Butler","Traditional School","K-5,P","Open","74.0","0.04054054054054054","71.0","1.0","0.0"
"023226","Maude Marshall Elementary School","046151","Talawanda City","Butler","Traditional School","K-5,P","Open","51.0","0.0196078431372549","50.0","1.0","0.0"
"036061","Bogan Elementary","046151","Talawanda City","Butler","Traditional School","K-5","Open","55.0","0.03636363636363636","53.0","1.0","0.0"
"139337","Monroe Elementary School","139303","Monroe Local","Butler","Traditional School","2-6","Open","188.0","0.05851063829787234","177.0","0.9661016949152542","0.03389830508474576"
"132746","Summit Acdy Comm Schl for Alternative Learners of Middletown","","","Butler","Community School","K,1-10,UNG","Open","13.0","0.15384615384615385","11.0","0.9090909090909091","0.09090909090909091"
"143214","Middletown Fitness & Prep Acad","","","Butler","Community School","K-8","Open","30.0","0.0","30.0","0.7333333333333333","0.26666666666666666"
"143578","Richard Allen Academy III","","","Butler","Community School","K-8","Open","24.0","0.041666666666666664","23.0","0.9565217391304348","0.043478260869565216"
"001271","Augusta Elementary School","045278","Carrollton Exempted Village","Carroll","Traditional School","K-5,P","Open","18.0","0.0","18.0","1.0","0.0"
"005009","Carrollton Elementary School","045278","Carrollton Exempted Village","Carroll","Traditional School","K-5","Open","109.0","0.08256880733944955","100.0","0.98","0.02"
"008326","Dellroy Elementary School","045278","Carrollton Exempted Village","Carroll","Traditional School","K-5,P","Open","33.0","0.06060606060606061","31.0","0.8387096774193549","0.16129032258064516"
"022350","Malvern Elementary School","046177","Brown Local","Carroll","Traditional School","K-5","Open","37.0","0.08108108108108109","34.0","0.9705882352941176","0.029411764705882353"
"035022","South Elementary School","044941","Urbana City","Champaign","Traditional School","2-3","Open","150.0","0.11333333333333333","133.0","0.9849624060150376","0.015037593984962405"
"024018","Dohron Wilson Elementary School","045484","Mechanicsburg Exempted Village","Champaign","Traditional School","K-6","Open","59.0","0.03389830508474576","57.0","1.0","0.0"
"014035","Graham Elementary School","046193","Graham Local","Champaign","Traditional School","K-5,P","Open","153.0","0.058823529411764705","144.0","1.0","0.0"
"037523","Triad Elementary School","046201","Triad Local","Champaign","Traditional School","K-4","Open","64.0","0.03125","62.0","0.967741935483871","0.03225806451612903"
"038752","West Liberty-Salem Elementary School","046219","West Liberty-Salem Local","Champaign","Traditional School","K-5","Open","75.0","0.05333333333333334","71.0","1.0","0.0"
"011470","A.B. Graham Academy","","","Champaign","Community School","K-12","Closed","12.0","0.0","12.0","0.9166666666666666","0.08333333333333333"
"010421","Keifer Academy","044818","Springfield City","Clark","Traditional School","K-12","Open","--","--","--","--","--"
"012740","Fulton Elementary School","044818","Springfield City","Clark","Traditional School","K-6","Open","44.0","0.06818181818181818","41.0","0.8780487804878049","0.12195121951219512"
"018820","Kenton Elementary School","044818","Springfield City","Clark","Traditional School","K-6","Open","58.0","0.1206896551724138","51.0","0.9803921568627451","0.0196078431372549"
"018895","Kenwood Elementary","044818","Springfield City","Clark","Traditional School","K-6","Open","44.0","0.13636363636363635","38.0","1.0","0.0"
"019430","Lagonda Elementary School","044818","Springfield City","Clark","Traditional School","K-6","Open","40.0","0.1","36.0","0.9722222222222222","0.027777777777777776"
"020792","Lincoln Elementary School","044818","Springfield City","Clark","Traditional School","K-6","Open","48.0","0.2916666666666667","34.0","0.8529411764705882","0.14705882352941177"
"022459","Mann Elementary School","044818","Springfield City","Clark","Traditional School","K-6","Open","46.0","0.06521739130434782","43.0","0.9534883720930233","0.046511627906976744"
"029652","Perrin Woods Elementary School","044818","Springfield City","Clark","Traditional School","K-6","Open","42.0","0.11904761904761904","37.0","0.972972972972973","0.02702702702702703"
"034801","Snowhill Elementary School","044818","Springfield City","Clark","Traditional School","K-6","Open","59.0","0.03389830508474576","57.0","0.9649122807017544","0.03508771929824561"
"034827","Snyder Park Elementary School","044818","Springfield City","Clark","Traditional School","K-6","Open","42.0","0.047619047619047616","40.0","0.975","0.025"
"039180","Warder Park-Wayne Elementary School","044818","Springfield City","Clark","Traditional School","K-6","Open","69.0","0.10144927536231885","62.0","0.967741935483871","0.03225806451612903"
"010611","Enon Elementary School","046235","Greenon Local","Clark","Traditional School","K-4","Open","73.0","0.0410958904109589","70.0","1.0","0.0"
"017202","Hustead Elementary School","046235","Greenon Local","Clark","Traditional School","K-4","Open","45.0","0.044444444444444446","43.0","1.0","0.0"
"029140","Park Layne Elementary School","046243","Tecumseh Local","Clark","Traditional School","2-3","Open","184.0","0.03804347826086957","177.0","0.9774011299435028","0.022598870056497175"
"040741","New Carlisle Elementary School","046243","Tecumseh Local","Clark","Traditional School","4-5","Open","--","--","--","--","--"
"061705","Northridge Elementary School","046250","Northeastern Local","Clark","Traditional School","K-5","Open","65.0","0.03076923076923077","63.0","1.0","0.0"
"061713","South Vienna Elementary School","046250","Northeastern Local","Clark","Traditional School","K-5","Open","87.0","0.10344827586206896","78.0","0.9871794871794872","0.01282051282051282"
"066407","Rolling Hills Elementary School","046250","Northeastern Local","Clark","Traditional School","K-5","Open","85.0","0.023529411764705882","83.0","0.9879518072289156","0.012048192771084338"
"027870","Northwestern Elementary School","046268","Northwestern Local","Clark","Traditional School","K-6,P","Open","112.0","0.03571428571428571","108.0","1.0","0.0"
"030106","Miami View Elementary School","046276","Southeastern Local","Clark","Traditional School","K-6","Open","57.0","0.07017543859649122","53.0","1.0","0.0"
"030593","Possum Elementary School","046284","Clark-Shawnee Local","Clark","Traditional School","K-5","Open","52.0","0.057692307692307696","49.0","1.0","0.0"
"031302","Reid Elementary School","046284","Clark-Shawnee Local","Clark","Traditional School","K-5","Open","50.0","0.0","50.0","1.0","0.0"
"032201","Rockway Elementary School","046284","Clark-Shawnee Local","Clark","Traditional School","K-5,P","Open","23.0","0.0","23.0","1.0","0.0"
"000510","Springfield Preparatory and Fitness Academy","","","Clark","Community School","K-8","Open","17.0","0.23529411764705882","13.0","1.0","0.0"
"132787","Springfield Academy of Excellence","","","Clark","Community School","K-6","Open","30.0","0.0","30.0","0.6666666666666666","0.3333333333333333"
"030270","Charles L Seipelt Elementary School","045500","Milford Exempted Village","Clermont","Traditional School","K-6","Open","54.0","0.0","54.0","1.0","0.0"
"084970","Boyd E Smith Elementary School","045500","Milford Exempted Village","Clermont","Traditional School","K-6","Open","65.0","0.03076923076923077","63.0","1.0","0.0"
"151928","Mulberry Elementary School","045500","Milford Exempted Village","Clermont","Traditional School","K-6","Open","83.0","0.0","83.0","1.0","0.0"
