"County","IRN","Organization Name","Student Count","Student Count At or Above 392","Percentage"
"Carroll","046177","Brown Local","35.0","34.0","0.9714285714285714"
"Champaign","046193","Graham Local","158.0","142.0","0.8987341772151899"
"Champaign","046201","Triad Local","70.0","60.0","0.8571428571428571"
"Champaign","046219","West Liberty-Salem Local","75.0","72.0","0.96"
"Clark","046235","Greenon Local","123.0","118.0","0.959349593495935"
"Clark","046243","Tecumseh Local","208.0","175.0","0.8413461538461539"
"Clark","046250","Northeastern Local","242.0","220.0","0.9090909090909091"
"Clark","046268","Northwestern Local","113.0","108.0","0.9557522123893806"
"Clark","046276","Southeastern Local","54.0","53.0","0.9814814814814815"
"Clark","046284","Clark-Shawnee Local","130.0","124.0","0.9538461538461539"
"Clermont","046300","Batavia Local","160.0","152.0","0.95"
"Clermont","046318","Bethel-Tate Local","118.0","111.0","0.940677966101695"
"Clermont","046326","Clermont Northeastern Local","101.0","95.0","0.9405940594059405"
"Clermont","046334","Felicity-Franklin Local","83.0","72.0","0.8674698795180723"
"Clermont","046342","Goshen Local","199.0","183.0","0.9195979899497487"
"Clermont","046359","West Clermont Local","656.0","604.0","0.9207317073170732"
"Clermont","046367","Williamsburg Local","74.0","72.0","0.972972972972973"
"Clinton","046383","Blanchester Local","141.0","130.0","0.9219858156028369"
"Clinton","046391","Clinton-Massie Local","143.0","120.0","0.8391608391608392"
"Clinton","046409","East Clinton Local","109.0","96.0","0.8807339449541285"
"Columbiana","046425","Beaver Local","122.0","115.0","0.9426229508196722"
"Columbiana","046433","Crestview Local","103.0","100.0","0.970873786407767"
"Columbiana","046441","Southern Local","61.0","53.0","0.8688524590163934"
"Columbiana","046458","United Local","93.0","84.0","0.9032258064516129"
"Coshocton","046474","Ridgewood Local","114.0","95.0","0.8333333333333334"
"Coshocton","046482","River View Local","167.0","150.0","0.8982035928143712"
"Crawford","046508","Buckeye Central Local","46.0","41.0","0.8913043478260869"
"Crawford","046516","Colonel Crawford Local","65.0","62.0","0.9538461538461539"
"Crawford","046524","Wynford Local","87.0","79.0","0.9080459770114943"
"Cuyahoga","046557","Cuyahoga Heights Local","66.0","64.0","0.9696969696969697"
"Cuyahoga","046565","Independence Local","65.0","65.0","1.0"
"Cuyahoga","046573","Olmsted Falls City","261.0","247.0","0.946360153256705"
"Cuyahoga","046581","Orange City","147.0","132.0","0.8979591836734694"
"Cuyahoga","046599","Richmond Heights Local","52.0","43.0","0.8269230769230769"
"Cuyahoga","046607","Solon City","349.0","340.0","0.9742120343839542"
"Darke","046623","Ansonia Local","57.0","56.0","0.9824561403508771"
"Darke","046631","Arcanum-Butler Local","83.0","77.0","0.927710843373494"
"Darke","046649","Franklin Monroe Local","38.0","37.0","0.9736842105263158"
"Darke","046672","Mississinawa Valley Local","48.0","42.0","0.875"
"Darke","046680","Tri-Village Local","71.0","61.0","0.8591549295774648"
"Defiance","046706","Ayersville Local","42.0","42.0","1.0"
"Defiance","046714","Central Local","73.0","69.0","0.9452054794520548"
"Defiance","046722","Northeastern Local","82.0","76.0","0.926829268292683"
"Delaware","046748","Big Walnut Local","253.0","238.0","0.9407114624505929"
"Delaware","046755","Buckeye Valley Local","147.0","137.0","0.9319727891156463"
"Delaware","046763","Olentangy Local","1560.0","1530.0","0.9807692307692307"
"Erie","046789","Edison Local (formerly Berlin-Milan)","104.0","92.0","0.8846153846153846"
"Erie","046805","Margaretta Local","97.0","88.0","0.9072164948453608"
"Erie","046813","Perkins Local","157.0","147.0","0.9363057324840764"
"Erie","046821","Vermilion Local","141.0","126.0","0.8936170212765957"
"Fairfield","046847","Amanda-Clearcreek Local","119.0","114.0","0.957983193277311"
"Fairfield","046854","Berne Union Local","66.0","63.0","0.9545454545454546"
"Fairfield","046862","Bloom-Carroll Local","144.0","134.0","0.9305555555555556"
"Fairfield","046870","Fairfield Union Local","125.0","108.0","0.864"
"Fairfield","046888","Liberty Union-Thurston Local","104.0","100.0","0.9615384615384616"
"Fairfield","046896","Pickerington Local","755.0","712.0","0.9430463576158941"
"Fairfield","046904","Walnut Township Local","46.0","44.0","0.9565217391304348"
"Fayette","046920","Miami Trace Local","208.0","182.0","0.875"
"Franklin","046946","Canal Winchester Local","278.0","258.0","0.9280575539568345"
"Franklin","046953","Hamilton Local","215.0","178.0","0.827906976744186"
"Franklin","046961","Gahanna-Jefferson City","542.0","506.0","0.933579335793358"
"Franklin","046979","Groveport Madison Local","476.0","383.0","0.8046218487394958"
"Franklin","046995","New Albany-Plain Local","410.0","383.0","0.9341463414634147"
"Franklin","047001","Reynoldsburg City","512.0","471.0","0.919921875"
"Franklin","047019","Hilliard City","1167.0","1066.0","0.9134532990574121"
"Franklin","047027","Dublin City","1118.0","1056.0","0.9445438282647585"
"Fulton","047043","Archbold-Area Local","96.0","86.0","0.8958333333333334"
"Fulton","047050","Evergreen Local","89.0","83.0","0.9325842696629213"
"Fulton","047068","Fayette Local","20.0","19.0","0.95"
"Fulton","047076","Pettisville Local","34.0","32.0","0.9411764705882353"
"Fulton","047084","Pike-Delta-York Local","95.0","90.0","0.9473684210526315"
"Fulton","047092","Swanton Local","89.0","79.0","0.8876404494382022"
"Geauga","047167","Berkshire Local","68.0","63.0","0.9264705882352942"
"Geauga","047175","Cardinal Local","89.0","81.0","0.9101123595505618"
"Geauga","047183","Chardon Local","234.0","230.0","0.9829059829059829"
"Geauga","047191","Kenston Local","207.0","198.0","0.9565217391304348"
"Geauga","047209","Ledgemont Local","28.0","22.0","0.7857142857142857"
"Geauga","047217","Newbury Local","31.0","30.0","0.967741935483871"
"Geauga","047225","West Geauga Local","138.0","129.0","0.9347826086956522"
"Greene","047241","Beavercreek City","555.0","540.0","0.972972972972973"
"Greene","047258","Cedar Cliff Local","38.0","37.0","0.9736842105263158"
"Greene","047266","Greeneview Local","96.0","89.0","0.9270833333333334"
"Greene","047274","Bellbrook-Sugarcreek Local School District","192.0","183.0","0.953125"
"Guernsey","047308","Rolling Hills Local","122.0","95.0","0.7786885245901639"
"Hamilton","047332","Finneytown Local","99.0","88.0","0.8888888888888888"
"Hamilton","047340","Forest Hills Local","546.0","517.0","0.9468864468864469"
"Hamilton","047365","Northwest Local","688.0","586.0","0.8517441860465116"
"Hamilton","047373","Oak Hills Local","554.0","530.0","0.9566787003610109"
"Hamilton","047381","Southwest Local","277.0","267.0","0.9638989169675091"
"Hamilton","047399","Three Rivers Local","169.0","161.0","0.9526627218934911"
"Hancock","047415","Arcadia Local","43.0","38.0","0.8837209302325582"
"Hancock","047423","Arlington Local","33.0","31.0","0.9393939393939394"
"Hancock","047431","Cory-Rawson Local","43.0","40.0","0.9302325581395349"
"Hancock","047449","Liberty-Benton Local","98.0","95.0","0.9693877551020408"
"Hancock","047456","McComb Local","45.0","44.0","0.9777777777777777"
"Hancock","047464","Van Buren Local","80.0","79.0","0.9875"
"Hancock","047472","Vanlue Local","20.0","17.0","0.85"
"Hardin","047498","Hardin Northern Local","32.0","32.0","1.0"
"Hardin","047506","Ridgemont Local","43.0","38.0","0.8837209302325582"
"Hancock","047514","Riverdale Local","76.0","68.0","0.8947368421052632"
"Hardin","047522","Upper Scioto Valley Local","31.0","25.0","0.8064516129032258"
"Harrison","047548","Conotton Valley Union Local","40.0","35.0","0.875"
"Henry","047571","Holgate Local","29.0","29.0","1.0"
"Henry","047589","Liberty Center Local","78.0","69.0","0.8846153846153846"
"Henry","047597","Patrick Henry Local","59.0","55.0","0.9322033898305084"
"Highland","047613","Bright Local","54.0","50.0","0.9259259259259259"
"Highland","047621","Fairfield Local","75.0","73.0","0.9733333333333334"
"Highland","047639","Lynchburg-Clay Local","96.0","91.0","0.9479166666666666"
"Holmes","047688","East Holmes Local","166.0","154.0","0.927710843373494"
"Holmes","047696","West Holmes Local","171.0","161.0","0.9415204678362573"
"Huron","047712","Monroeville Local","49.0","41.0","0.8367346938775511"
"Huron","047720","New London Local","72.0","54.0","0.75"
"Huron","047738","South Central Local","64.0","62.0","0.96875"
"Huron","047746","Western Reserve Local","83.0","79.0","0.9518072289156626"
"Jackson","047761","Oak Hill Union Local","95.0","83.0","0.8736842105263158"
"Jefferson","047787","Buckeye Local","133.0","121.0","0.9097744360902256"
"Jefferson","047795","Edison Local","121.0","112.0","0.9256198347107438"
