"IRN","Local Education Agency Name","Org Type","Operating Expenditures","Instruction","Pupil Support","Staff Support","Administration","Operations Support","Operating EPP","Instruction EPP","Pupil Support EPP","Staff Support EPP","Administration EPP","Operations Support EPP","Operating EPEP","Instruction EPEP","Pupil Support EPEP","Staff Support EPEP","Administration EPEP","Operations Support EPEP"
"048090","Riverside Local","Public District","6830266.759999999","4158716.929999999","188593.70999999993","208038.16999999998","730460.24","1544457.7100000002","9648.748052651348","5874.794248865573","266.41612341723425","293.8842593118062","1031.8816330153463","2181.7717880413893","8376.365045347362","5100.083547241468","231.28375738817806","255.12966279607394","895.8071238424144","1894.060954079228"
"012040","Road to Success Academy","Community School","989104.42","600582.56","0.0","0.0","226173.39999999997","162348.46000000002","8482.671277588597","5150.663902131416","0.0","0.0","1939.6886366502706","1392.3187388069114","7299.650007726532","4432.335353171731","0.0","0.0","1669.1732719762142","1198.1413825785862"
"047944","Rock Hill Local","Public District","16979383.1","9374949.370000001","736905.6600000003","534066.24","1876070.8800000001","4457390.95","11732.361997412636","6477.873728890394","509.18481019856836","369.0274506072636","1296.3216959846134","3079.9543117317967","9340.122365995743","5157.0291909377265","405.3615491245295","293.782406802945","1032.0004845453611","2451.9487345851812"
"044701","Rocky River City","Public District","32989006.610000007","20384654.930000003","1751302.68","491596.52999999997","4725660.990000001","5635791.48","13412.547992573276","8287.917420277556","712.038150245537","199.8714944513901","1921.3417237545107","2291.3792038442825","11986.852394619698","7406.947794757095","636.3515874133165","178.6260226772325","1717.1114433306784","2047.815546441375"
"047308","Rolling Hills Local","Public District","17367871.620000005","10886610.820000004","517998.15","543377.27","2214203.8","3205681.580000001","9649.697707208492","6048.668816048352","287.8030002615392","301.9037974941116","1230.2254300145685","1781.0966633899206","8227.293355747712","5157.070643178624","245.37967754649983","257.4019604098922","1048.8852411272792","1518.5558334854177"
"009178","Romig Road Community School","Community School","5271698.5600000005","0.0","0.0","0.0","4699255.000000001","572443.56","11299.356343237838","0.0","0.0","0.0","10072.381071944701","1226.975271293139","9899.241191964995","0.0","0.0","0.0","8824.301719472265","1074.9394724927301"
"049213","Rootstown Local","Public District","10083953.249999996","5878878.999999996","575567.1300000001","249469.37","1314528.73","2065509.0200000003","8053.289575809352","4695.015317345357","459.6618660650285","199.23228788319966","1049.8145177746544","1649.5655867411124","7092.000134589416","4134.589840471036","404.7938404935828","175.45071478945397","924.5022957719144","1452.6634430634294"
"046144","Ross Local","Public District","22969458.2","14453896.46","840555.4600000001","374149.2400000001","2684294.29","4616562.749999999","8537.054354369691","5372.077070213683","312.40909504266057","139.05998002713497","997.671170879172","1715.83703820704","7735.879398668242","4867.9250020532845","283.0905113143726","126.00965040365561","904.0429563973693","1554.8112784995599"
"045609","Rossford Exempted Village","Public District","23843703.89","14016008.349999998","1767594.8900000008","859687.7200000002","3232406.93","3968006.0","13257.168910794915","7792.941524869017","982.7879146081766","477.9888798801958","1797.2276814512159","2206.2229099863093","11547.170392686334","6787.755685501612","856.0213410732667","416.334669862402","1565.4092070344918","1921.6494892145604"
"011444","Rushmore Academy","Community School","1182258.78","895711.8700000001","71194.37","0.0","150653.33999999997","64699.2","6996.142002825809","5300.470203432662","421.30025232015754","0.0","891.5071536537857","382.8643934192035","6469.691466890321","4901.6167527479665","389.597959322943","0.0","824.4224062827649","354.0543485366463"
"049817","Russia Local","Public District","3877128.84","2418598.6899999995","79359.81","71490.39","642434.88","665245.0700000001","8545.930394845098","5331.052155028084","174.92413597690296","157.57843550030958","1416.0488325945505","1466.3268357452512","7636.220260549832","4763.564245834368","156.3035467749339","140.80428767814925","1265.3111230474096","1310.2370572149705"
"012644","STEAM Academy of Warren","Community School","1613179.43","641336.3299999998","53787.28","59437.590000000004","403615.10000000003","455003.13000000006","11404.52857106225","4533.98943919413","380.25439706959634","420.1998120879113","2853.396128205123","3216.688794505489","10263.615332162157","4080.407465684463","342.2136071269511","378.1628681136655","2567.941328542828","2894.890062694248"
"044735","Salem City","Public District","17742986.429999996","11296638.919999994","686134.75","300852.1300000001","2464265.4000000004","2995095.2300000004","8531.203742845273","5431.6633006564025","329.90812287377753","144.656077353432","1184.871007301115","1440.105234660546","7383.7610131581705","4701.107244053796","285.5356417483902","125.19990571956916","1025.5064364942216","1246.4117851421934"
"044743","Sandusky City","Public District","39391931.31000001","24485866.050000012","1868114.4899999998","1361935.31","5567533.6","6108481.859999999","12786.516002648721","7948.046914053123","606.384988671553","442.08057479696447","1807.206580237216","1982.7969448898643","10673.720717847045","6634.741863645697","506.18823886305313","369.03286158564424","1508.590636645013","1655.167117107639"
"049940","Sandy Valley Local","Public District","12660548.290000001","6933981.43","1039387.24","192790.04000000004","1736960.8000000003","2757428.7800000003","8890.497449425948","4869.184399104873","729.8791011669427","135.3811319726601","1219.7296047873494","1936.3232123941214","7436.851935950305","4073.0458144746713","610.5398305775936","113.24556799316444","1020.2970670988051","1619.72365580607"
"147231","Schnee Learning Center","Community School","1140629.22","1098670.76","0.0","0.0","41783.46000000001","175.0","9428.864430590194","9082.02022905699","0.0","0.0","345.397586589083","1.446614944121179","7954.971207302985","7662.344703132968","0.0","0.0","291.4060199522997","1.2204842177180262"
"051490","Scioto County Career Technical Center","Joint Vocational School District","7284349.149999999","3909139.3799999994","455996.98000000004","252454.05999999997","1375486.8800000001","1291271.85","15177.651217123424","8145.07279195453","950.1141386806819","526.0126323059006","2865.9609374118627","2690.49071677045","11401.240427405626","6118.465358791782","713.7125220241367","395.13337096625656","2152.8699820246857","2021.0591935987661"
"049130","Scioto Valley Local","Public District","13711641.170000002","7723159.32","725579.8300000001","605532.99","1440050.04","3217318.99","9555.911815090863","5382.421293031629","505.670822648039","422.0078239961918","1003.5991330976517","2242.212742317352","8250.926327644747","4647.380847845138","436.6148186005221","364.37710318585033","866.544466913137","1936.0090911000998"
"143644","Sciotoville","Community School","2799969.0499999993","1620529.2899999996","94103.55","1585.88","483196.95","600553.3799999999","9039.085595552597","5231.523170732932","303.7926591707732","5.11966554211553","1559.89531047136","1938.7547896354156","7588.204497877539","4391.801276274927","255.03031234443256","4.297898131800434","1309.5134995691146","1627.561511557265"
"009964","Sciotoville Elementary Academy","Community School","1210516.28","815610.2599999999","19310.509999999995","0.0","297344.51","78251.00000000001","8517.31147102526","5738.713917489729","135.87064548553445","0.0","2092.1451844244384","550.5817236255573","7190.058959842313","4844.450218920077","114.69792495861728","0.0","1766.1262335814451","464.7845823821724"
"048355","Sebring Local","Public District","5797682.540000001","3345678.1300000013","169813.09000000003","29755.86","1052496.64","1199938.8200000003","9925.032671990262","5727.454809937437","290.70244097594605","50.938953736361036","1801.765354879188","2054.1711124613325","7985.0706689464305","4607.957769208686","233.88129908923236","40.982348253113614","1449.5895543167612","1652.659698078638"
"049684","Seneca East Local","Public District","8806726.52","5416066.56","157220.02","393732.94999999995","955152.4800000001","1884554.51","9073.577713148645","5580.177915158611","161.98391834844716","405.66338831335366","984.094400513604","1941.6580908146295","7834.719294698201","4818.28986998017","139.86748894830416","350.2762500138862","849.7313442673861","1676.5543414884553"
"046003","Shadyside Local","Public District","6503056.279999998","4129159.1399999983","167536.27","80711.16","983741.73","1141907.9799999997","8054.9370497092405","5114.53622863795","207.5169044043843","99.97196472194926","1218.500558374695","1414.4113935702612","7149.631290949614","4539.706273717593","184.19378624245633","88.73597432019164","1081.5515585574647","1255.4436981119077"
"044750","Shaker Heights City","Public District","86794480.60000011","46304636.15000009","6052570.949999997","4162943.320000004","11665724.210000005","18608605.97000001","16419.79068785627","8759.916854210005","1145.026128797402","787.5461375801982","2206.923164080289","3520.3784031883747","13845.555739363259","7386.569011921252","965.5131049275002","664.0775240363604","1860.9297926900006","2968.4663057881435"
