"District IRN","District Name","County","No. Third graders enrolled at end of school year and accountable to district","Perc. Exempt from TGRG promotion threshold","No. Subject to TGRG promotion threshold","Perc. Met promotion threshold","No. Did not meet promotion threshold"
"046599","Richmond Heights Local","Cuyahoga","50.0","0.12","44.0","0.9772727272727273","0.022727272727272728"
"044701","Rocky River City","Cuyahoga","207.0","0.014492753623188406","204.0","1.0","0.0"
"044750","Shaker Heights City","Cuyahoga","349.0","0.04011461318051576","335.0","0.9970149253731343","0.0029850746268656717"
"046607","Solon City","Cuyahoga","337.0","0.01483679525222552","332.0","0.9939759036144579","0.006024096385542169"
"044792","South Euclid-Lyndhurst City","Cuyahoga","243.0","0.06584362139917696","227.0","0.986784140969163","0.013215859030837005"
"044842","Strongsville City","Cuyahoga","352.0","0.017045454545454544","346.0","1.0","0.0"
"045005","Warrensville Heights City","Cuyahoga","99.0","0.21212121212121213","78.0","0.7948717948717948","0.20512820512820512"
"045062","Westlake City","Cuyahoga","247.0","0.06477732793522267","231.0","1.0","0.0"
"046623","Ansonia Local","Darke","59.0","0.03389830508474576","57.0","0.9824561403508771","0.017543859649122806"
"046631","Arcanum-Butler Local","Darke","81.0","0.012345679012345678","80.0","0.9875","0.0125"
"046649","Franklin Monroe Local","Darke","38.0","0.02631578947368421","37.0","1.0","0.0"
"044099","Greenville City","Darke","192.0","0.078125","177.0","0.9548022598870056","0.04519774011299435"
"046672","Mississinawa Valley Local","Darke","46.0","0.17391304347826086","38.0","1.0","0.0"
"046680","Tri-Village Local","Darke","69.0","0.0","69.0","0.9855072463768116","0.014492753623188406"
"045633","Versailles Exempted Village","Darke","94.0","0.02127659574468085","92.0","1.0","0.0"
"046706","Ayersville Local","Defiance","40.0","0.0","40.0","1.0","0.0"
"046714","Central Local","Defiance","71.0","0.07042253521126761","66.0","0.9848484848484849","0.015151515151515152"
"043869","Defiance City","Defiance","178.0","0.06179775280898876","167.0","0.9940119760479041","0.005988023952095809"
"045419","Hicksville Exempted Village","Defiance","67.0","0.014925373134328358","66.0","0.9696969696969697","0.030303030303030304"
"046722","Northeastern Local","Defiance","79.0","0.05063291139240506","75.0","1.0","0.0"
"046748","Big Walnut Local","Delaware","250.0","0.024","244.0","0.9836065573770492","0.01639344262295082"
"046755","Buckeye Valley Local","Delaware","145.0","0.013793103448275862","143.0","0.986013986013986","0.013986013986013986"
"043877","Delaware City","Delaware","407.0","0.05896805896805897","383.0","0.9869451697127938","0.013054830287206266"
"046763","Olentangy Local","Delaware","1536.0","0.022786458333333332","1501.0","0.9993337774816788","0.0006662225183211193"
"046789","Edison Local","Erie","100.0","0.04","96.0","0.9583333333333334","0.041666666666666664"
"044131","Huron City","Erie","94.0","0.02127659574468085","92.0","0.9782608695652174","0.021739130434782608"
"046805","Margaretta Local","Erie","99.0","0.04040404040404041","95.0","1.0","0.0"
"046813","Perkins Local","Erie","152.0","0.039473684210526314","146.0","1.0","0.0"
"044743","Sandusky City","Erie","252.0","0.04365079365079365","241.0","0.9626556016597511","0.03734439834024896"
"046821","Vermilion Local","Erie","134.0","0.05970149253731343","126.0","1.0","0.0"
"046847","Amanda-Clearcreek Local","Fairfield","117.0","0.03418803418803419","113.0","0.9911504424778761","0.008849557522123894"
"046854","Berne Union Local","Fairfield","64.0","0.046875","61.0","0.9836065573770492","0.01639344262295082"
"046862","Bloom-Carroll Local","Fairfield","135.0","0.022222222222222223","132.0","0.9696969696969697","0.030303030303030304"
"046870","Fairfield Union Local","Fairfield","118.0","0.13559322033898305","102.0","1.0","0.0"
"044206","Lancaster City","Fairfield","433.0","0.07390300230946882","401.0","0.9775561097256857","0.022443890274314215"
"046888","Liberty Union-Thurston Local","Fairfield","100.0","0.03","97.0","1.0","0.0"
"046896","Pickerington Local","Fairfield","740.0","0.05675675675675676","698.0","0.997134670487106","0.0028653295128939827"
"046904","Walnut Township Local","Fairfield","44.0","0.045454545454545456","42.0","0.9761904761904762","0.023809523809523808"
"046920","Miami Trace Local","Fayette","201.0","0.06467661691542288","188.0","0.9893617021276596","0.010638297872340425"
"045013","Washington Court House City","Fayette","183.0","0.07650273224043716","169.0","0.9585798816568047","0.04142011834319527"
"043620","Bexley City","Franklin","156.0","0.00641025641025641","155.0","0.9935483870967742","0.0064516129032258064"
"046946","Canal Winchester Local","Franklin","269.0","0.011152416356877323","266.0","1.0","0.0"
"043802","Columbus City","Franklin","3863.0","0.09681594615583743","3489.0","0.8764689022642591","0.1235310977357409"
"047027","Dublin City","Franklin","1048.0","0.042938931297709926","1003.0","0.9940179461615155","0.005982053838484547"
"046961","Gahanna-Jefferson City","Franklin","524.0","0.02862595419847328","509.0","0.9823182711198428","0.01768172888015717"
"044073","Grandview Heights City","Franklin","79.0","0.012658227848101266","78.0","1.0","0.0"
"046979","Groveport Madison Local","Franklin","414.0","0.05555555555555555","391.0","0.9667519181585678","0.03324808184143223"
