"Sponsor IRN","Sponsor Name","School IRN","School Name","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013"
"000821","Thomas B. Fordham Foundation","133504","Phoenix Community Learning Ctr","NA","NA","NA","350.15","411.28","387.26","389.05","383.55","369.47","361.46","357.61","368.55","381.07000000000005","341.39","353.65999999999997"
"000821","Thomas B. Fordham Foundation","133959","Dayton Leadership Academies-Dayton Liberty Campus","NA","568.44","815.27","981.69","1044.33","1074.68","944.42","805.16","736.94","720.23","663.5","592.3","467.63000000000005","314.33","309.09000000000003"
"000821","Thomas B. Fordham Foundation","143644","Sciotoville","NA","NA","NA","337.34","356.17","344.78","359.16","396.13","399.05","389.68","367.40000000000003","339.32","312.72999999999996","309.6","292.32"
"000862","Buckeye Community Hope Foundation","000316","Constellation Schools: Westpark Community Middle","NA","NA","NA","NA","NA","NA","NA","32.94","91.46","119.02","128.82","147.32999999999998","175.50000000000003","191.75","212.49"
"000862","Buckeye Community Hope Foundation","000320","Constellation Schools: Lorain Community Middle1","NA","NA","NA","NA","NA","NA","70.0","29.75","95.74","97.04","104.9","106.13","131.22","109.13","117.82"
"000862","Buckeye Community Hope Foundation","000321","Constellation Schools: Old Brooklyn Community Middle","NA","NA","NA","NA","NA","NA","NA","23.99","90.02","115.92","137.33","151.7","157.91","171.92","191.98"
"000862","Buckeye Community Hope Foundation","000534","Constellation Schools: Puritas Community Middle","NA","NA","NA","NA","NA","NA","NA","NA","35.06","58.67","99.81","111.4","138.4","137.07","138.48"
"000862","Buckeye Community Hope Foundation","000541","Constellation Schools: Outreach Academy for Students with Di2","NA","NA","NA","NA","NA","NA","NA","6.85","45.3","45.26","47.230000000000004","41.19","42.83","41.480000000000004","43.28"
"000862","Buckeye Community Hope Foundation","000784","Academy of Columbus","NA","NA","NA","NA","NA","NA","NA","185.94","350.91","405.06","415.82","353.47","331.35","304.4","338.09"
"000862","Buckeye Community Hope Foundation","000843","Bennett Venture Academy","NA","NA","NA","NA","NA","NA","NA","403.11","505.93","579.62","650.87","684.95","720.4399999999999","680.77","656.84"
"000862","Buckeye Community Hope Foundation","000855","Stambaugh Charter Academy","NA","NA","NA","NA","NA","NA","NA","NA","217.79","435.92","504.46","529.6999999999999","417.86","395.81","454.42"
"000862","Buckeye Community Hope Foundation","000875","Westside Academy","NA","NA","NA","NA","NA","NA","NA","NA","102.87","97.61","122.25","129.16","141.14","143.22","156.46"
"000862","Buckeye Community Hope Foundation","008278","Noble Academy-Cleveland","NA","NA","NA","NA","NA","NA","NA","NA","87.96","161.63","227.14","223.78000000000003","225.2","250.38","301.5"
"000862","Buckeye Community Hope Foundation","008280","Noble Academy-Columbus","NA","NA","NA","NA","NA","NA","NA","NA","22.01","77.56","92.55000000000001","154.47","189.51","210.75","251.64999999999998"
"000862","Buckeye Community Hope Foundation","009149","Constellation Schools: Westside Community School of the Arts","NA","NA","NA","NA","NA","NA","NA","NA","NA","83.31","112.35","167.87","215.64000000000001","279.23","341.35"
"000862","Buckeye Community Hope Foundation","009154","Cincinnati Leadership Academy","NA","NA","NA","NA","NA","NA","NA","NA","NA","29.55","141.11","166.85","206.07999999999998","229.33","242.97"
"000862","Buckeye Community Hope Foundation","009178","Romig Road Community School","NA","NA","NA","NA","NA","NA","NA","NA","NA","252.29","414.75","512.02","496.6","487.51","453.52"
"000862","Buckeye Community Hope Foundation","009179","Horizon Science Academy Columbus Middle School","NA","NA","NA","NA","NA","NA","NA","NA","NA","159.06","170.44","277.93","319.53","332.17","424.99"
"000862","Buckeye Community Hope Foundation","009909","Constellation Schools: Mansfield Community Middle","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","36.11000000000001","59.01","85.95","111.06","124.43"
"000862","Buckeye Community Hope Foundation","009990","Horizon Science Academy Elementary School","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","202.44","298.01","322.48","381.42","495.33"
"000862","Buckeye Community Hope Foundation","010005","Horizon Science Academy Cleveland Elementary School","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","138.26","147.2","143.98000000000002","168.02","153.93"
"000862","Buckeye Community Hope Foundation","010006","Knight Academy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","77.45","96.26","187.75","198.56","163.6"
"000862","Buckeye Community Hope Foundation","010007","Horizon Science Academy Denison Elementary School","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","122.46000000000001","127.01","167.09","181.72","207.59"
"000862","Buckeye Community Hope Foundation","010205","L. Hollingworth School for Talented and Gifted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","91.91","176.3","191.98000000000002","205.32"
"000862","Buckeye Community Hope Foundation                           ","011507","Achieve Career Preparatory Academy                          ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","222.51999999999998","248.25000000000003","222.66","196.95"
"000862","Buckeye Community Hope Foundation","011533","Horizon Science Academy Lorain","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","127.38999999999999","185.92999999999998","319.15999999999997","412.90999999999997"
"000862","Buckeye Community Hope Foundation","011534","Horizon Science Academy Dayton High School","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","247.47","255.64000000000001","240.14","348.32"
"000862","Buckeye Community Hope Foundation","011976","Horizon Science Academy Dayton Downtown","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","137.67000000000002","174.75","210.86999999999998"
"000862","Buckeye Community Hope Foundation","011986","Horizon Science Academy Youngstown","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","195.36","304.98","377.92999999999995"
"000862","Buckeye Community Hope Foundation","011987","Horizon Science Academy Toledo Downtown","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","108.02","209.68","296.91"
"000862","Buckeye Community Hope Foundation","012011","Columbus Performance Academy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","63.61","130.95","160.33"
"000862","Buckeye Community Hope Foundation","012025","Constellation Schools: Stockyard Community Middle","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","51.04","67.06","81.97"
"000862","Buckeye Community Hope Foundation","012026","Constellation Schools: Collinwood Village Academy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","58.760000000000005","79.25"
