"Sponsor IRN","Sponsor Name","School Year","N of Schools - General Education Schools","N of Schools - Special Education Schools","N of Schools - Dropout Recovery Schools","Sponsors Aggregate PI Score - Based on General Education Community Schools","Sponsor Prohibited from Sponsoring Additional Schools in School Year 			2014-2015 Due to Poor Academic Performance and/or Noncompliance with 			Reporting Requirements","Overall Value-Added Grade - General Education Schools - A","Overall Value-Added Grade - General Education Schools - B","Overall Value-Added Grade - General Education Schools - C","Overall Value-Added Grade - General Education Schools - D","Overall Value-Added Grade - General Education Schools - F","Overall Value-Added Grade - General Education Schools - NA","Overall Value-Added Grade - Special Education Schools - A","Overall Value-Added Grade - Special Education Schools - B","Overall Value-Added Grade - Special Education Schools - C","Overall Value-Added Grade - Special Education Schools - D","Overall Value-Added Grade - Special Education Schools - F","Overall Value-Added Grade - Special Education Schools - NA","Performance Index Grade - General Education Schools - A","Performance Index Grade - General Education Schools - B","Performance Index Grade - General Education Schools - C","Performance Index Grade - General Education Schools - D","Performance Index Grade - General Education Schools - F","Performance Index Grade - General Education Schools - NA","Performance Index Grade - Special Education Schools - A","Performance Index Grade - Special Education Schools - B","Performance Index Grade - Special Education Schools - C","Performance Index Grade - Special Education Schools - D","Performance Index Grade - Special Education Schools - F","Performance Index Grade - Special Education Schools - NA","Indicators Met Grade - General Education Schools - A","Indicators Met Grade - General Education Schools - B","Indicators Met Grade - General Education Schools - C","Indicators Met Grade - General Education Schools - D","Indicators Met Grade - General Education Schools - F","Indicators Met Grade - General Education Schools - NA","Indicators Met Grade - Special Education Schools - A","Indicators Met Grade - Special Education Schools - B","Indicators Met Grade - Special Education Schools - C","Indicators Met Grade - Special Education Schools - D","Indicators Met Grade - Special Education Schools - F","Indicators Met Grade - Special Education Schools - NA","AMO Grade - General Education Schools - A","AMO Grade - General Education Schools - B","AMO Grade - General Education Schools - C","AMO Grade - General Education Schools - D","AMO Grade - General Education Schools - F","AMO Grade - General Education Schools - NA","AMO Grade - Special Education Schools - A","AMO Grade - Special Education Schools - B","AMO Grade - Special Education Schools - C","AMO Grade - Special Education Schools - D","AMO Grade - Special Education Schools - F","AMO Grade - Special Education Schools - NA","Four Year Graduation Grade - General Education Schools - A","Four Year Graduation Grade - General Education Schools - B","Four Year Graduation Grade - General Education Schools - C","Four Year Graduation Grade - General Education Schools - D","Four Year Graduation Grade - General Education Schools - F","Four Year Graduation Grade - General Education Schools - NA","Four Year Graduation Grade - Special Education Schools - A","Four Year Graduation Grade - Special Education Schools - B","Four Year Graduation Grade - Special Education Schools - C","Four Year Graduation Grade - Special Education Schools - D","Four Year Graduation Grade - Special Education Schools - F","Four Year Graduation Grade - Special Education Schools - NA","Five Year Graduation Grade - General Education Schools - A","Five Year Graduation Grade - General Education Schools - B","Five Year Graduation Grade - General Education Schools - C","Five Year Graduation Grade - General Education Schools - D","Five Year Graduation Grade - General Education Schools - F","Five Year Graduation Grade - General Education Schools - NA","Five Year Graduation Grade - Special Education Schools - A","Five Year Graduation Grade - Special Education Schools - B","Five Year Graduation Grade - Special Education Schools - C","Five Year Graduation Grade - Special Education Schools - D","Five Year Graduation Grade - Special Education Schools - F","Five Year Graduation Grade - Special Education Schools - NA"
"046805","Margaretta Local                                            ","2012-2013","0.0","0.0","1.0","NA","Prohibited","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"044339","Marion City                                                 ","2012-2013","0.0","0.0","2.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"044354","Massillon City                                              ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"048850","Maysville Local","2012-2013","1.0","0.0","1.0","70.52","Prohibited","1.0","0.0","0.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA"
"044396","Miamisburg City                                             ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"123521","Mid-Ohio ESC                                                ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"048660","Montgomery County ESC                                       ","2012-2013","0.0","0.0","3.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"045534","Mount Gilead Exempted Village                               ","2012-2013","0.0","0.0","1.0","NA","Prohibited","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"044487","New Philadelphia City                                       ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"044453","Newark City","2012-2013","1.0","0.0","1.0","91.98","Permitted","1.0","0.0","0.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","1.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA"
