"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 8/20/2013)","Feeder IRN","School Type","Limited English Proficiency","Read 3rd grade 2012-13 % proficient or above","Math 3rd grade 2012-13 % proficient or above","Read 4th Grade 2012-13 % proficient or above","Math 4th Grade 2012-13 % proficient or above","Read 5th grade 2012-13 % proficient or above","Math 5th grade 2012-13 % proficient or above","Science 5th grade 2012-13 % proficient or above","Read 6th Grade 2012-13 % proficient or above","Math 6th Grade 2012-13 % proficient or above","Read 7th Grade 2012-13 % proficient or above","Math 7th Grade 2012-13 % proficient or above","Read 8th Grade 2012-13 % proficient or above","Math 8th Grade 2012-13 % proficient or above","Science 8th grade 2012-13 % proficient or above","Read OGT 2012-13 % proficient or above","Math OGT 2012-13 % proficient or above","Write OGT 2012-13 % proficient or above","Social Studies OGT 2012-13 % proficient or above","Science OGT 2012-13 % proficient or above","Read 11th grade 2012-13 % at or above proficient","Math 11th grade 2012-13 % at or above proficient","Write 11th grade 2012-13 % at or above proficient","Social Studies 11th grade 2012-13 % at or above proficient","Science 11th grade 2012-13 % at or above proficient","Attendance rate 2012-13","	2012 4-Year Longitudinal Graduation Rate - Class of 2012","	2012 5-Year Longitudinal Graduation Rate - Class of 2011","Enrollment","% of total enrollment"
"000125","Polly Fox Academy Community School","000125","Polly Fox Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000130","Phoenix Academy Community School","000130","Phoenix Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000131","Glass City Academy","000131","Glass City Academy","Lucas","Region 1","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000135","South Vienna Middle School","046250","Northeastern Local","Clark","Region 10","Open","027656","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000137","Northridge Middle School","046250","Northeastern Local","Clark","Region 10","Open","068577","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000138","Pathway School of Discovery","000138","Pathway School of Discovery","Montgomery","Region 10","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000139","Alliance Academy of Cincinnati","000139","Alliance Academy of Cincinnati","Hamilton","Region 13","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000141","Addaville Elementary School","065680","Gallia County Local","Gallia","Region 16","Open","002683","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000162","Newark Digital Academy","000162","Newark Digital Academy","Licking","Region 11","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000177","Fairland West Elementary School","047936","Fairland Local","Lawrence","Region 15","Open","011122","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000178","Early Childhood Center","044545","North Royalton City","Cuyahoga","Region 3","Open","000265","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","18","8.9"
"000187","Centerburg Middle School","047829","Centerburg Local","Knox","Region 7","Open","005298","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000190","Buckeye West Elementary School","047787","Buckeye Local","Jefferson","Region 12","Open","039214","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000195","Hope Academy East Campus","000195","Hope Academy East Campus","Cuyahoga","Region 3","Closed","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000197","Hamilton Alternative Academy","000197","Hamilton Alternative Academy","Franklin","Region 11","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000208","Adena High School","049494","Adena Local","Ross","Region 15","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000222","Wildwood Environmental Academy","000222","Wildwood Environmental Academy","Lucas","Region 1","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000224","Adlai Stevenson School","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","018382","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000231","Unioto Elementary","049536","Union-Scioto Local","Ross","Region 15","Open","065532","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000232","Adrian Elementary School","044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","Open","014613","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11","3.8"
"000234","Ella P. Stewart Academy for Girls","044909","Toledo City","Lucas","Region 1","Open","008262","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000236","Ohio Connections Academy, Inc","000236","Ohio Connections Academy, Inc","Cuyahoga","Region 3","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000241","Quaker Digital Academy","000241","Quaker Digital Academy","Tuscarawas","Region 12","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000242","North Union Elementary School","050336","North Union Local","Union","Region 11","Open","026385","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000251","Early Childhood Development","043786","Cleveland Municipal","Cuyahoga","Region 3","Closed","023069","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000257","Alexander Elementary School","045906","Alexander Local","Athens","Region 16","Open","000315","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000265","Albion Elementary School","044545","North Royalton City","Cuyahoga","Region 3","Open","099416","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","29","7.9"
"000270","Main Street School","044560","Norwalk City","Huron","Region 2","Open","028050","Elementary School","LEP","--","--","--","--","--","--","--","93.3","73.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","25","5.8"
"000277","Scholarts Preparatory and Career Center for Children","000277","Scholarts Preparatory and Career Center for Children","Franklin","Region 11","Closed","------","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000282","Greater Ohio Virtual School","050401","Warren County ESC","Warren","Region 13","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000288","Auglaize County Educational Academy","000288","Auglaize County Educational Academy","Allen","Region 6","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000291","Malvern Middle School","046177","Brown Local","Carroll","Region 12","Open","022368","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000296","Summit Academy Community School-Columbus","000296","Summit Academy Community School-Columbus","Franklin","Region 11","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000297","Summit Academy Community School - Dayton","000297","Summit Academy Community School - Dayton","Montgomery","Region 10","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000298","Summit Academy Secondary - Akron","000298","Summit Academy Secondary - Akron","Summit","Region 8","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000300","Summit Academy Secondary - Canton","000300","Summit Academy Secondary - Canton","Stark","Region 9","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000301","Summit Academy Secondary - Lorain","000301","Summit Academy Secondary - Lorain","Lorain","Region 2","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000302","Summit Academy Community School-Parma","000302","Summit Academy Community School-Parma","Cuyahoga","Region 3","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000303","Summit Academy Secondary - Youngstown","000303","Summit Academy Secondary - Youngstown","Mahoning","Region 5","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000304","Summit Academy Community School-Toledo","000304","Summit Academy Community School-Toledo","Lucas","Region 1","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000305","Summit Academy Community School-Warren","000305","Summit Academy Community School-Warren","Trumbull","Region 5","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000306","Summit Academy Community School - Cincinnati","000306","Summit Academy Community School - Cincinnati","Hamilton","Region 13","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000311","Bridges Community Academy","049684","Seneca East Local","Seneca","Region 1","Open","******","Community School Conversion","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000315","Alexander Jr. / Sr. High School","045906","Alexander Local","Athens","Region 16","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000316","Constellation Schools: Westpark Community Middle","000316","Constellation Schools: Westpark Community Middle","Cuyahoga","Region 3","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000318","Menlo Park Academy","000318","Menlo Park Academy","Cuyahoga","Region 3","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000319","Constellation Schools: Madison Community Elementary","000319","Constellation Schools: Madison Community Elementary","Cuyahoga","Region 3","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000320","Constellation Schools: Lorain Community Middle","000320","Constellation Schools: Lorain Community Middle","Lorain","Region 2","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000321","Constellation Schools: Old Brooklyn Community Middle","000321","Constellation Schools: Old Brooklyn Community Middle","Cuyahoga","Region 3","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000338","Horizon Science Academy Toledo","000338","Horizon Science Academy Toledo","Lucas","Region 1","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000342","Youngstown Virtual Academy","045161","Youngstown City Schools","Mahoning","Region 5","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000345","Elmwood Elementary School","050682","Elmwood Local","Wood","Region 1","Open","007963","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000348","Palm Elementary School","044263","Lorain City","Lorain","Region 2","Open","000841","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000349","Upper Scioto Valley Middle School","047522","Upper Scioto Valley Local","Hardin","Region 6","Open","037960","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000350","Granger Elementary School","048496","Highland Local","Medina","Region 8","Open","024497","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000351","Ulysses S. Grant Middle School","044339","Marion City","Marion","Region 7","Open","015214","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000352","William McKinley Elementary School","044339","Marion City","Marion","Region 7","Open","000351","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000356","Genoa Elementary","048942","Genoa Area Local","Ottawa","Region 1","Open","013250","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000360","Miamisburg Secondary Academy","000360","Miamisburg Secondary Academy","Montgomery","Region 10","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000362","Bridges Learning Center","043489","Akron City","Summit","Region 8","Open","009498","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000363","Akron Alternative Academy","043489","Akron City","Summit","Region 8","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000364","Allen East High School","045757","Allen East Local","Allen","Region 6","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000382","Crestwood Primary School","049189","Crestwood Local","Portage","Region 8","Open","000383","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000383","Crestwood Intermediate School","049189","Crestwood Local","Portage","Region 8","Open","040485","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000384","Chieftain Elementary School","044248","Logan-Hocking Local","Hocking","Region 16","Open","112573","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000385","Hocking Hills Elementary School","044248","Logan-Hocking Local","Hocking","Region 16","Open","112573","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000387","Central Elementary School","044248","Logan-Hocking Local","Hocking","Region 16","Open","112573","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000388","Gateway Elementary School","043810","Conneaut Area City","Ashtabula","Region 5","Open","032813","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000389","Lakeshore Primary Elementary School","043810","Conneaut Area City","Ashtabula","Region 5","Open","000388","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000392","Mansfield Enhancement Academy","000392","Mansfield Enhancement Academy","Richland","Region 7","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000396","Mansfield Elective Academy","044297","Mansfield City","Richland","Region 7","Open","******","Community School Conversion","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000398","Allen Elementary School","043745","Chillicothe City","Ross","Region 15","Open","034736","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000400","Mapleton Elementary School","045831","Mapleton Local","Ashland","Region 7","Open","012410","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000402","Findlay Digital Academy","000402","Findlay Digital Academy","Hancock","Region 1","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000406","Allen Elementary School","043711","Canton City","Stark","Region 9","Open","015495","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000417","Buckeye On-Line School for Success","000417","Buckeye On-Line School for Success","Columbiana","Region 9","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000420","Columbus Bilingual Academy","000420","Columbus Bilingual Academy","Franklin","Region 11","Open","******","Community School Startup","LEP","83.3","75.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.5","--","--","71","69.6"
"000426","Lancaster Fairfield Community School","000426","Lancaster Fairfield Community School","Fairfield","Region 11","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000429","Jackson Westview Elementary School","044156","Jackson City","Jackson","Region 16","Open","020453","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000435","Eastgate Elementary School","043802","Columbus City","Franklin","Region 11","Open","005827","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000445","General Chappie James Leadership Academy","000445","General Chappie James Leadership Academy","Montgomery","Region 10","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000448","Allen East Elementary School","045757","Allen East Local","Allen","Region 6","Open","000364","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000450","Manchester High School","000442","Manchester Local","Adams","Region 14","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000451","Manchester Elementary School","000442","Manchester Local","Adams","Region 14","Open","000450","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000455","West Elementary","050393","Vinton County Local","Vinton","Region 16","Open","111526","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000463","Alliance High School","043497","Alliance City","Stark","Region 9","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000470","Independence Elementary School","044222","Lima City","Allen","Region 6","Open","005660","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000471","Sharpsburg Primary","044578","Norwood City","Hamilton","Region 13","Open","034173","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","17","8.1"
"000472","Liberty Arts Magnet K-8","044222","Lima City","Allen","Region 6","Open","008298","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000475","Bluestone Elementary School","043950","Euclid City","Cuyahoga","Region 3","Open","011965","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000481","P.A.C.E. High School","000481","P.A.C.E. High School","Hamilton","Region 13","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000489","Almira","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","004895","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11","3.5"
"000491","Bowman Primary School","044214","Lebanon City","Warren","Region 13","Open","095679","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","29","3.6"
"000493","Lebanon Junior High","044214","Lebanon City","Warren","Region 13","Open","020032","Junior High School","LEP","--","--","--","--","--","--","--","--","--","45.5","81.8","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","18","2.0"
"000497","Alpine Elementary School","043802","Columbus City","Franklin","Region 11","Open","042184","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","73","14.4"
"000501","Ripley Union Lewis Huntington Middle School","046078","Ripley-Union-Lewis-Huntington Local","Brown","Region 14","Open","031815","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000505","Alton Hall Elementary School","044800","South-Western City","Franklin","Region 11","Open","138735","Elementary School","LEP","68.4","68.4","87.0","69.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","100","21.7"
"000509","Whitehall Preparatory and Fitness Academy","000509","Whitehall Preparatory and Fitness Academy","Franklin","Region 11","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","16","5.8"
"000510","Springfield Preparatory and Fitness Academy","000510","Springfield Preparatory and Fitness Academy","Clark","Region 10","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000511","Northland Preparatory and Fitness Academy","000511","Northland Preparatory and Fitness Academy","Franklin","Region 11","Open","******","Community School Startup","LEP","33.3","33.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","50","20.4"
