"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Gifted ","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"000125","Polly Fox Academy Community School","000125","Polly Fox Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000130","Phoenix Academy Community School","000130","Phoenix Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000131","Glass City Academy","000131","Glass City Academy","Lucas","Region 1","Open","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000135","South Vienna Middle School","046250","Northeastern Local","Clark","Region 10","Open","027656","Middle School","Gifted","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","28","9.0"
"000137","Northridge Middle School","046250","Northeastern Local","Clark","Region 10","Open","068577","Middle School","Gifted","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","42","8.6"
"000138","Pathway School of Discovery","000138","Pathway School of Discovery","Montgomery","Region 10","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000139","Alliance Academy of Cincinnati","000139","Alliance Academy of Cincinnati","Hamilton","Region 13","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000141","Addaville Elementary School","065680","Gallia County Local","Gallia","Region 16","Open","002683","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","31","9.3"
"000162","Newark Digital Academy","000162","Newark Digital Academy","Licking","Region 11","Open","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000177","Fairland West Elementary School","047936","Fairland Local","Lawrence","Region 15","Open","011122","Elementary School","Gifted","--","--","--","--",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","10","2.7"
"000178","Early Childhood Center","044545","North Royalton City","Cuyahoga","Region 3","Open","000265","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000187","Centerburg Middle School","047829","Centerburg Local","Knox","Region 7","Open","005298","Middle School","Gifted","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","70","27.3"
"000190","Buckeye West Elementary School","047787","Buckeye Local","Jefferson","Region 12","Open","039214","Elementary School","Gifted","--","--","--","--","--","--","--",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","34","11.4"
"000197","Hamilton Alternative Academy","000197","Hamilton Alternative Academy","Franklin","Region 11","Open","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000208","Adena High School","049494","Adena Local","Ross","Region 15","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","40","11.0"
"000222","Wildwood Environmental Academy","000222","Wildwood Environmental Academy","Lucas","Region 1","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000224","Adlai Stevenson School","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","018382","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.3","--","--","14","4.2"
"000231","Unioto Elementary","049536","Union-Scioto Local","Ross","Region 15","Open","065532","Elementary School","Gifted","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","50","5.2"
"000232","Adrian Elementary School","044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","Open","014613","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","15","5.3"
"000234","Ella P. Stewart Academy for Girls","044909","Toledo City","Lucas","Region 1","Open","008262","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000236","Ohio Connections Academy, Inc","000236","Ohio Connections Academy, Inc","Cuyahoga","Region 3","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000241","Quaker Digital Academy","000241","Quaker Digital Academy","Tuscarawas","Region 12","Open","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000242","North Union Elementary School","050336","North Union Local","Union","Region 11","Open","026385","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0","93.3",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","77","11.4"
"000257","Alexander Elementary School","045906","Alexander Local","Athens","Region 16","Open","000315","Elementary School","Gifted","93.3","93.3",">95.0",">95.0","92.3",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","130","15.2"
"000265","Albion Elementary School","044545","North Royalton City","Cuyahoga","Region 3","Open","099416","Elementary School","Gifted","--","--",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","65","17.1"
"000270","Main Street School","044560","Norwalk City","Huron","Region 2","Open","028050","Elementary School","Gifted","--","--","--","--","--","--","--",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","18","4.2"
"000282","Greater Ohio Virtual School","000282","Greater Ohio Virtual School","Warren","Region 13","Open","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000288","Auglaize County Educational Academy","000288","Auglaize County Educational Academy","Allen","Region 6","Open","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000291","Malvern Middle School","046177","Brown Local","Carroll","Region 12","Open","022368","Middle School","Gifted","--","--","--","--","--","--","--",">95.0","90.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","20","12.7"
"000296","Summit Academy Community School-Columbus","000296","Summit Academy Community School-Columbus","Franklin","Region 11","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000297","Summit Academy Community School - Dayton","000297","Summit Academy Community School - Dayton","Montgomery","Region 10","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000298","Summit Academy Secondary - Akron","000298","Summit Academy Secondary - Akron","Summit","Region 8","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000300","Summit Academy Secondary - Canton","000300","Summit Academy Secondary - Canton","Stark","Region 9","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000301","Summit Academy Secondary - Lorain","000301","Summit Academy Secondary - Lorain","Lorain","Region 2","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000302","Summit Academy Community School-Parma","000302","Summit Academy Community School-Parma","Cuyahoga","Region 3","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000303","Summit Academy Secondary - Youngstown","000303","Summit Academy Secondary - Youngstown","Mahoning","Region 5","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000304","Summit Academy Community School-Toledo","000304","Summit Academy Community School-Toledo","Lucas","Region 1","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000305","Summit Academy Community School-Warren","000305","Summit Academy Community School-Warren","Trumbull","Region 5","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000306","Summit Academy Community School - Cincinnati","000306","Summit Academy Community School - Cincinnati","Hamilton","Region 13","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000311","Bridges Community Academy","000311","Bridges Community Academy","Seneca","Region 7","Open","","Community School Conversion","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4","--","--","22","17.3"
"000315","Alexander Jr. / Sr. High School","045906","Alexander Local","Athens","Region 16","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","215","29.6"
"000316","Constellation Schools: Westpark Community Middle","000316","Constellation Schools: Westpark Community Middle","Cuyahoga","Region 3","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000318","Menlo Park Academy","000318","Menlo Park Academy","Cuyahoga","Region 3","Open","","Community School Startup","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0","92.9",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","338",">95.0"
"000319","Constellation Schools: Madison Community Elementary","000319","Constellation Schools: Madison Community Elementary","Cuyahoga","Region 3","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000320","Constellation Schools: Lorain Community Middle","000320","Constellation Schools: Lorain Community Middle","Lorain","Region 2","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000321","Constellation Schools: Old Brooklyn Community Middle","000321","Constellation Schools: Old Brooklyn Community Middle","Cuyahoga","Region 3","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000338","Horizon Science Academy Toledo","000338","Horizon Science Academy Toledo","Lucas","Region 1","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000342","Youngstown Virtual Academy","045161","Youngstown City Schools","Mahoning","Region 5","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000345","Elmwood Elementary School","050682","Elmwood Local","Wood","Region 1","Open","007963","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000348","Palm Elementary School","044263","Lorain City","Lorain","Region 2","Open","000841","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","12","3.6"
"000349","Upper Scioto Valley Middle School","047522","Upper Scioto Valley Local","Hardin","Region 6","Open","037960","Middle School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","14","13.9"
"000350","Granger Elementary School","048496","Highland Local","Medina","Region 8","Open","024497","Elementary School","Gifted","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","54","12.8"
"000351","Ulysses S. Grant Middle School","044339","Marion City","Marion","Region 7","Open","015214","Middle School","Gifted","--","--","--","--","--","--","--",">95.0",">95.0",">95.0","91.7",">95.0",">95.0","94.9","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","117","12.3"
"000352","William McKinley Elementary School","044339","Marion City","Marion","Region 7","Open","000351","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","17","4.1"
"000356","Genoa Elementary","048942","Genoa Area Local","Ottawa","Region 1","Open","013250","Elementary School","Gifted","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","42","6.7"
"000360","Miamisburg Secondary Academy","000360","Miamisburg Secondary Academy","Montgomery","Region 10","Open","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000362","Bridges Learning Center","043489","Akron City","Summit","Region 8","Open","009498","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000363","Akron Alternative Academy","043489","Akron City","Summit","Region 8","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","76.3","--","--","12","4.0"
"000364","Allen East High School","045757","Allen East Local","Allen","Region 6","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--",">95.0",">95.0","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","77","15.0"
"000382","Crestwood Primary School","049189","Crestwood Local","Portage","Region 8","Open","000383","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","11","2.6"
"000383","Crestwood Intermediate School","049189","Crestwood Local","Portage","Region 8","Open","040485","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","72","18.0"
"000384","Chieftain Elementary School","044248","Logan-Hocking Local","Hocking","Region 16","Open","112573","Elementary School","Gifted",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","18","4.7"
"000385","Hocking Hills Elementary School","044248","Logan-Hocking Local","Hocking","Region 16","Open","112573","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000387","Central Elementary School","044248","Logan-Hocking Local","Hocking","Region 16","Open","112573","Elementary School","Gifted",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","19","4.4"
"000388","Gateway Elementary School","043810","Conneaut Area City","Ashtabula","Region 5","Open","032813","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","55","14.7"
"000389","Lakeshore Primary Elementary School","043810","Conneaut Area City","Ashtabula","Region 5","Open","000388","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000392","Mansfield Enhancement Academy","000392","Mansfield Enhancement Academy","Richland","Region 7","Open","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000396","Mansfield Elective Academy","044297","Mansfield City","Richland","Region 7","Open","","Community School Conversion","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000398","Allen Elementary School","043745","Chillicothe City","Ross","Region 15","Open","034736","Elementary School","Gifted","--","--",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","33","9.4"
"000400","Mapleton Elementary School","045831","Mapleton Local","Ashland","Region 7","Open","012410","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","28","7.0"
"000402","Findlay Digital Academy","000402","Findlay Digital Academy","Hancock","Region 1","Open","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000406","Allen Elementary School","043711","Canton City","Stark","Region 9","Open","002097","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000417","Buckeye On-Line School for Success","000417","Buckeye On-Line School for Success","Columbiana","Region 9","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000420","Columbus Bilingual Academy","000420","Columbus Bilingual Academy","Franklin","Region 11","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000426","Lancaster Fairfield Community School","000426","Lancaster Fairfield Community School","Fairfield","Region 11","Closed","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000429","Jackson Westview Elementary School","044156","Jackson City","Jackson","Region 16","Open","020453","Elementary School","Gifted","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","41","10.9"
"000435","Eastgate Elementary School","043802","Columbus City School District","Franklin","Region 11","Open","005827","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000445","General Chappie James Leadership Academy","000445","General Chappie James Leadership Academy","Montgomery","Region 10","Open","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000448","Allen East Elementary School","045757","Allen East Local","Allen","Region 6","Open","000364","Elementary School","Gifted","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","36","6.1"
"000450","Manchester High School","000442","Manchester Local","Adams","Region 14","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","18","5.3"
"000451","Manchester Elementary School","000442","Manchester Local","Adams","Region 14","Open","000450","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000455","West Elementary","050393","Vinton County Local","Vinton","Region 16","Open","111526","Elementary School","Gifted","--","--",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","55","17.5"
"000463","Alliance High School","043497","Alliance City","Stark","Region 9","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","95.0","57","7.7"
"000470","Independence Elementary School","044222","Lima City","Allen","Region 6","Open","005660","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","13","3.9"
"000471","Sharpsburg Primary","044578","Norwood City","Hamilton","Region 13","Open","034173","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000472","Liberty Arts Magnet K-8","044222","Lima City","Allen","Region 6","Open","008298","Elementary School","Gifted","--","--","--","--","93.8",">95.0",">95.0",">95.0",">95.0",">95.0","93.8",">95.0","91.7","91.7","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","70","18.0"
"000475","Bluestone Elementary School","043950","Euclid City","Cuyahoga","Region 3","Open","011965","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","10","1.7"
"000481","P.A.C.E. High School","000481","P.A.C.E. High School","Hamilton","Region 13","Closed","","Dropout Recovery","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000489","Almira","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","004895","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11","3.3"
"000491","Bowman Primary School","044214","Lebanon City","Warren","Region 13","Open","095679","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","87","10.4"
"000493","Lebanon Junior High","044214","Lebanon City","Warren","Region 13","Open","020032","Junior High School","Gifted","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","131","13.8"
