"District IRN","% enrolled less than 3 years","Charter Transfer"
"49171.0","","","83134.49"
"045575","045575","30.3",""
"46334.0","","","328023.73"
"44891.0","","","1305622.84"
"44289.0","","","84474.64"
"051029","","",""
"044974","044974","32.4",""
"43612.0","","","1180979.53"
"47621.0","","","73392.73"
"046300","046300","47.2",""
"050906","","",""
"45476.0","","","663983.68"
"047571","047571","34.3",""
"047274","047274","32.8",""
"045427","045427","31.6",""
"47639.0","","","111379.25"
"047902","047902","31.0",""
"49353.0","","","34758.63"
"045476","045476","29.2",""
"049247","049247","36.2",""
"049882","049882","34.0",""
"044982","044982","34.3",""
"139303","139303","42.6",""
"047050","047050","32.2",""
"45153.0","","","2494859.95"
"046714","046714","29.5",""
"051631","","",""
"047092","047092","42.1",""
"049916","049916","31.3",""
"044487","044487","38.0",""
"48447.0","","","469553.00"
"049239","049239","42.3",""
"048637","048637","32.6",""
"43703.0","","","660394.12"
"046870","046870","36.0",""
"046193","046193","38.6",""
"45112.0","","","885979.88"
"48264.0","","","327268.47"
"044313","044313","36.6",""
"043661","043661","29.7",""
"045781","045781","49.4",""
"45054.0","","","1544187.56"
"43604.0","","","242730.79"
"050013","050013","31.8",""
"47084.0","","","167460.66"
"044651","044651","35.9",""
"044719","044719","57.1",""
"49916.0","","","131913.82"
"48355.0","","","162048.12"
"48298.0","","","955888.16"
"49809.0","","","49152.37"
"048850","048850","39.4",""
"049718","049718","23.5",""
"49221.0","","","346344.48"
"045302","045302","31.1",""
"43745.0","","","523454.74"
"045377","045377","42.1",""
"047522","047522","35.0",""
"46482.0","","","353104.02"
"045179","045179","40.2",""
"047993","047993","39.1",""
"050815","","",""
"050658","050658","37.9",""
"47258.0","","","130245.02"
"049122","049122","40.5",""
"050518","050518","36.9",""
"043547","043547","28.8",""
"049346","049346","26.0",""
"50203.0","","","134065.30"
"048686","048686","64.4",""
"050112","050112","36.3",""
"062026","","",""
"045393","045393","29.5",""
"043646","043646","30.7",""
"44883.0","","","548705.17"
"47274.0","","","409108.72"
"50583.0","","","532199.69"
"048835","048835","32.9",""
"45856.0","","","274141.72"
"45674.0","","","133960.00"
"043513","043513","35.6",""
"050369","050369","36.8",""
"44263.0","","","13349744.96"
"043620","043620","35.6",""
"48900.0","","","110081.30"
"049767","049767","37.8",""
"50468.0","","","222455.35"
"47399.0","","","266367.13"
"044255","044255","40.9",""
"043612","043612","33.1",""
"49155.0","","","116280.78"
"044628","044628","44.8",""
"045096","045096","41.2",""
"050450","050450","29.6",""
"47381.0","","","546582.84"
