"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Disability Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"000135","South Vienna Middle School","046250","Northeastern Local","Clark","Region 10","Open","027656","Middle School","Disabled","--","--","--","--","--","--","--","--","--","70.0","80.0","--","--","--","--","--","--","--","--","--","--","--","--","--","93.6","--","--","28","9.0"
"000135","South Vienna Middle School","046250","Northeastern Local","Clark","Region 10","Open","027656","Middle School","NonDisabled","--","--","--","--","--","--","--","94.3","90.9",">95.0",">95.0","87.0","90.2","77.2","--","--","--","--","--","--","--","--","--","--","94.8","--","--","284","91.0"
"000137","Northridge Middle School","046250","Northeastern Local","Clark","Region 10","Open","068577","Middle School","Disabled","--","--","--","--","--","--","--","--","--","72.7","72.7","46.2","61.5","38.5","--","--","--","--","--","--","--","--","--","--","94.8","--","--","36","7.4"
"000137","Northridge Middle School","046250","Northeastern Local","Clark","Region 10","Open","068577","Middle School","NonDisabled","--","--","--","--","--","--","--","88.7","87.4","88.1","80.6",">95.0",">95.0","84.1","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","453","92.6"
"000138","Pathway School of Discovery","000138","Pathway School of Discovery","Montgomery","Region 10","Open","","Community School Startup","Disabled","--","--","--","--","--","--","--","--","--","45.5","81.8","--","--","--","--","--","--","--","--","--","--","--","--","--","92.7","--","--","75","10.4"
"000138","Pathway School of Discovery","000138","Pathway School of Discovery","Montgomery","Region 10","Open","","Community School Startup","NonDisabled","93.8","90.0","91.4","82.9","76.3","72.5","70.0","85.7","87.0","83.9","72.6","92.9","71.4","69.6","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","644","89.6"
"000139","Alliance Academy of Cincinnati","000139","Alliance Academy of Cincinnati","Hamilton","Region 13","Open","","Community School Startup","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.6","--","--","38","10.7"
"000139","Alliance Academy of Cincinnati","000139","Alliance Academy of Cincinnati","Hamilton","Region 13","Open","","Community School Startup","NonDisabled","78.9","78.9","74.1","44.4","54.2","45.8","37.5","85.2","63.0","81.5","33.3",">95.0","61.5","61.5","--","--","--","--","--","--","--","--","--","--","94.2","--","--","317","89.0"
"000141","Addaville Elementary School","065680","Gallia County Local","Gallia","Region 16","Open","002683","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.1","--","--","37","11.1"
"000141","Addaville Elementary School","065680","Gallia County Local","Gallia","Region 16","Open","002683","Elementary School","NonDisabled",">95.0","94.4","92.3","84.6","83.0","78.7","85.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","295","88.9"
