"School IRN","% enrolled less than 3 years","Virtual"
"149047","149047","89.7","Virtual School"
"012120","012120","64.8","Site Based"
"041327","041327","44.8","Site Based"
"011619","011619","54.3","Site Based"
"017426","","19.0","Site Based"
"035568","035568","73.0","Site Based"
"032177","032177","34.8","Site Based"
"017509","017509","60.3","Site Based"
"007849","007849","53.7","Site Based"
"061671","","14.1","Site Based"
"061549","061549","69.0","Site Based"
"007666","","6.7","Site Based"
"008318","","20.8","Site Based"
"028316","028316","65.6","Site Based"
"067900","","42.4","Site Based"
"041962","041962","78.4","Site Based"
"007336","007336","67.1","Site Based"
"002493","002493","49.8","Site Based"
"021147","021147","61.7","Site Based"
"038117","038117","37.9","Site Based"
"013615","013615","56.7","Site Based"
"029330","","25.3","Site Based"
"002253","","17.5","Site Based"
"034249","034249","58.1","Site Based"
"040121","040121","64.4","Site Based"
"025072","025072","69.1","Site Based"
"021816","","17.0","Site Based"
"132738","","","Site Based"
"041186","041186","57.6","Site Based"
"025007","","94.2","Site Based"
"038596","","34.5","Site Based"
"021030","","36.1","Site Based"
"019729","","13.7","Site Based"
"006627","006627","61.5","Site Based"
"041434","041434","63.4","Site Based"
"142166","142166","45.4","Site Based"
"146209","146209","56.6","Site Based"
"006007","006007","54.2","Site Based"
"006734","","18.6","Site Based"
"043364","","18.8","Site Based"
"006551","","14.6","Site Based"
"028795","028795","57.4","Site Based"
"018325","","38.7","Site Based"
"133223","","","Site Based"
"001073","001073","72.5","Site Based"
"033282","","24.7","Site Based"
"039883","","14.0","Site Based"
"040931","","12.0","Site Based"
"001677","001677","66.9","Site Based"
"007534","","10.6","Site Based"
"094623","094623","49.3","Site Based"
"122887","","14.8","Site Based"
"037275","","11.0","Site Based"
"013059","","100.0","Site Based"
"064907","","16.0","Site Based"
"003814","003814","57.9","Site Based"
"038208","038208","50.9","Site Based"
"041236","041236","49.7","Site Based"
"029025","","15.3","Site Based"
"143164","","100.0","Site Based"
"036897","","17.5","Site Based"
"021964","021964","45.0","Site Based"
"006635","","19.7","Site Based"
"036020","","22.3","Site Based"
"040055","","21.0","Site Based"
"083873","","24.0","Site Based"
"132803","","100.0","Site Based"
"110577","110577","40.8","Site Based"
"006957","006957","49.9","Site Based"
"019547","","20.3","Site Based"
"061820","","18.7","Site Based"
"040675","","18.0","Site Based"
"137455","","16.9","Site Based"
"042564","","17.2","Site Based"
"017285","","14.6","Site Based"
"000417","000417","68.8","ESchool"
"020032","","18.8","Site Based"
"000418","","","Site Based"
"021568","021568","45.6","Site Based"
"017533","017533","62.1","Site Based"
"017822","017822","60.9","Site Based"
"021766","021766","61.2","Site Based"
"016808","016808","47.8","Site Based"
"006312","","18.6","Site Based"
"002675","","14.4","Site Based"
"001412","001412","52.0","Site Based"
"031732","","16.9","Site Based"
"039081","","22.1","Site Based"
"029157","","30.1","Site Based"
"040584","","16.8","Site Based"
"019976","","86.4","Site Based"
"039248","","13.5","Site Based"
"041608","041608","42.5","Site Based"
"025866","","17.3","Site Based"
"040279","","19.2","Site Based"
"024190","","25.9","Site Based"
"020149","","26.7","Site Based"
"143503","143503","76.8","Site Based"
"033605","033605","58.3","Site Based"
"061507","061507","45.1","Site Based"
"001891","001891","53.0","Site Based"
"030809","030809","23.0","Site Based"
"043489","","","Site Based"
"027425","","25.2","Site Based"
"098731","098731","40.2","Site Based"
"061986","","100.0","Site Based"
"133256","133256","61.6","Site Based"
"018044","","90.6","Site Based"
"017756","","21.8","Site Based"
"065466","","18.7","Site Based"
"099606","","96.8","Site Based"
"001255","001255","42.3","Site Based"
"124859","","33.2","Site Based"
"000305","000305","77.0","Site Based"
"001214","","93.3","Site Based"
"000306","000306","83.6","Site Based"
