"School IRN","% enrolled less than 3 years","Virtual"
"028506","","19.7","Site Based"
"001628","","12.2","Site Based"
"147389","","39.6","Site Based"
"006502","","21.1","Site Based"
"132985","","68.9","Site Based"
"021600","","15.4","Site Based"
"036533","036533","62.8","Site Based"
"038505","038505","55.9","Site Based"
"012516","","39.2","Site Based"
"025098","","20.4","Site Based"
"003848","003848","53.1","Site Based"
"023960","","16.9","Site Based"
"037002","037002","51.9","Site Based"
"113860","","16.4","Site Based"
"016162","","14.3","Site Based"
"021931","","36.0","Site Based"
"022863","","0.0","Site Based"
"012310","","18.5","Site Based"
"021287","","20.2","Site Based"
"013226","","100.0","Site Based"
"013227","","21.4","Site Based"
"036848","","26.6","Site Based"
"007344","007344","62.0","Site Based"
"021113","","19.4","Site Based"
"025411","","41.1","Site Based"
"152116","152116","54.4","Site Based"
"019620","","96.8","Site Based"
"025148","","17.1","Site Based"
"019331","019331","52.4","Site Based"
"041004","","19.3","Site Based"
"001198","","11.0","Site Based"
"024547","024547","77.4","Site Based"
"032110","032110","58.5","Site Based"
"016303","","15.8","Site Based"
"020644","020644","56.0","Site Based"
"027946","027946","61.7","Site Based"
"029124","029124","52.7","Site Based"
"002154","","15.0","Site Based"
"133314","","","Site Based"
"039743","039743","44.5","Site Based"
"039214","","10.4","Site Based"
"006189","","19.8","Site Based"
"001750","","15.0","Site Based"
"013136","","35.8","Site Based"
"062786","","81.3","Site Based"
"038349","","16.5","Site Based"
"013132","013132","100.0","Site Based"
"050765","","","Site Based"
"026211","026211","65.0","Site Based"
"017368","017368","57.7","Site Based"
"019935","019935","25.6","Site Based"
"041137","041137","53.7","Site Based"
"041640","","23.9","Site Based"
"039693","","19.7","Site Based"
"142240","142240","57.2","Site Based"
"133298","","","Site Based"
"020735","","97.5","Site Based"
"133296","","","Site Based"
"033498","033498","56.9","Site Based"
"149062","","100.0","Site Based"
"027706","","21.1","Site Based"
"000808","000808","89.9","Site Based"
"033944","","15.8","Site Based"
"000804","000804","82.0","Site Based"
"020461","","26.2","Site Based"
"000802","000802","54.5","Site Based"
"040527","","33.9","Site Based"
"001578","001578","37.7","Site Based"
"016782","016782","78.1","Site Based"
"006239","006239","49.9","Site Based"
"036301","","16.8","Site Based"
"000576","000576","69.9","Site Based"
"000577","000577","100.0","Site Based"
"000574","","","Site Based"
"000575","000575","67.6","Site Based"
"099655","099655","61.0","Site Based"
"011262","011262","57.8","Site Based"
"037952","","15.0","Site Based"
"030270","030270","53.4","Site Based"
"017095","","100.0","Site Based"
"029637","","16.5","Site Based"
"039107","","46.0","Site Based"
"028720","028720","39.2","Site Based"
"029850","029850","58.8","Site Based"
"003152","003152","37.0","Site Based"
"000976","000976","33.6","Site Based"
"033274","033274","54.9","Site Based"
"143370","","","Site Based"
"041863","041863","42.0","Site Based"
"010785","010785","68.1","Site Based"
"004366","004366","48.2","Site Based"
"014065","014065","100.0","Site Based"
"014064","014064","100.0","Site Based"
"014067","","100.0","Site Based"
"014066","014066","100.0","Site Based"
"014061","014061","100.0","Site Based"
"010033","010033","53.7","Site Based"
"014063","014063","100.0","Site Based"
"014062","","100.0","Site Based"
"035733","035733","57.8","Site Based"
"001370","","12.4","Site Based"
"147611","147611","62.7","Site Based"
"009407","","81.4","Site Based"
"000711","000711","60.8","Site Based"
"027011","","25.8","Site Based"
"000489","000489","53.4","Site Based"
"031252","031252","59.1","Site Based"
"030098","","20.8","Site Based"
"001172","001172","50.3","Site Based"
"011923","011923","100.0","Site Based"
"000481","","100.0","Site Based"
"017897","017897","76.3","Site Based"
"011924","011924","59.0","Site Based"
"027490","","83.7","Site Based"
"026948","026948","36.1","Site Based"
"031781","031781","55.8","Site Based"
"030304","","18.2","Site Based"
"151035","","100.0","Site Based"
"011321","011321","53.9","Site Based"
"011324","","100.0","Site Based"
"117770","117770","49.1","Site Based"
"042333","","12.8","Site Based"
"034553","","17.4","Site Based"
"013184","013184","48.5","Site Based"
"000623","000623","81.2","Site Based"
"000620","000620","52.2","Site Based"
"000621","","86.0","Site Based"
"014190","","100.0","Site Based"
"014194","","100.0","Site Based"
"000629","000629","81.5","Site Based"
"000396","","100.0","Site Based"
"000392","","100.0","Site Based"
"018507","","13.5","Site Based"
"024612","024612","47.5","Site Based"
"027672","027672","65.0","Site Based"
"009241","009241","58.5","Site Based"
"025270","025270","57.5","Site Based"
"042606","042606","46.0","Site Based"
"000398","000398","55.1","Site Based"
"031641","","15.9","Site Based"
"065565","065565","54.7","Site Based"
"048421","","","Site Based"
"005504","005504","57.2","Site Based"
"014662","014662","61.1","Site Based"
"014845","014845","53.5","Site Based"
"035154","035154","52.0","Site Based"
"025445","025445","53.6","Site Based"
"014231","","100.0","Site Based"
"123539","","14.6","Site Based"
"014332","014332","47.5","Site Based"
"011493","","25.7","Site Based"
"015131","015131","39.9","Site Based"
"026690","","93.2","Site Based"
"011497","011497","40.6","Site Based"
"030205","030205","64.4","Site Based"
"006650","006650","51.7","Site Based"
"033894","033894","65.6","Site Based"
"036335","","24.6","Site Based"
"014688","014688","45.3","Site Based"
"039115","","27.0","Site Based"
"035337","035337","62.3","Site Based"
"032821","032821","77.7","Site Based"
"008201","","89.7","Site Based"
"023069","023069","57.5","Site Based"
"068478","068478","50.7","Site Based"
"018218","","14.3","Site Based"
"031328","031328","26.3","Site Based"
"009621","","10.5","Site Based"
"046896","","","Site Based"
"034793","","15.1","Site Based"
"022483","","38.6","Site Based"
"120337","","20.1","Site Based"
"012078","","","Site Based"
"002378","002378","44.6","Site Based"
"008066","","","Site Based"
"037796","","15.0","Site Based"
"012070","","20.5","Site Based"
"023242","","15.8","Site Based"
"004879","004879","66.5","Site Based"
"089565","089565","52.8","Site Based"
"032797","032797","40.4","Site Based"
"005876","","14.9","Site Based"
"037556","037556","50.3","Site Based"
"012674","","9.3","Site Based"
"011072","","18.1","Site Based"
"042275","042275","57.5","Site Based"
"012671","012671","100.0","Site Based"
"010811","010811","51.7","Site Based"
"003616","003616","67.1","Site Based"
"008067","","","Site Based"
"010819","","35.0","Site Based"
"028886","028886","50.1","Site Based"
"026054","026054","26.9","Site Based"
"016477","016477","53.6","Site Based"
"035204","","17.4","Site Based"
"019190","","32.5","Site Based"
"004473","004473","52.5","Site Based"
"028399","","23.9","Site Based"
"008112","008112","60.6","Site Based"
"008115","","","Site Based"
"003129","003129","39.3","Site Based"
"015461","015461","75.4","Site Based"
"017574","017574","42.2","Site Based"
"028860","","14.2","Site Based"
"022533","022533","20.8","Site Based"
"003434","003434","51.2","Site Based"
"026120","","39.9","Site Based"
"012419","012419","50.6","Site Based"
"011676","011676","58.7","Site Based"
"012410","","22.8","Site Based"
"023804","023804","70.9","Site Based"
"134262","","","Site Based"
"008375","008375","77.6","Site Based"
"036392","036392","70.0","Site Based"
"011470","011470","78.7","Site Based"
"036152","","28.4","Site Based"
"028688","","30.3","Site Based"
"012781","","23.2","Site Based"
"011479","","100.0","Site Based"
"011478","","17.7","Site Based"
"005785","","12.5","Site Based"
"027102","027102","49.3","Site Based"
"008573","008573","63.8","Site Based"
"012898","012898","44.0","Site Based"
"007005","007005","51.8","Site Based"
"003053","","17.0","Site Based"
"006759","","14.6","Site Based"
"025395","025395","25.1","Site Based"
"086579","086579","68.2","Site Based"
"146084","146084","53.2","Site Based"
"029355","029355","59.9","Site Based"
"036806","","23.1","Site Based"
"012524","","28.5","Site Based"
"008979","008979","33.4","Site Based"
"012523","012523","81.4","Site Based"
"012252","012252","50.5","Site Based"
"012528","","100.0","Site Based"
"012529","","100.0","Site Based"
"012096","012096","58.0","Site Based"
"012094","","21.8","Site Based"
"146407","","28.7","Site Based"
"012090","","","Site Based"
"133660","","90.8","Site Based"
"019034","019034","57.2","Site Based"
"044602","","","Site Based"
"065417","","14.2","Site Based"
"099804","099804","70.9","Site Based"
"019745","","16.4","Site Based"
"098475","","25.5","Site Based"
"042291","","25.8","Site Based"
"062323","062323","23.5","Site Based"
"041251","","93.8","Site Based"
"146399","146399","25.7","Site Based"
"002527","002527","37.8","Site Based"
"039354","039354","47.7","Site Based"
"001966","","19.2","Site Based"
"016576","016576","62.7","Site Based"
"028530","028530","69.7","Site Based"
"145300","","93.5","Site Based"
"008805","008805","66.2","Site Based"
"061499","","14.8","Site Based"
"007757","007757","63.9","Site Based"
"045930","","","Site Based"
"037010","","23.6","Site Based"
"038513","038513","53.1","Site Based"
"025080","","19.7","Site Based"
"036830","","3.7","Site Based"
"036780","036780","39.0","Site Based"
"061309","","19.9","Site Based"
"012328","","25.0","Site Based"
"029280","","10.3","Site Based"
"013233","","100.0","Site Based"
"013232","013232","100.0","Site Based"
"041038","041038","59.9","Site Based"
"019638","019638","22.7","Site Based"
"025403","025403","59.0","Site Based"
"140889","140889","18.5","Site Based"
"029462","029462","49.4","Site Based"
"025155","025155","9.8","Site Based"
"142976","","","Site Based"
"044396","","","Site Based"
"019323","019323","62.4","Site Based"
"021121","","20.9","Site Based"
"024976","","23.0","Site Based"
"132746","132746","82.9","Site Based"
"133249","","","Site Based"
"041749","041749","62.8","Site Based"
"021253","021253","60.5","Site Based"
"019687","","27.2","Site Based"
"016311","","14.6","Site Based"
"132225","132225","51.2","Site Based"
"083246","","","Site Based"
"024570","","16.6","Site Based"
"021709","021709","51.3","Site Based"
"019810","","18.0","Site Based"
"001768","","22.7","Site Based"
"002147","","20.3","Site Based"
"009340","009340","60.4","Site Based"
"147280","147280","38.0","Site Based"
"024372","","12.4","Site Based"
"028407","","29.8","Site Based"
"013124","","22.4","Site Based"
"040725","040725","62.1","Site Based"
"061952","","17.4","Site Based"
"029819","029819","55.7","Site Based"
"019968","","24.3","Site Based"
"013128","","26.3","Site Based"
"038356","038356","63.3","Site Based"
"002097","002097","71.8","Site Based"
"146886","146886","52.8","Site Based"
"019927","019927","59.1","Site Based"
"032490","032490","48.0","Site Based"
"033464","033464","66.1","Site Based"
"035188","","76.0","Site Based"
"133280","133280","53.0","Site Based"
"021386","021386","50.3","Site Based"
"020479","","49.5","Site Based"
"001545","","29.7","Site Based"
"142505","142505","65.1","Site Based"
"027714","027714","46.6","Site Based"
"016402","016402","60.1","Site Based"
"000363","","27.8","Site Based"
"000362","000362","38.1","Site Based"
"000360","","100.0","Site Based"
"000810","","12.3","Site Based"
"001818","001818","80.0","Site Based"
"000364","","15.2","Site Based"
"025973","025973","50.1","Site Based"
"018408","","33.2","Site Based"
"028712","","22.6","Site Based"
"023127","","14.1","Site Based"
"000564","000564","86.1","Site Based"
"000560","000560","100.0","Site Based"
"000562","","19.4","Site Based"
"143453","143453","62.7","Site Based"
"061275","061275","53.7","Site Based"
"037945","","10.4","Site Based"
"034447","","23.1","Site Based"
"002709","","17.7","Site Based"
"024281","","13.5","Site Based"
"040345","040345","29.6","Site Based"
"017558","017558","58.9","Site Based"
"028381","","18.6","Site Based"
"017228","017228","67.6","Site Based"
"000968","000968","49.4","Site Based"
"040618","040618","60.6","Site Based"
"039487","039487","89.7","Site Based"
"017046","","14.2","Site Based"
"008086","","23.1","Site Based"
"061911","","15.8","Site Based"
"041814","041814","46.0","Site Based"
"010025","010025","71.9","Site Based"
"014051","","100.0","Site Based"
"010793","","29.6","Site Based"
"068536","","30.4","Site Based"
"027821","027821","46.1","Site Based"
"024026","","18.2","Site Based"
"034090","","18.0","Site Based"
"001388","","12.2","Site Based"
"000701","000701","18.8","Site Based"
"000700","","","Site Based"
"029728","","16.2","Site Based"
"009431","009431","54.3","Site Based"
"027003","027003","66.0","Site Based"
"024596","","14.1","Site Based"
"110460","110460","58.4","Site Based"
"028662","028662","48.1","Site Based"
"034306","","14.5","Site Based"
"000491","","93.1","Site Based"
"001149","","15.8","Site Based"
"000493","","19.2","Site Based"
"112573","","17.3","Site Based"
"064170","","19.9","Site Based"
"000497","000497","63.0","Site Based"
"000496","","","Site Based"
"145532","","21.8","Site Based"
"033514","","19.9","Site Based"
"027482","027482","61.8","Site Based"
"013425","013425","38.2","Site Based"
"151027","","100.0","Virtual School"
"030643","030643","44.2","Site Based"
"030866","030866","56.1","Site Based"
"020388","","25.0","Site Based"
"010249","010249","43.7","Site Based"
"023424","","19.7","Site Based"
"011319","011319","59.4","Site Based"
"038141","038141","50.1","Site Based"
"023838","","22.6","Site Based"
"010243","","43.6","Site Based"
"123257","","","Site Based"
"010244","","18.8","Site Based"
"011312","011312","63.0","Site Based"
"000143","","","Site Based"
"000634","","100.0","Site Based"
"000141","000141","60.8","Site Based"
"000140","","","Site Based"
"000633","000633","92.9","Site Based"
"038851","","92.7","Site Based"
"034868","034868","54.5","Site Based"
"000638","000638","64.8","Site Based"
"041921","","26.0","Site Based"
"000385","000385","66.7","Site Based"
"000384","000384","61.7","Site Based"
"000387","000387","59.3","Site Based"
"043299","","22.6","Site Based"
"000383","000383","15.0","Site Based"
"000382","","92.5","Site Based"
"071357","071357","48.4","Site Based"
"011868","","51.7","Site Based"
"005280","005280","43.0","Site Based"
"000389","","79.8","Site Based"
"000388","000388","19.1","Site Based"
"009507","","20.3","Site Based"
"065573","065573","63.5","Site Based"
"027094","027094","48.2","Site Based"
"031682","031682","59.2","Site Based"
"151126","","","Site Based"
"031138","","45.7","Site Based"
"133926","","","Site Based"
"026849","","22.2","Site Based"
"005041","","27.1","Site Based"
"005264","005264","63.5","Site Based"
"031757","031757","23.5","Site Based"
"004390","004390","53.4","Site Based"
"064378","","23.6","Site Based"
"039289","039289","43.8","Site Based"
"007998","","100.0","Site Based"
"028258","028258","43.0","Site Based"
"008581","","23.0","Site Based"
"149286","","","Site Based"
"008219","","23.4","Site Based"
"146480","","16.9","Site Based"
"008748","","17.3","Site Based"
"068510","068510","51.1","Site Based"
"009613","009613","70.0","Site Based"
"032813","","21.9","Site Based"
"004242","004242","67.9","Site Based"
"014944","","23.2","Site Based"
"009181","009181","78.1","Site Based"
"015636","015636","53.3","Site Based"
"015545","015545","51.7","Site Based"
"139337","139337","39.6","Site Based"
"062216","","32.7","Site Based"
"004804","004804","64.5","Site Based"
"032086","032086","36.2","Site Based"
"035451","","13.9","Site Based"
"012060","","100.0","Site Based"
"011049","","20.5","Site Based"
"023234","","20.7","Site Based"
"014548","","41.4","Site Based"
"031914","031914","49.3","Site Based"
"012668","012668","100.0","Site Based"
"036012","036012","49.5","Site Based"
"005868","005868","56.6","Site Based"
"012666","012666","71.2","Site Based"
"026252","026252","49.6","Site Based"
"040865","040865","44.9","Site Based"
"125823","","15.1","Site Based"
"015495","","38.6","Site Based"
"008102","008102","59.4","Site Based"
"099663","","23.4","Site Based"
"149351","","","Site Based"
"033217","033217","69.6","Site Based"
"042044","","15.7","Site Based"
"010801","010801","62.9","Site Based"
"028894","","12.4","Site Based"
"005462","005462","73.4","Site Based"
"015123","015123","60.3","Site Based"
"045534","","","Site Based"
"009985","009985","65.0","Site Based"
"000548","","","Site Based"
"014054","","22.3","Site Based"
"009983","","","Site Based"
"038984","038984","59.7","Site Based"
"032078","032078","75.6","Site Based"
"013938","013938","65.7","Site Based"
"022525","022525","66.1","Site Based"
"004739","004739","56.7","Site Based"
"022293","022293","65.9","Site Based"
"028878","028878","39.6","Site Based"
"013930","","100.0","Site Based"
"009964","009964","76.3","Site Based"
"118323","","94.2","Site Based"
"012401","012401","71.4","Site Based"
"011684","","15.7","Site Based"
"009968","009968","55.4","Site Based"
"012799","","16.1","Site Based"
"011444","","100.0","Site Based"
"011445","011445","69.8","Site Based"
"032847","","29.5","Site Based"
"016824","016824","34.2","Site Based"
"138750","","23.4","Site Based"
"022632","","94.7","Site Based"
"140830","","16.2","Site Based"
"139584","","18.2","Site Based"
"004028","","16.0","Site Based"
"003046","","12.6","Site Based"
"020115","020115","67.7","Site Based"
"032102","032102","54.1","Site Based"
"013680","","38.1","Site Based"
"007617","","35.0","Site Based"
"042820","","100.0","Site Based"
"122077","","40.0","Site Based"
"003558","","22.5","Site Based"
"038182","038182","53.5","Site Based"
"025361","","22.1","Site Based"
"012536","012536","100.0","Site Based"
"099812","","100.0","Site Based"
"012245","012245","72.9","Site Based"
"008961","","19.2","Site Based"
"013332","","","Site Based"
"049684","","","Site Based"
"013334","013334","69.1","Site Based"
"065292","","20.1","Site Based"
"041244","","19.2","Site Based"
"025767","025767","47.0","Site Based"
"007294","007294","51.1","Site Based"
"037762","037762","46.3","Site Based"
"019000","019000","39.4","Site Based"
"146167","146167","52.0","Site Based"
"012088","","36.7","Site Based"
"031997","","21.2","Site Based"
"003137","003137","54.4","Site Based"
"007104","","23.7","Site Based"
"018275","","13.7","Site Based"
"002956","","30.0","Site Based"
"146365","","11.4","Site Based"
"123216","123216","25.3","Site Based"
"133439","133439","79.8","Site Based"
"146183","","20.6","Site Based"
"039347","039347","70.7","Site Based"
"025502","025502","56.1","Site Based"
"001602","","14.6","Site Based"
"016543","016543","41.6","Site Based"
"093195","","17.8","Site Based"
"002394","002394","30.0","Site Based"
"038299","","31.4","Site Based"
"013755","","10.8","Site Based"
"013200","","100.0","Site Based"
"013201","","100.0","Site Based"
"008813","","94.8","Site Based"
"038562","038562","66.7","Site Based"
"036558","036558","44.3","Site Based"
"061481","","17.9","Site Based"
"040600","040600","75.0","Site Based"
"007724","","12.8","Site Based"
"036822","","25.0","Site Based"
"019646","019646","44.9","Site Based"
"029207","","17.6","Site Based"
"029678","","82.8","Site Based"
"012335","","66.7","Site Based"
"016147","016147","41.9","Site Based"
"061317","","15.3","Site Based"
"021139","","22.0","Site Based"
"044297","","","Site Based"
"006742","006742","48.9","Site Based"
"133728","","","Site Based"
"019489","019489","59.7","Site Based"
"039909","","17.4","Site Based"
"025163","025163","63.3","Site Based"
"133546","","","Site Based"
"001776","001776","61.4","Site Based"
"028415","028415","58.2","Site Based"
"021246","","15.1","Site Based"
"021717","","17.1","Site Based"
"132233","132233","49.0","Site Based"
"024562","","26.4","Site Based"
"038844","","14.9","Site Based"
"002170","002170","67.4","Site Based"
"030411","","100.0","Site Based"
"143594","","","Site Based"
"024364","","17.3","Site Based"
"123307","123307","68.7","Site Based"
"025189","025189","55.6","Site Based"
"143602","143602","100.0","Site Based"
"021394","","100.0","Site Based"
"122093","122093","64.4","Site Based"
"040758","","14.4","Site Based"
"033670","","27.8","Site Based"
"003954","003954","20.4","Site Based"
"146217","146217","51.1","Site Based"
"040196","040196","36.3","Site Based"
"023903","023903","66.1","Site Based"
"020719","020719","64.8","Site Based"
"036954","","22.0","Site Based"
"006528","","15.7","Site Based"
"036483","036483","64.2","Site Based"
"048793","","","Site Based"
"041111","","92.4","Site Based"
"033472","","19.1","Site Based"
"000828","000828","54.2","Site Based"
"001800","","11.4","Site Based"
"016436","","16.8","Site Based"
"000821","","","Site Based"
"040576","","36.8","Site Based"
"000825","000825","93.3","Site Based"
"027722","","22.6","Site Based"
"000558","000558","68.9","Site Based"
"000559","000559","100.0","Site Based"
"147587","","12.8","Site Based"
"050526","","","Site Based"
"000553","000553","85.0","Site Based"
"000556","000556","87.6","Site Based"
"000557","000557","74.8","Site Based"
"062232","","19.1","Site Based"
"037978","037978","71.3","Site Based"
"152298","152298","58.5","Site Based"
"030528","030528","61.8","Site Based"
"029652","029652","55.6","Site Based"
"039164","","12.3","Site Based"
"034173","034173","27.0","Site Based"
"061465","061465","56.7","Site Based"
"148817","148817","53.7","Site Based"
"017541","017541","63.1","Site Based"
"143115","","100.0","Site Based"
"000950","000950","80.6","Site Based"
"000951","000951","83.9","Site Based"
"000952","000952","91.6","Site Based"
"000953","000953","84.3","Site Based"
"000736","000736","100.0","Site Based"
"000737","","23.2","Site Based"
"017053","017053","57.8","Site Based"
"020289","020289","48.9","Site Based"
"145987","145987","58.2","Site Based"
"000738","","100.0","Site Based"
"027854","","11.6","Site Based"
"037531","","15.6","Site Based"
"034082","034082","67.1","Site Based"
"011482","011482","60.3","Site Based"
"024745","","17.7","Site Based"
"029736","","17.4","Site Based"
"009423","","26.1","Site Based"
"009421","","44.8","Site Based"
"001396","001396","66.4","Site Based"
"067884","067884","51.4","Site Based"
"042598","","23.0","Site Based"
"040311","040311","30.1","Site Based"
"034314","","12.6","Site Based"
"002600","002600","65.6","Site Based"
"133942","","65.5","Site Based"
"064162","","19.8","Site Based"
"133983","","","Site Based"
"024588","024588","59.1","Site Based"
"028670","","21.3","Site Based"
"020917","020917","69.3","Site Based"
"020446","","17.0","Site Based"
"017434","017434","38.4","Site Based"
"047993","","","Site Based"
"030320","030320","32.9","Site Based"
"010306","010306","64.4","Site Based"
"064766","","21.0","Site Based"
"010652","010652","61.1","Site Based"
"133751","","","Site Based"
"030635","","85.1","Site Based"
"034538","","3.4","Site Based"
"019364","","13.1","Site Based"
"064188","","22.8","Site Based"
"011304","","20.8","Site Based"
"009514","","37.1","Site Based"
"000604","","21.9","Site Based"
"009511","","8.0","Site Based"
"036327","","18.7","Site Based"
"000608","","84.8","Site Based"
"000609","","100.0","Site Based"
"027458","027458","67.9","Site Based"
"067728","","31.3","Site Based"
"018838","018838","52.2","Site Based"
"035139","035139","73.3","Site Based"
"029421","029421","52.9","Site Based"
"018523","018523","58.0","Site Based"
"030742","","29.6","Site Based"
"034405","034405","77.2","Site Based"
"145292","145292","20.4","Site Based"
"139543","","20.0","Site Based"
"005074","005074","63.3","Site Based"
"031120","031120","48.8","Site Based"
"022111","","14.4","Site Based"
"000287","","","Site Based"
"005256","","23.2","Site Based"
"009286","","14.9","Site Based"
"009285","009285","48.0","Site Based"
"145078","","17.8","Site Based"
"009283","","66.1","Site Based"
"009282","","97.7","Site Based"
"036319","036319","54.5","Site Based"
"145573","","0.0","Site Based"
"034892","034892","55.0","Site Based"
"032805","032805","48.6","Site Based"
"018788","","13.5","Site Based"
"032441","032441","46.2","Site Based"
"028068","","14.0","Site Based"
"068502","","14.4","Site Based"
"027219","027219","58.0","Site Based"
"032839","032839","65.7","Site Based"
"009192","009192","65.5","Site Based"
"014951","","93.2","Site Based"
"013839","013839","62.3","Site Based"
"010272","","18.7","Site Based"
"005678","","28.3","Site Based"
"098426","","14.7","Site Based"
"123828","","18.8","Site Based"
"004812","","30.0","Site Based"
"011056","","18.0","Site Based"
"112128","112128","47.6","Site Based"
"015578","015578","58.4","Site Based"
"133744","","","Site Based"
"043984","","","Site Based"
"023226","023226","55.0","Site Based"
"005819","","12.6","Site Based"
"042051","","27.5","Site Based"
"036004","036004","44.6","Site Based"
"008607","","21.1","Site Based"
"015974","","32.7","Site Based"
"032243","","14.4","Site Based"
"029710","","11.2","Site Based"
"119438","","18.9","Site Based"
"027698","","14.5","Site Based"
"010876","","15.5","Site Based"
"068445","068445","56.5","Site Based"
"003632","003632","53.4","Site Based"
"024992","024992","64.0","Site Based"
"023648","023648","54.6","Site Based"
"015156","","20.6","Site Based"
"009779","","13.6","Site Based"
"028522","","16.0","Site Based"
"005496","005496","67.9","Site Based"
"009990","009990","82.6","Site Based"
"009997","","93.2","Site Based"
"009996","","100.0","Site Based"
"141994","","13.3","Site Based"
"012435","012435","51.7","Site Based"
"034959","034959","49.5","Site Based"
"023820","023820","59.7","Site Based"
"013929","013929","51.5","Site Based"
"028845","028845","58.4","Site Based"
"013433","","12.6","Site Based"
"032060","032060","52.1","Site Based"
"037689","037689","49.0","Site Based"
"135269","","16.1","Site Based"
"013920","","22.7","Site Based"
"038620","","19.1","Site Based"
"005926","005926","65.6","Site Based"
"043224","043224","61.0","Site Based"
"009971","","100.0","Site Based"
"009970","","","Site Based"
"118257","","20.4","Site Based"
"009972","","23.9","Site Based"
"064758","","14.5","Site Based"
"019125","019125","57.6","Site Based"
"011692","","24.6","Site Based"
"049163","","","Site Based"
"040972","040972","68.4","Site Based"
"064741","064741","43.9","Site Based"
"139477","139477","53.6","Site Based"
"134247","134247","71.0","Site Based"
"011452","011452","49.4","Site Based"
"138743","","32.5","Site Based"
"008391","008391","71.8","Site Based"
"140822","140822","56.4","Site Based"
"140350","140350","59.5","Site Based"
"021584","","17.7","Site Based"
"008557","","20.0","Site Based"
"039602","","24.8","Site Based"
"023077","023077","59.2","Site Based"
"008003","","13.1","Site Based"
"008000","008000","86.7","Site Based"
"003707","003707","53.7","Site Based"
"013326","","21.2","Site Based"
"122069","","20.2","Site Based"
"007609","007609","67.0","Site Based"
"029595","029595","53.0","Site Based"
"003566","","15.0","Site Based"
"008953","008953","43.4","Site Based"
"014060","","100.0","Site Based"
"038190","038190","72.9","Site Based"
"022178","","22.8","Site Based"
"039032","039032","64.5","Site Based"
"012500","","16.0","Site Based"
"012501","","100.0","Site Based"
"022996","022996","62.1","Site Based"
"012042","","100.0","Site Based"
"151175","","100.0","ESchool"
"062000","062000","50.1","Site Based"
"035022","035022","46.2","Site Based"
"135863","","95.4","Site Based"
"019018","019018","51.9","Site Based"
"040188","040188","58.3","Site Based"
"133603","133603","54.8","Site Based"
"007930","","25.2","Site Based"
"037754","037754","48.6","Site Based"
"085076","085076","51.8","Site Based"
"007286","","17.4","Site Based"
"146175","146175","45.6","Site Based"
"038448","038448","70.3","Site Based"
"011434","","","Site Based"
"035436","035436","61.1","Site Based"
"046938","","","Site Based"
"146373","","35.4","Site Based"
"016089","016089","62.5","Site Based"
"002543","002543","56.4","Site Based"
"021097","","25.7","Site Based"
"038281","038281","60.4","Site Based"
"133421","","88.5","Site Based"
"006643","006643","64.5","Site Based"
"039800","039800","57.4","Site Based"
"008821","","49.4","Site Based"
"041020","","38.9","Site Based"
"013740","","100.0","Site Based"
"039578","039578","54.3","Site Based"
"013219","","15.2","Site Based"
"117879","","18.0","Site Based"
"003897","003897","54.5","Site Based"
"035279","035279","60.6","Site Based"
"012348","012348","44.8","Site Based"
"066456","066456","65.3","Site Based"
"030593","030593","59.3","Site Based"
"024919","024919","56.0","Site Based"
"041582","041582","53.9","Site Based"
"016154","","13.1","Site Based"
"040493","040493","46.0","Site Based"
"006882","006882","51.1","Site Based"
"025171","025171","60.5","Site Based"
"133736","","100.0","Site Based"
"118059","118059","53.2","Site Based"
"044263","","","Site Based"
"013698","013698","54.9","Site Based"
"025205","025205","48.3","Site Based"
"001701","","26.2","Site Based"
"012685","","","Site Based"
"133553","","","Site Based"
"021279","021279","69.4","Site Based"
"019877","019877","57.9","Site Based"
"134205","","","Site Based"
"050757","050757","54.9","Site Based"
"038372","038372","43.5","Site Based"
"007427","","20.7","Site Based"
"004861","","19.4","Site Based"
"151191","","100.0","Site Based"
"030916","030916","71.6","Site Based"
"040741","040741","23.2","Site Based"
"143610","","90.0","Site Based"
"042267","042267","51.3","Site Based"
"067835","","13.0","Site Based"
"017335","","20.0","Site Based"
"013102","","30.8","Site Based"
"041699","041699","58.9","Site Based"
"146381","","80.6","Site Based"
"111179","","92.9","Site Based"
"016550","016550","56.3","Site Based"
"020875","020875","61.5","Site Based"
"020701","020701","59.2","Site Based"
"021659","021659","62.0","Site Based"
"006080","006080","56.8","Site Based"
"132951","132951","80.4","Site Based"
"000547","000547","69.3","Site Based"
"000546","000546","100.0","Site Based"
"005082","005082","51.9","Site Based"
"000543","000543","100.0","Site Based"
"000541","","30.6","Site Based"
"016428","016428","29.8","Site Based"
"017939","017939","61.9","Site Based"
"042457","042457","71.8","Site Based"
"003665","003665","64.1","Site Based"
"148932","","71.4","Site Based"
"039156","","21.8","Site Based"
"025999","025999","40.1","Site Based"
"022640","","15.6","Site Based"
"021477","","17.3","Site Based"
"039628","","21.7","Site Based"
"142950","142950","82.5","ESchool"
"039396","","28.6","Site Based"
"033225","","95.8","Site Based"
"039867","","96.6","Site Based"
"029520","029520","48.8","Site Based"
"035865","","36.9","Site Based"
"066837","","26.3","Site Based"
"030536","030536","70.7","Site Based"
"002766","002766","55.8","Site Based"
"000949","","100.0","Site Based"
"111138","","12.2","Site Based"
"016337","016337","54.5","Site Based"
"045054","","","Site Based"
"061457","","21.9","Site Based"
"000943","","100.0","Site Based"
"000942","","86.5","Site Based"
