"School IRN","School Name","Street Address","City","State","Postal Code","Virtual","Avg Grade","Public Funding","% Spent in Classroom","Avg Teacher Experience"
"012671","Constellation Schools: Eastside Arts Academy","6700 Lansing Ave","Cleveland","OH","44105-3756","Site Based","D","606899.02","90.97","0"
"011470","A.B. Graham Academy","370 E Main St","Saint Paris","OH","43072-9200","Site Based","D","1563023.78","91.89","--"
"012090","Academy of New Media Middle","2202 S Hamilton Rd","Columbus","OH","43232-4304","Site Based","F","554218.66","86.20","3"
"133660","Horizon Science Academy Columbus","1070 Morse Rd","Columbus","OH","43229-6290","Site Based","A","2689178.87","88.46","7"
"013233","Southern Ohio Academy","522 Glenwood Ave","New Boston","OH","45662-5505","Site Based","NR","479044.78","50.00","--"
"013232","A+ Children's Academy","100 Obetz Rd","Columbus","OH","43207-4031","Site Based","NR","538380.36","88.33","7"
"008065","Imani Learning Academy","728 Parkside Blvd","Toledo","OH","43607-3858","Site Based","F","903131.34","92.23","1"
"132746","Summit Acdy Comm Schl for Alternative Learners of Middletown","4700 Central Ave","Middletown","OH","45044-5354","Site Based","F","1514431.25","96.80","0"
"133280","Washington Park Community","4000 Washington Park Blvd","Newburgh Heights","OH","44105-3248","Site Based","F","1670401.92","91.89","8"
"000564","Virtual Schoolhouse, Inc.","736 Lakeview Rd","Cleveland","OH","44108-2608","Site Based","F","3756440.90","83.11","7"
"000560","Apex Academy","16005 Terrace Rd","Cleveland","OH","44112-2001","Site Based","F","4062495.97","91.77","5"
"143453","Mollie Kessler","118 E Wood St","Youngstown","OH","44503-1625","Site Based","F","668372.20","88.94","11"
"000634","Summit Academy Secondary School - Middletown","7 S Marshall Rd","Middletown","OH","45044-5375","Site Based","F","795340.17","96.76","5"
"000633","Summit Academy Toledo Learning Center","5115 Glendale Ave Ste N","Toledo","OH","43614-1801","Site Based","F","2323394.99","96.97","2"
"009181","Clay Avenue Community School","1030 Clay Ave","Toledo","OH","43608-2167","Site Based","F","3958355.61","82.59","4"
"012060","Akros Middle School","265 Park St","Akron","OH","44304-1305","Site Based","F","908050.55","92.44","5"
"012668","Garfield Academy","1379 Garfield Ave SW","Canton","OH","44706-5200","Site Based","F","1802148.26","85.32","2"
"009964","Sciotoville Elementary Academy","5540 3rd St","Sciotoville","OH","45662-5402","Site Based","C","1090918.94","87.72","5"
"012536","UBAH Math & Reading Academy","3850 Sullivant Ave","Columbus","OH","43228-4327","Site Based","NR","501007.10","84.91","0"
"133439","Cornerstone Academy Community","6015 E Walnut St","Westerville","OH","43081-9620","Site Based","C","3214051.79","82.71","2"
"013200","Nexus Academy of Toledo","600 Jefferson Ave","Toledo","OH","43604-1071","Site Based","NR","246420.69","83.08","25"
"013201","Nexus Academy of Columbus","4689 Hilton Corporate Dr","Columbus","OH","43232-4152","Site Based","NR","175796.01","84.56","28"
"143602","Hamilton Cnty Math & Science","2675 Civic Center Dr","Cincinnati","OH","45231-1311","Site Based","C","3026373.69","92.51","3"
"000825","Horizon Science Academy-Springfield","630 S Reynolds Rd","Toledo","OH","43615-6314","Site Based","F","3238337.81","87.71","3"
"000558","Columbus Preparatory Academy","3330 Chippewa St","Columbus","OH","43204-1653","Site Based","A","3763668.83","87.15","3"
"000559","Orion Academy","1798 Queen City Ave","Cincinnati","OH","45214-1427","Site Based","F","4335825.18","93.18","4"
"000553","Columbus Humanities, Arts and Technology Academy","1333 Morse Rd","Columbus","OH","43229-6322","Site Based","F","2078737.14","85.51","1"
"000556","A+ Arts Academy","270 S Napoleon Ave","Columbus","OH","43213-4235","Site Based","F","1978999.00","86.37","6"
"000557","Columbus Arts & Technology Academy","2255 Kimberly Pkwy E","Columbus","OH","43232-7210","Site Based","D","3121150.57","87.44","2"
"000951","Toledo Preparatory and Fitness Academy","20 Arco Dr","Toledo","OH","43607-2901","Site Based","B","1127830.75","100.00","0"
"000952","Columbus Preparatory and Fitness Academy","1258 Demorest Rd","Columbus","OH","43204-7003","Site Based","F","1289000.14","100.00","1"
"000953","Mt. Healthy Preparatory and Fitness Academy","7601 Harrison Ave","Cincinnati","OH","45231-3107","Site Based","F","1769023.80","100.00","0"
"000736","Phoenix Village Academy Primary 2","12601 Shaker Blvd","Cleveland","OH","44120-2041","Site Based","F","483475.04","100.00","2"
"000738","Phoenix Village Academy: Secondary I","12601 Shaker Blvd","Cleveland","OH","44120-2041","Site Based","NR","778638.73","100.00","6"
"133942","Toledo School For The Arts","333 14th St","Toledo","OH","43604-5459","Site Based","A","4078942.68","84.48","6"
"000608","Summit Academy Transition High School-Cincinnati","5800 Salvia Ave","Cincinnati","OH","45224-3029","Site Based","F","1004578.49","96.92","4"
"000609","Summit Academy Middle School - Lorain","346 Illinois Ave","Lorain","OH","44052-2106","Site Based","F","1554110.35","97.15","3"
"009283","Dayton Early College Academy, Inc","300 College Park","Dayton","OH","45469-0001","Site Based","B","2989997.28","90.08","6"
"009192","Foundation Academy","1050 Wyandotte Ave","Mansfield","OH","44906-1939","Site Based","F","2538175.39","71.70","2"
"009990","Horizon Science Academy Elementary School","2835 Morse Rd","Columbus","OH","43231-6033","Site Based","F","3417290.45","89.23","3"
"009997","KIPP:  Journey Academy","1406 Myrtle Ave","Columbus","OH","43211-1445","Site Based","F","2105874.92","84.56","0"
"009971","Ashland County Community Academy","716 Union St","Ashland","OH","44805-1823","Site Based","F","789543.91","84.65","0"
"134247","City Day Community School","318 S Main St","Dayton","OH","45402-2716","Site Based","F","1012918.22","84.88","2"
"008000","Mansfield Preparatory Academy of Excellence","3038 Leavitt Rd","Lorain","OH","44052-4112","Site Based","F","860445.07","80.94","2"
"012501","Beacon Hill Academy","PO Box 285","Mount Eaton","OH","44659-0285","Site Based","B","424766.39","94.83","11"
"133421","Graham School, The","3950 Indianola Ave","Columbus","OH","43214-3158","Site Based","F","1820849.82","88.75","4"
"133736","Richard Allen Academy","184 Salem Ave","Dayton","OH","45406-5804","Site Based","F","687489.82","98.54","1"
