"District IRN","District Name","County","Region","Gifted ","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"043745","Chillicothe City","Ross","Region 15","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0","94.7",">95.0","--","--",">95.0",">95.0",">95.0",">95.0","81.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--",">95.0","94.5",">95.0","213","7.8"
"043752","Cincinnati City","Hamilton","Region 13","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","94.4",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","91.2","91.6","2974","9.8"
"043760","Circleville City","Pickaway","Region 11","Gifted",">95.0",">95.0",">95.0",">95.0","91.2",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","92.6",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","348","16.9"
"043778","Claymont City","Tuscarawas","Region 12","Gifted",">95.0",">95.0",">95.0",">95.0","93.3",">95.0","93.3","87.5",">95.0",">95.0",">95.0",">95.0",">95.0","92.9",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","223","10.6"
"043786","Cleveland Municipal City","Cuyahoga","Region 3","Gifted","94.8",">95.0",">95.0",">95.0","84.6","84.0","78.4","93.6","87.7","94.2","90.1","94.0","91.8","79.9","94.0","85.3","91.1","85.0","79.8",">95.0","93.3",">95.0","93.0","88.4","92.6","86.8","91.6","2453","6.5"
"043794","Cleveland Heights-University Heights City","Cuyahoga","Region 3","Gifted",">95.0",">95.0",">95.0",">95.0","94.3","91.4","94.3",">95.0",">95.0",">95.0",">95.0",">95.0","94.8","80.9",">95.0",">95.0",">95.0",">95.0","93.4",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","94.3","860","15.3"
"043802","Columbus City","Franklin","Region 11","Gifted","95.0","92.4",">95.0","94.9","93.8","94.0","87.2",">95.0","91.4","91.1","84.4",">95.0","89.3","78.1",">95.0","87.6","95.0","91.1","82.9",">95.0","94.9",">95.0","94.4","89.0","93.6","88.0","92.7","6353","12.8"
"043810","Conneaut Area City","Ashtabula","Region 5","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","93.3","93.3",">95.0",">95.0",">95.0",">95.0",">95.0","94.1","94.1","88.2","94.1","88.2",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","94.4","93.9","172","10.0"
"043828","Coshocton City","Coshocton","Region 12","Gifted",">95.0",">95.0",">95.0","90.5","90.5","81.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","404","22.8"
"043836","Cuyahoga Falls City","Summit","Region 8","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","874","18.1"
"043844","Dayton City","Montgomery","Region 10","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0","92.5","87.5",">95.0",">95.0","90.6","62.6","93.0","80.9","72.0","92.3","88.5","91.0","89.1","79.5",">95.0","93.9",">95.0",">95.0","91.5",">95.0","86.7","93.5","1215","9.0"
"043851","Deer Park Community City","Hamilton","Region 13","Gifted",">95.0",">95.0",">95.0",">95.0","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","92.3",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","91.3",">95.0","175","14.2"
"043869","Defiance City","Defiance","Region 1","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","37","1.4"
"043877","Delaware City","Delaware","Region 11","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","1041","19.9"
"043885","Delphos City","Allen","Region 6","Gifted","--","--","--","--",">95.0",">95.0",">95.0","--","--","--","--",">95.0",">95.0",">95.0","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","76","6.9"
"043893","Dover City","Tuscarawas","Region 12","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","614","22.6"
"043901","East Cleveland City","Cuyahoga","Region 3","Gifted",">95.0",">95.0","92.3","92.3","80.0","72.0","68.0","93.8",">95.0","95.0","70.0","91.7","75.0","75.0","--","--","--","--","--","--","--","--","--","--",">95.0","90.0","--","131","5.3"
"043919","East Liverpool City","Columbiana","Region 5","Gifted",">95.0",">95.0",">95.0","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","135","6.3"
"043927","East Palestine City","Columbiana","Region 5","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--",">95.0","68","5.9"
"043935","Eaton Community City","Preble","Region 10","Gifted",">95.0",">95.0","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","197","9.0"
"043943","Elyria City","Lorain","Region 2","Gifted",">95.0",">95.0",">95.0",">95.0","94.5",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","797","13.0"
