"County","IRN","Organization Name","Student
Count","Student Count
At or Above 392","Percentage","Status as of 6/13/2014"
"Franklin","000779","Educational Academy for Boys & Girls","13.0","5.0","0.3846","Open"
"Hamilton","000781","Cincinnati Speech & Reading Intervention Center","39.0","21.0","0.5385","Open"
"Hamilton","000804","Horizon Science Academy-Cincinnati","26.0","17.0","0.6538","Open"
"Montgomery","000808","Horizon Science Academy-Dayton","37.0","18.0","0.4865","Open"
"Lucas","000825","Horizon Science Academy-Springfield","47.0","26.0","0.5532","Open"
"Cuyahoga","000838","Horizon Science Academy-Denison Middle School","26.0","14.0","0.5385","Open"
"Lucas","000843","Bennett Venture Academy","79.0","67.0","0.8481","Open"
"Mahoning","000855","Stambaugh Charter Academy","46.0","42.0","0.913","Open"
"Franklin","000875","Westside Academy","26.0","16.0","0.6154","Open"
"Hamilton","000909","V L T Academy","73.0","31.0","0.4247","Open"
"Licking","000941","Par Excellence Academy","14.0","14.0","1.0","Open"
"Cuyahoga","000946","Cleveland Community School","40.0","17.0","0.425","Open"
"Lucas","000951","Toledo Preparatory and Fitness Academy","27.0","26.0","0.963","Open"
"Franklin","000952","Columbus Preparatory and Fitness Academy","19.0","15.0","0.7895","Open"
"Hamilton","000953","Mt. Healthy Preparatory and Fitness Academy","36.0","28.0","0.7778","Open"
"Mahoning","007984","Youngstown Academy of Excellence","31.0","19.0","0.6129","Open"
"Cuyahoga","007995","Cleveland Arts and Social Sciences Academy","43.0","31.0","0.7209","Open"
"Lorain","008000","Lorain Preparatory Academy","42.0","28.0","0.6667","Open"
"Cuyahoga","008061","Arts and Science Preparatory Academy","16.0","12.0","0.75","Open"
"Lucas","008065","Imani Learning Academy","16.0","9.0","0.5625","Open"
"Cuyahoga","008278","Noble Academy-Cleveland","46.0","44.0","0.9565","Open"
"Franklin","008280","Noble Academy-Columbus","33.0","23.0","0.697","Open"
"Franklin","008281","South Scioto Academy","21.0","12.0","0.5714","Open"
"Cuyahoga","008286","Harvard Avenue Community School","66.0","42.0","0.6364","Open"
"Franklin","008287","Groveport Community School","101.0","74.0","0.7327","Open"
"Lucas","009147","Northpointe Academy","34.0","8.0","0.2353","Open"
"Cuyahoga","009149","Constellation Schools: Westside Community School of the Arts","44.0","41.0","0.9318","Open"
"Hamilton","009154","Cincinnati Leadership Academy","23.0","9.0","0.3913","Open"
"Franklin","009163","C.M. Grant Leadership Academy","11.0","5.0","0.4545","Open"
"Lucas","009164","Central Academy of Ohio","19.0","11.0","0.5789","Open"
"Lucas","009171","Star Academy of Toledo","24.0","15.0","0.625","Open"
"Lucas","009181","Clay Avenue Community School","72.0","48.0","0.6667","Open"
"Richland","009192","Foundation Academy","42.0","31.0","0.7381","Open"
"Franklin","009953","Sullivant Avenue Community School","49.0","26.0","0.5306","Open"
"Franklin","009954","Harrisburg Pike Community School","49.0","39.0","0.7959","Open"
"Lucas","009955","Madison Avenue School of Arts","103.0","72.0","0.699","Open"
"Montgomery","009957","Klepinger Community School","60.0","37.0","0.6167","Open"
"Scioto","009964","Sciotoville Elementary Academy","22.0","19.0","0.8636","Open"
"Franklin","009990","Horizon Science Academy Elementary School","78.0","65.0","0.8333","Open"
"Cuyahoga","010005","Horizon Science Academy Cleveland Elementary School","23.0","21.0","0.913","Open"
"Cuyahoga","010007","Horizon Science Academy Denison Elementary School","38.0","25.0","0.6579","Open"
"Franklin","010036","Cesar Chavez College Preparatory School","47.0","33.0","0.7021","Open"
"Hamilton","010180","Mount Auburn International Academy","38.0","31.0","0.8158","Open"
"Franklin","010182","Performance Academy Eastland","33.0","26.0","0.7879","Open"
"Lucas","010205","L. Hollingworth School for Talented and Gifted","44.0","30.0","0.6818","Open"
"Cuyahoga","011291","Village Preparatory School","89.0","72.0","0.809","Open"
"Summit","011381","Greater Summit County Early Learning Center","10.0","10.0","1.0","Open"
"Cuyahoga","011390","Bella Academy of Excellence","59.0","50.0","0.8475","Open"
"Franklin","011439","Renaissance Academy","27.0","12.0","0.4444","Open"
"Franklin","011468","Columbus Bilingual Academy-North","32.0","16.0","0.5","Open"
"Champaign","011470","A.B. Graham Academy","12.0","12.0","1.0","Open"
"Portage","011487","Falcon Academy of Creative Arts","50.0","47.0","0.94","Open"
"Harrison","011511","Lakeland Academy Community School","NC","NC","NC","Open"
"Lorain","011533","Horizon Science Academy Lorain","52.0","43.0","0.8269","Open"
"Cuyahoga","011923","Northeast Ohio College Preparatory School","38.0","27.0","0.7105","Open"
"Cuyahoga","011948","Imagine Cleveland Academy","16.0","6.0","0.375","Open"
"Richland","011967","Richland Academy School of Excellence","17.0","14.0","0.8235","Open"
"Montgomery","011976","Horizon Science Academy Dayton Downtown","28.0","16.0","0.5714","Open"
"Hamilton","011985","Theodore Roosevelt Public Community School","NC","NC","NC","Open"
"Mahoning","011986","Horizon Science Academy Youngstown","53.0","42.0","0.7925","Open"
"Lucas","011987","Horizon Science Academy Toledo Downtown","26.0","18.0","0.6923","Open"
"Franklin","012009","Zenith Academy East","35.0","22.0","0.6286","Open"
"Cuyahoga","012010","Cleveland College Preparatory School","33.0","27.0","0.8182","Open"
"Franklin","012011","Columbus Performance Academy","28.0","22.0","0.7857","Open"
"Cuyahoga","012026","Constellation Schools: Collinwood Village Academy","14.0","5.0","0.3571","Open"
"Cuyahoga","012030","Near West Intergenerational School","10.0","9.0","0.9","Open"
"Muskingum","012033","Foxfire Intermediate School","NC","NC","NC","Open"
"Stark","012052","Imagine on Superior","20.0","9.0","0.45","Open"
"Mahoning","012105","Southside Academy","29.0","13.0","0.4483","Open"
"Hamilton","012513","Cincinnati College Preparatory Academy East","34.0","22.0","0.6471","Open"
"Franklin","012536","UBAH Math & Reading Academy","27.0","12.0","0.4444","Open"
"Cuyahoga","012541","University of Cleveland Preparatory School","33.0","24.0","0.7273","Open"
"Montgomery","012545","Imagine Woodbury Academy","22.0","14.0","0.6364","Open"
"Cuyahoga","012556","Pearl Academy","39.0","24.0","0.6154","Open"
"Cuyahoga","012557","Woodland Academy","34.0","17.0","0.5","Open"
"Cuyahoga","012558","Global Village Academy","21.0","21.0","1.0","Open"
"Cuyahoga","012626","OAK Leadership Institute","NC","NC","NC","Open"
"Summit","012627","STEAM Academy of Akron","NC","NC","NC","Open"
"Franklin","012628","Imagine Integrity Academy","14.0","6.0","0.4286","Open"
"Lucas","012629","Great Expectations Elementary School","25.0","18.0","0.72","Open"
"Hamilton","012631","Impact Academy Cincinnati","NC","NC","NC","Open"
"Trumbull","012644","STEAM Academy of Warren","23.0","11.0","0.4783","Open"
"Stark","012668","Garfield Academy","31.0","12.0","0.3871","Open"
"Cuyahoga","012671","Constellation Schools: Eastside Arts Academy","14.0","7.0","0.5","Open"
"Cuyahoga","012684","Broadway Academy","36.0","13.0","0.3611","Open"
"Cuyahoga","012852","Citizens Academy East","46.0","40.0","0.8696","Open"
"Montgomery","012924","DECA PREP","59.0","55.0","0.9322","Open"
"Franklin","013030","Graham Primary School","26.0","19.0","0.7308","Open"
"Cuyahoga","013034","Village Preparatory School:: Woodland Hills Campus","50.0","35.0","0.7","Open"
"Cuyahoga","013132","Lake Erie College Preparatory School","29.0","21.0","0.7241","Open"
"Cuyahoga","013147","STEAM Academy of Warrensville Heights","11.0","6.0","0.5455","Open"
"Stark","013164","Believe to Achieve-Canton","24.0","10.0","0.4167","Open"
"Stark","013165","Believe To Achieve-Cleveland","36.0","17.0","0.4722","Open"
"Trumbull","013170","Hope Academy for Autism","NC","NC","NC","Open"
"Lucas","013173","Imagine Hill Avenue","18.0","15.0","0.8333","Open"
"Franklin","013174","Young Scholars Prep School","NC","NC","NC","Open"
"Lucas","013175","Kids Unlimited Academy","22.0","4.0","0.1818","Open"
"Lucas","013195","Academy of Educational Excellence","NC","NC","NC","Open"
"Franklin","013198","Brookwood Academy","NC","NC","NC","Open"
"Franklin","013232","A+ Children's Academy","12.0","9.0","0.75","Open"
"Cuyahoga","013253","Ohio College Preparatory School","36.0","21.0","0.5833","Open"
"Summit","013254","Akron Preparatory School","23.0","14.0","0.6087","Open"
"Stark","013255","Canton College Preparatory School","12.0","11.0","0.9167","Open"
"Hamilton","013864","Cincinnati Technology Academy","NC","NC","NC","Open"
"Lucas","013999","Rise & Shine Academy","NC","NC","NC","Open"
"Summit","014060","Brown Street Academy","10.0","2.0","0.2","Open"
"Cuyahoga","014061","Chapelside Cleveland Academy","51.0","32.0","0.6275","Open"
"Summit","014063","University Academy","13.0","8.0","0.6154","Open"
"Hamilton","014064","Winton Preparatory Academy","18.0","12.0","0.6667","Open"
"Cuyahoga","014065","Lincoln Park Academy","20.0","9.0","0.45","Open"
"Summit","014066","Main Street Preparatory Academy","NC","NC","NC","Open"
"Franklin","014090","Berwyn East Academy","16.0","12.0","0.75","Open"
"Lucas","014091","Hope Learning Academy of Toledo","NC","NC","NC","Open"
"Summit","014121","Imagine Leadership Academy","54.0","25.0","0.463","Open"
"Hamilton","014132","STEAM Academy of Cincinnati","11.0","5.0","0.4545","Open"
"Franklin","014136","Mosaica Online of Ohio","NC","NC","NC","Open"
"Franklin","014139","Imagine Columbus Primary School","15.0","4.0","0.2667","Open"
"Cuyahoga","014147","East Preparatory Academy","NC","NC","NC","Open"
"Cuyahoga","014187","East Academy","36.0","25.0","0.6944","Open"
"Lucas","014188","Discovery Academy","28.0","22.0","0.7857","Open"
"Cuyahoga","014189","West Park Academy","49.0","23.0","0.4694","Open"
"Butler","132746","Summit Acdy Comm Schl for Alternative Learners of Middletown","12.0","10.0","0.8333","Open"
"Greene","132761","Summit Academy Community School Alternative Learners -Xenia","15.0","7.0","0.4667","Open"
"Clark","132787","Springfield Academy of Excellence","33.0","21.0","0.6364","Open"
"Montgomery","132944","Miami Valley Academies","15.0","12.0","0.8","Open"
"Lorain","132951","Constellation Schools: Lorain Community Elementary","37.0","37.0","1.0","Open"
"Lorain","132969","Constellation Schools: Elyria Community","61.0","57.0","0.9344","Open"
"Cuyahoga","132993","Constellation Schools: Westpark Community Elementary","61.0","59.0","0.9672","Open"
"Cuyahoga","133215","Intergenerational School, The","30.0","27.0","0.9","Open"
"Cuyahoga","133256","Constellation Schools: Parma Community","83.0","82.0","0.988","Open"
"Cuyahoga","133280","Washington Park Community","25.0","24.0","0.96","Open"
"Stark","133306","Summit Academy Community School for Alternative Learn-Canton","16.0","6.0","0.375","Open"
"Lorain","133322","Summit Academy Community School Alternative Learners-Lorain","30.0","16.0","0.5333","Open"
"Hamilton","133330","T.C.P. World Academy","86.0","82.0","0.9535","Open"
"Franklin","133413","Electronic Classroom Of Tomorrow","278.0","147.0","0.5288","Open"
"Franklin","133439","Cornerstone Academy Community","54.0","49.0","0.9074","Open"
"Montgomery","133454","Dayton Leadership Academies-Dayton View Campus","45.0","20.0","0.4444","Open"
"Hamilton","133504","Phoenix Community Learning Ctr","42.0","33.0","0.7857","Open"
"Hamilton","133512","Cincinnati College Preparatory Academy","91.0","78.0","0.8571","Open"
"Cuyahoga","133520","Citizens Academy","70.0","70.0","1.0","Open"
"Summit","133538","Edge Academy, The","43.0","34.0","0.7907","Open"
"Franklin","133561","Millennium Community School","69.0","41.0","0.5942","Open"
"Summit","133587","Summit Academy Akron Elementary School","21.0","11.0","0.5238","Open"
"Hamilton","133678","Riverside Academy","33.0","18.0","0.5455","Open"
"Cuyahoga","133819","Lincoln Preparatory School","24.0","19.0","0.7917","Open"
"Mahoning","134072","Youngstown Community School","46.0","39.0","0.8478","Open"
"Cuyahoga","134098","Constellation Schools: Old Brooklyn Community Elementary","56.0","52.0","0.9286","Open"
"Lucas","134148","Aurora Academy","14.0","9.0","0.6429","Open"
"Cuyahoga","134197","Green Inspiration Academy","16.0","9.0","0.5625","Open"
"Summit","134213","Middlebury Academy","42.0","33.0","0.7857","Open"
"Summit","134221","Colonial Prep Academy","20.0","19.0","0.95","Open"
"Montgomery","134247","City Day Community School","22.0","11.0","0.5","Open"
"Hamilton","134288","East End Comm Heritage School","13.0","8.0","0.6154","Open"
"Franklin","142943","Focus Learning Academy of Northern Columbus","38.0","24.0","0.6316","Open"
"Lucas","142950","Ohio Virtual Academy","812.0","618.0","0.7611","Open"
"Cuyahoga","142968","Hope Academy Northcoast","39.0","20.0","0.5128","Open"
"Franklin","143172","International Acad Of Columbus","23.0","16.0","0.6957","Open"
"Franklin","143198","Great Western Academy","107.0","64.0","0.5981","Open"
"Montgomery","143206","Trotwood Fitness & Prep Acad","48.0","42.0","0.875","Open"
"Butler","143214","Middletown Fitness & Prep Acad","31.0","22.0","0.7097","Open"
"Marion","143305","Treca Digital Academy","31.0","16.0","0.5161","Open"
"Cuyahoga","143313","West Preparatory Academy","21.0","14.0","0.6667","Open"
"Lucas","143396","Alternative Education Academy","98.0","54.0","0.551","Open"
"Mahoning","143453","Mollie Kessler","NC","NC","NC","Open"
"Cuyahoga","143479","Constellation Schools: Puritas Community Elementary","35.0","32.0","0.9143","Open"
"Cuyahoga","143487","Constellation Schools: Stockyard Community Elementary","40.0","32.0","0.8","Open"
"Richland","143495","Constellation Schools: Mansfield Community Elementary","31.0","22.0","0.7097","Open"
"Lucas","143503","Lake Erie Academy","23.0","12.0","0.5217","Open"
"Montgomery","143529","North Dayton School Of Science & Discovery","69.0","54.0","0.7826","Open"
"Franklin","143537","Virtual Community School Of Ohio","25.0","18.0","0.72","Open"
"Lucas","143552","Eagle Academy","52.0","23.0","0.4423","Open"
"Montgomery","143560","Richard Allen Academy II","81.0","59.0","0.7284","Open"
"Butler","143578","Richard Allen Academy III","25.0","21.0","0.84","Open"
"Hamilton","143602","Hamilton Cnty Math & Science","61.0","53.0","0.8689","Open"
"Marion","148916","Marion City Digital Academy","NC","NC","NC","Open"
"Morrow","149047","Goal Digital Academy","NC","NC","NC","Open"
"Champaign","149062","Urbana Community School","NC","NC","NC","Open"
"Licking","149336","Southwest Licking Digital Acad","NC","NC","NC","Open"
"Lorain","151142","Lorain K-12 Digital Academy","NC","NC","NC","Open"
"Licking","151233","Lakewood Digital Academy","NC","NC","NC","Open"
