"District IRN","District Name","County","Region","Limited English Proficiency","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"043919","East Liverpool City","Columbiana","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043927","East Palestine City","Columbiana","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043935","Eaton Community City","Preble","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","20","0.9"
"043943","Elyria City Schools","Lorain","Region 2","LEP","--","--","50.0","50.0","--","--","--","60.0","60.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.0","--","--","91","1.5"
"043950","Euclid City","Cuyahoga","Region 3","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","25","0.5"
"043968","Fairborn City","Greene","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","95","2.3"
"043976","Fairview Park City","Cuyahoga","Region 3","LEP","90.0","70.0","--","--","90.0","80.0","60.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","75","4.3"
"043984","Findlay City","Hancock","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","99","1.8"
"043992","Fostoria City","Seneca","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.1","80.0","--","30","1.7"
"044008","Franklin City","Warren","Region 13","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11","0.4"
"044016","Fremont City","Sandusky","Region 1","LEP","78.6","71.4","92.9",">95.0","59.1","59.1","45.5","--","--","50.0","55.0","40.0","60.0","20.0","78.6","64.3","64.3","57.1","57.1","--","--","--","--","--","94.2","81.3","78.6","182","4.3"
"044024","Galion City","Crawford","Region 7","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044032","Gallipolis City","Gallia","Region 16","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044040","Garfield Heights City","Cuyahoga","Region 3","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","28","0.8"
"044057","Geneva Area City","Ashtabula","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.1","--","--","63","2.4"
"044065","Girard City School District","Trumbull","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044073","Grandview Heights City","Franklin","Region 11","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044081","Winton Woods City","Hamilton","Region 13","LEP","64.6","62.5","72.3","55.3","51.7","37.9","51.7","57.1","53.6","65.2","39.1","53.8","53.8","30.8","66.7","53.3","86.7","66.7","40.0","70.0","50.0","70.0","40.0","30.0",">95.0","72.7","63.6","418","12.2"
"044099","Greenville City","Darke","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","22","0.8"
"044107","Hamilton City","Butler","Region 13","LEP","69.4","72.2","76.5","66.7","65.3","65.3","57.1","63.2","55.3","69.0","58.6","77.8","77.8","16.7","71.4","64.3","71.4","64.3","35.7","85.7","92.9","78.6","85.7","57.1",">95.0","75.0","85.0","610","6.5"
"044115","Heath City","Licking","Region 11","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","11","0.7"
"044123","Hillsboro City","Highland","Region 14","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044131","Huron City","Erie","Region 2","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044149","Ironton City","Lawrence","Region 15","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044156","Jackson City","Jackson","Region 16","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044164","Kent City","Portage","Region 8","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.0","--","--","54","1.7"
"044172","Kenton City","Hardin","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044180","Kettering City","Montgomery","Region 10","LEP","76.9","69.2","66.7","72.2","--","--","--","--","--","60.0","70.0",">95.0","90.9","81.8","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","135","1.9"
"044198","Lakewood City","Cuyahoga","Region 3","LEP","63.0","56.5","66.7","39.4","42.0","48.0","32.0","44.4","59.3","61.9","57.1","52.9","70.6","32.4","51.5","60.6","48.5","42.4","33.3","65.2","56.5","47.8","52.2","39.1",">95.0","73.8","66.7","498","9.6"
