"District IRN","District Name","County","Region","Teachers Attendance Rate 2013-14","Average Years of Teacher Experience","Average Number of Full Time Teachers","Average Teacher Salary","Average Number of Full Time Teachers Who Have At Least a Bachelors","% of Teachers Who Have At Least a Bachelors","Average Number of Full Time Teachers Who Have At Least a Masters","% of Teachers Who Have At Least a Masters","% of Core Courses Taught by a Properly Certified Teacher","# of Core Courses Taught by a Properly Certified Teacher","Total # of Core Courses","% of Core Courses Taught by a Highly Qualified Teacher","# of Core Courses Taught by a Highly Qualified Teacher","% of Core Courses Taught by Teacher with a Temporary Certificate","# of Core Courses Taught by Teacher with a Temporary Certificate"
"045310","Coldwater Exempted Village","Mercer","Region 6","95.2","14","89","56158","88","98.9","70","78.6","99.3","433.0","436.0","100.0","436.0","0","0.0"
"045328","Columbiana Exempted Village","Columbiana","Region 5","96","12","64","45573","64","100.0","36","56.5","100","306.0","306.0","100.0","306.0","0","0.0"
"045336","Covington Exempted Village","Miami","Region 10","95.2","14","53","49291","53","100.0","28","53.2","99.6","284.0","285.0","100.0","285.0","0","0.0"
"045344","Crestline Exempted Village","Crawford","Region 7","95.6","15","47","46152","47","100.0","32","68.1","96","313.0","326.0","95.4","311.0","0","0.0"
"045351","Crooksville Exempted Village","Perry","Region 16","94.7","12","73","43855","73","100.0","42","58.1","98.2","270.0","275.0","100.0","275.0","0","0.0"
"045369","Fairport Harbor Exempted Village","Lake","Region 4","94.6","12","33","55987","33","100.0","19","58.2","84.9","141.0","166.0","1.2","2.0","0","0.0"
"045377","Georgetown Exempted Village","Brown","Region 14","95.5","12","63","46130","63","100.0","31","49.2","98.7","222.0","225.0","99.6","224.0","0","0.0"
"045385","Gibsonburg Exempted Village","Sandusky","Region 1","96.9","17","63","57302","62","98.4","47","74.7","100","392.0","392.0","100.0","392.0","0","0.0"
"045393","Granville Exempted Village","Licking","Region 11","93.8","13","150","59792","150","100.0","117","77.9","99.6","695.0","698.0","100.0","698.0","0","0.0"
"045401","Greenfield Exempted Village","Highland","Region 14","95.1","13","122","48170","122","100.0","65","53.1","100","697.0","697.0","100.0","697.0","0","0.0"
"045419","Hicksville Exempted Village","Defiance","Region 1","95.2","13","69","48317","69","100.0","39","57.1","100","419.0","419.0","100.0","419.0","0","0.0"
"045427","Hubbard Exempted Village","Trumbull","Region 5","95","17","109","54241","109","100.0","69","62.9","96.6","539.0","558.0","100.0","558.0","0","0.0"
"045435","Indian Hill Exempted Village","Hamilton","Region 13","96.5","11","151","71023","151","100.0","98","64.8","96.5","642.0","665.0","100.0","665.0","0","0.0"
"045443","Leetonia Exempted Village","Columbiana","Region 5","94.5","20","50","45766","50","99.6","32","64.1","100","217.0","217.0","100.0","217.0","0","0.0"
"045450","Lisbon Exempted Village","Columbiana","Region 5","95.3","18","70","53050","70","99.4","46","65.5","99.7","351.0","352.0","100.0","352.0","0","0.0"
"045468","Loudonville-Perrysville Exempted Village","Ashland","Region 7","95.9","17","80","51788","79","98.8","53","66.3","100","373.0","373.0","100.0","373.0","0","0.0"
"045476","Marysville Exempted Village","Union","Region 11","95.6","12","294","59295","294","100.0","226","76.9","100","1330.0","1330.0","99.8","1327.0","0","0.0"
"045484","Mechanicsburg Exempted Village","Champaign","Region 6","93.4","19","55","49430","55","100.0","36","65.9","99.6","224.0","225.0","100.0","225.0","0","0.0"
"045492","Mentor Exempted Village","Lake","Region 4","97.2","16","495","69559","495","100.0","383","77.4","99.5","2126.0","2137.0","100.0","2136.0","0","0.0"
"045500","Milford Exempted Village","Clermont","Region 13","96.2","12","366","60387","364","99.5","293","80.2","100","2118.0","2118.0","100.0","2118.0","0","0.0"
