"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Mobility Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"014639","Greenville Junior High School","044099","Greenville City","Darke","Region 10","Open","014621","Junior High School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"014639","Greenville Junior High School","044099","Greenville City","Darke","Region 10","Open","014621","Junior High School","Longevity1to2","--","--","--","--","--","--","--","--","--","90.9","63.6","78.4","67.6","56.8","--","--","--","--","--","--","--","--","--","--","94.2","--","--","62","15.4"
"014639","Greenville Junior High School","044099","Greenville City","Darke","Region 10","Open","014621","Junior High School","Longevity3orMore","--","--","--","--","--","--","--","--","--","84.0","79.0","89.0","84.8","69.5","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","331","82.3"
"014654","Greenwood Early Learning Center","050013","Green Local","Summit","Region 8","Open","008252","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"014654","Greenwood Early Learning Center","050013","Green Local","Summit","Region 8","Open","008252","Elementary School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","248","93.9"
"014654","Greenwood Early Learning Center","050013","Green Local","Summit","Region 8","Open","008252","Elementary School","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","11","4.2"
"014662","Grill Elementary School","044552","Norton City","Summit","Region 8","Open","028027","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"014662","Grill Elementary School","044552","Norton City","Summit","Region 8","Open","028027","Elementary School","Longevity1to2",">95.0","80.0","92.9","78.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","132","59.5"
"014662","Grill Elementary School","044552","Norton City","Summit","Region 8","Open","028027","Elementary School","Longevity3orMore","85.7","88.6",">95.0","94.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","84","37.8"
"014688","Grove Patterson Academy Elementary School","044909","Toledo City","Lucas","Region 1","Open","035865","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
