"School IRN","School Name","Street Address","City","State","Postal Code","Virtual","Open Status","Avg Grade","Letter grade performance index","Public Funding","% Spent in Classroom","Avg Teacher Experience"
"014005","Secor Gardens Academy","3319 Nebraska Ave","Toledo","OH","43607-2819","Site Based","Closed","NA","NA","150327.16","NA","NA"
"009154","Cincinnati Leadership Academy","7243 Eastlawn Dr","Cincinnati","OH","45237-3515","Site Based","Open","D-","F","1612485.39","84.4","9"
"008286","Harvard Avenue Community School","12000 Harvard Ave","Cleveland","OH","44105-5444","Site Based","Open","D-","D","3716255.75","80.8","5"
"008287","Groveport Community School","4485 S Hamilton Rd","Groveport","OH","43125-9334","Site Based","Open","C+","C","5656120.72","88.0","6"
"008280","Noble Academy-Columbus","1329 Bethel Rd","Columbus","OH","43220-2611","Site Based","Open","C+","C","1805013.65","92.2","3"
"008281","South Scioto Academy","707 E Jenkins Ave","Columbus","OH","43207-1318","Site Based","Open","C-","D","1409323.58","83.5","3"
"012545","Imagine Woodbury Academy","100 E Woodbury Dr","Dayton","OH","45415-2841","Site Based","Open","D","D","1221732.41","99.6","2"
"134197","Green Inspiration Academy","4265 Northfield Rd","Highland Hills","OH","44128-2811","Site Based","Open","D+","D","1166152.49","96.8","7"
"010036","Cesar Chavez College Preparatory School","1465 Oakland Park Ave","Columbus","OH","43224-3509","Site Based","Open","D","D","1703549.76","81.2","1"
"013962","Liberty Preparatory School","741 Winkler Dr","Wooster","OH","44691-1652","Site Based","Open","NA","NA","96714.47","NA","0"
"013967","Cincinnati Learning Schools","5641 Belmont Ave","Cincinnati","OH","45224-3101","Site Based","Open","F","D","1093721.22","NA","4"
"133512","Cincinnati College Preparatory Academy","1425 Linn St","Cincinnati","OH","45214-2605","Site Based","Open","D+","C","6124366.05","86.5","7"
"013147","STEAM Academy of Warrensville Heights","4700 Richmond Rd Ste 3000","Warrensville Heights","OH","44128-5984","Site Based","Open","C-","D","511666.24","NA","0"
"013146","STEAM Academy of Dayton","545 Odlin Ave","Dayton","OH","45405-2743","Site Based","Open","D","D","1117831.99","NA","0"
"013148","Stepstone Academy","2121 E 32nd St","Cleveland","OH","44115-2747","Site Based","Open","NA","NA","1598491.00","85.7","6"
"000509","Whitehall Preparatory and Fitness Academy","3474 E Livingston Ave","Columbus","OH","43227-2279","Site Based","Open","F","D","1918960.58","100.0","0"
"013034","Village Preparatory School:: Woodland Hills Campus","9201 Crane Ave","Cleveland","OH","44105-1627","Site Based","Open","D-","D","2276749.20","79.5","3"
"013030","Graham Primary School","3950 Indianola Ave","Columbus","OH","43214-3167","Site Based","Open","C-","B","808559.23","58.5","0"
"000875","Westside Academy","4330 Clime Rd North","Columbus","OH","43228-3439","Site Based","Open","D+","D","1203134.19","90.5","0"
"143560","Richard Allen Academy II","184 Salem Ave","Dayton","OH","45406-5804","Site Based","Open","F","D","2708750.83","98.8","4"
"143214","Middletown Fitness & Prep Acad","816 2nd Ave","Middletown","OH","45044-4201","Site Based","Open","C","C","1987172.74","100.0","3"
