"District IRN","Name","Address","City","State","Postal Code","Avg Teacher Exp","% of teachers with masters degrees","Teacher attendance %","# of students","# of FT teachers","Student-teacher ratio","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white","% enrolled less than 3 years","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","State Funding per Student","Charter cost per student","Charter cost per classroom","% Spent in Classroom","% Spent on Administration","Community School Transfer","Funding per Student","Third Grade Reading Student Count","Third Grade Reading Student Count At or Above 392","Third Grade Reading Percentage","Read 3rd Grade % at or above Proficient","TOTAL CALCULATED STATE FUNDING","TOTAL ADDITIONAL AID ITEMS","TOTAL ADM","Letter grade of four year graduation rate"
"047456","McComb Local","328 S Todd St","McComb","OH","45858-0877","14","69.2","93.6","663.0","53","12.5","38.9","12.4","5.3","84.9","15.1","25.6","C","B","99.092","C","NA","B","C","D","95.7","90.1","5342.93","24.07","601.85","94.0","6.0","-93561.45","5552.816098103538","45.0","45","100.0","100.0","3814590","129409","710","B"
"065680","Gallia County Local","4836 State Route 325","Patriot","OH","45658-8960","14","43.0","95","2198.0","142","15.5","55.1","17.0","12.6",">95.0","<5.0","35.0","B","B","99.612","C","F","A","C","C","94.2","89.4","4312.36","54.68","1367.04","91.4","8.6","-416261.25","4464.343090050409","147.0","141","95.9","95.9","10436846","225970","2388","B"
"049197","Field Local","2900 State Route 43","Mogadore","OH","44260-9715","13","63.6","95.2","2223.0","150","14.8","26.3","13.1","14.5","92.4","7.6","46.0","B","B","100.465","B","D","C","B","D","95.5","93.7","2155.85","448.31","11207.74","90.4","9.6","-1584699.40","2696.7716416008157","177.0","173","97.7","97.7","6215954","131707","2354","A"
"049627","Minford Local","PO Box 204","Minford","OH","45653-0204","16","68.1","95.1","1524.0","96","15.9","53.5","15.8","26.3",">95.0","<5.0","34.1","C","B","99.424","A","A","C","A","C","94.9","98.9","6735.13","12.42","310.42","93.6","6.4","-503059.43","6870.869269671701","83.0","83","100.0","100.0","9502010","171212","1408","A"
"047332","Finneytown Local","8916 Fontainebleau Ter","Cincinnati","OH","45231-4806","15","73.7","96.2","1434.0","91","15.8","46.8","15.2","21.3","44.1","55.9","48.6","D","B","98.417","B","C","D","C","D","96.2","91.5","3435.78","149.17","3729.37","92.8","7.2","-447478.83","3690.7522936971213","89.0","89","100.0","100.0","5535129","148961","1540","B"
"050435","Kings Local","1797 King Ave","Kings Mills","OH","45034","17","66.9","95.7","3936.0","252","15.6","18.9","13.2","13.5","87.0","13.0","37.7","A","B","106.143","A","B","D","D","B","96.3","93.6","1539.27","102.68","2566.88","94.4","5.6","-538191.15","1715.1354305218683","264.0","263","99.6","99.6","6721151","293615","4090","A"
"044826","Steubenville City","PO Box 189","Steubenville","OH","43952-5189","16","61.2","96.9","2281.0","163","14.0",">95.0","17.2","15.3","60.0","40.0","37.9","C","B","99.497","F","F","C","B","B","95.1","89.7","6147.82","17.77","444.35","94.0","6.0","-637809.90","6236.5125365967315","155.0","154","99.4","99.4","12173708","138540","1974","B"
"044735","Salem City","1226 E State St","Salem","OH","44460-2222","14","65.4","95.3","2084.0","126","16.5","54.6","15.0","10.5","94.5","5.5","40.2","B","B","99.31","A","F","A","A","C","94.7","87.7","2994.40","105.11","2627.76","93.1","6.9","-422477.00","3193.4270113752013","135.0","134","99.3","99.3","6885718","205670","2221","C"
"043687","Bucyrus City","170 Plymouth St","Bucyrus","OH","44820-1627","14","69.3","93.8","1403.0","104","13.5","67.1","26.2","12.1","92.7","7.3","37.4","F","C","92.472","A","C","A","B","F","95.0","81.2","5018.24","177.41","4435.36","91.5","8.5","-914091.21","5367.423630134959","96.0","94","97.9","97.9","8801473","270170","1690","D"
"000442","Manchester Local","130 Wayne Frye Dr","Manchester","OH","45144-9314","13","58.9","96","815.0","58","14.1",">95.0","18.7","3.2",">95.0","<5.0","36.3","C","B","97.908","D","NA","C","C","D","95.0","98.0","1604.37","162.99","4074.64","92.2","7.8","-181938.35","1829.460386194886","61.0","61","100.0","100.0","1503624","51107","850","A"
"050278","Garaway Local","146 Dover Rd NW","Sugarcreek","OH","44681-9309","14","57.1","96.8","1208.0","70","17.3","33.8","12.9","10.8",">95.0","<5.0","32.5","A","B","102.659","F","C","C","C","C","96.7","92.6","2289.47","125.11","3127.65","93.4","6.6","-255575.31","2502.117236056057","87.0","87","100.0","100.0","3008945","103013","1244","B"
"049510","Paint Valley Local","7454 Us Highway 50 W","Bainbridge","OH","45612-9708","15","68.7","94.7","876.0","70","12.5",">95.0","15.1","6.6",">95.0","<5.0","33.7","D","C","91.542","F","C","F","F","F","94.8","88.3","7051.16","-17.29","-432.14","94.4","5.6","-290707.67","7147.077500856975","56.0","55","98.2","98.2","6981941","106959","992","C"
"045153","Xenia Community City","819 Colorado Dr","Xenia","OH","45385-4859","12","76.2","94.9","4303.0","252","17.1","59.2","14.8","17.5","74.2","25.8","38.4","D","C","93.302","A","A","C","B","F","94.7","86.9","3583.29","227.80","5694.95","93.8","6.2","-2363635.71","4043.658312034233","285.0","280","98.2","98.2","18867190","655835","4828","C"
"046599","Richmond Heights Local","447 Richmond Rd","Richmond Heights","OH","44143-1429","8","48.6","92","782.0","74","10.6","45.9","18.9","3.7","6.4","93.6","62.3","F","D","83.577","F","NA","C","B","F","95.4","79.5","510.98","696.72","17417.98","90.8","9.2","-774492.93","1332.7251254680154","44.0","43","97.7","97.7","1232318","106058","1004","D"
"045526","Montpelier Exempted Village","PO Box 193","Montpelier","OH","43543-0193","11","55.4","94.6","976.0","65","15.0","53.9","17.1","10.7","94.6","5.4","34.3","C","B","97.915","C","D","C","C","D","94.5","88.7","5185.52","69.27","1731.78","92.7","7.3","-218930.67","5325.0828526325195","61.0","61","100.0","100.0","5294620","68857","1007","C"
