"District IRN","Name","Address","City","State","Postal Code","Avg Teacher Exp","% of teachers with masters degrees","Teacher attendance %","# of students","# of FT teachers","Student-teacher ratio","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white","% enrolled less than 3 years","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","State Funding per Student","Charter cost per student","Charter cost per classroom","% Spent in Classroom","% Spent on Administration","Community School Transfer","Funding per Student","Third Grade Reading Student Count","Third Grade Reading Student Count At or Above 392","Third Grade Reading Percentage","Read 3rd Grade % at or above Proficient","TOTAL CALCULATED STATE FUNDING","TOTAL ADDITIONAL AID ITEMS","TOTAL ADM","Letter grade of four year graduation rate"
"050518","Wolf Creek Local","PO Box 67","Waterford","OH","45786-0067","18","62.6","95.4","644.0","43","15.0","29.3","12.7","8.7",">95.0","<5.0","36.9","B","B","99.735","D","D","F","D","D","96.1","100.0","2690.46","53.56","1338.96","92.3","7.7","-56157.20","2840.6819806355193","40.0","40","100.0","100.0","1689913","58697","616","A"
"047571","Holgate Local","801 Joe E Brown Ave","Holgate","OH","43527-9802","11","46.3","94.6","484.0","41","11.8","36.2","12.0","15.3","85.5","14.5","34.3","B","B","102.253","A","C","A","A","A","95.7","96.8","5516.12","17.57","439.29","93.0","7.0","-52860.00","5644.508719182201","26.0","26","100.0","100.0","2577588","50721","466","A"
"047274","Bellbrook-Sugarcreek Local","3757 Upper Bellbrook Rd","Bellbrook","OH","45305-8750","19","77.6","95.8","2525.0","134","18.8","17.0","8.9","25.0","87.0","13.0","32.8","A","A","108.619","A","C","A","A","B","96.6","98.4","2093.95","133.30","3332.51","94.5","5.5","-464514.90","2330.1972950499885","178.0","176","98.9","98.9","5686985","226054","2538","A"
"047902","Perry Local","4325 Manchester Ave","Perry","OH","44081-9413","14","63.2","94.8","1764.0","114","15.5","26.5","10.3","30.2","88.2","11.8","31.0","B","B","103.402","B","B","A","C","D","96.1","93.6","399.38","59.08","1476.98","94.5","5.5","-114480.79","528.3068844807467","108.0","108","100.0","100.0","822456","123810","1791","A"
"045476","Marysville Exempted Village","1000 Edgewood Dr","Marysville","OH","43040-2105","12","76.9","95.6","4718.0","294","16.0","24.2","18.2","15.6","93.0","7.0","29.2","A","B","101.588","A","A","A","B","D","95.3","92.6","2968.94","99.28","2482.05","93.9","6.1","-908640.97","3177.519109288861","380.0","380","100.0","100.0","16190032","565312","5273","B"
"049247","Waterloo Local","1464 Industry Rd","Atwater","OH","44201-9349","13","57.5","95.7","1133.0","72","15.7","35.6","15.6","3.3",">95.0","<5.0","36.2","C","B","99.025","C","NA","B","C","B","94.3","88.9","4629.65","4.35","108.73","93.2","6.8","-210332.58","4783.775654110224","86.0","83","96.5","96.5","5796537","132809","1239","C"
"044982","Wapakoneta City","1102 Gardenia Dr","Wapakoneta","OH","45895-1063","16","76.0","95.6","3095.0","155","20.0","42.6","14.5","12.7",">95.0","<5.0","34.3","B","B","100.386","A","B","B","B","B","95.6","94.8","4355.22","42.17","1054.36","93.7","6.3","-349828.01","4490.107107280523","242.0","241","99.6","99.6","14220781","293311","3232","A"
"050583","Southeast Local","9048 Dover Rd","Apple Creek","OH","44606-9408","15","64.6","96.3","1511.0","90","16.8","44.7","15.2","12.2",">95.0","<5.0","38.3","B","B","103.219","C","C","D","C","B","95.4","97.8","2809.98","205.62","5140.46","92.9","7.1","-571451.88","3115.3311888460435","113.0","112","99.1","99.1","4584987","165395","1525","A"
"046714","Central Local","6289 Us Highway 127","Sherwood","OH","43556-9735","14","60.6","93.1","1091.0","72","15.2","38.6","14.6","9.7","94.5","5.5","29.5","A","B","104.828","A","A","A","B","B","96.2","97.8","5234.76","7.08","176.89","92.4","7.6","-68753.88","5330.76776059011","66.0","65","98.5","98.5","5856571","98323","1117","A"
"049239","Streetsboro City","9000 Kirby Ln","Streetsboro","OH","44241-1725","12","60.4","94.2","2115.0","132","16.0","37.5","13.1","12.6","79.1","20.9","42.3","C","B","98.519","A","B","C","C","F","96.5","92.1","1592.10","111.65","2791.24","92.7","7.3","-339890.42","1790.5141487042442","142.0","139","97.9","97.9","3916292","157342","2275","B"
"048637","Newton Local","PO Box 803","Pleasant Hill","OH","45359-0803","8","54.1","97","582.0","41","14.2","23.2","9.3","13.9","93.5","6.5","32.6","A","B","104.868","C","D","C","B","B","96.6","100.0","3884.06","17.46","436.42","91.8","8.2","-29299.50","3938.239933200736","39.0","39","100.0","100.0","2079405","19441","533","A"
"046870","Fairfield Union Local","6417 Cincinnati Zanesville Rd NE","Lancaster","OH","43130-9323","20","69.3","96.3","1985.0","101","19.7","37.6","11.1","9.1",">95.0","<5.0","36.0","C","B","99.358","F","F","D","F","F","96.1","94.4","4923.18","48.83","1220.72","93.6","6.4","-350615.43","5031.847268451819","102.0","102","100.0","100.0","9007038","108707","1812","A"
"046193","Graham Local","7790 US Highway 36","Saint Paris","OH","43072-9496","15","67.2","96.2","2234.0","103","21.7","33.1","14.0","6.3",">95.0","<5.0","38.6","D","C","93.758","F","C","F","F","F","95.8","87.5","4801.75","35.46","886.38","93.7","6.3","-289547.76","5267.698057273562","156.0","155","99.4","99.4","10231412","270218","1994","C"
"049726","Old Fort Local","PO Box 64","Old Fort","OH","44861-0064","11","36.8","96.6","472.0","33","14.3","29.2","15.9","6.6","92.2","7.8","38.3","A","B","103.782","A","NA","B","C","C","96.6","100.0","4541.15","21.76","544.08","90.5","9.5","-35290.32","4605.088235294117","33.0","33","100.0","100.0","1691266","15380","371","A"
"043661","Brunswick City","3643 Center Rd","Brunswick","OH","44212-3619","12","70.1","96.9","7388.0","394","18.8","24.3","10.1","22.5","91.6","8.4","29.7","A","B","102.625","D","C","C","C","D","95.8","92.9","2848.90","69.92","1747.94","94.3","5.7","-940516.59","2994.4322380748986","498.0","498","100.0","100.0","22081627","562240","7562","B"
"045781","Perry Local","4065 W. Lincoln Hwy","Gomer","OH","45809","14","53.5","94.5","872.0","50","17.4","75.0","12.2","2.5","59.4","40.6","49.4","D","C","94.925","C","C","D","A","F","94.9","88.0","2568.57","151.19","3779.82","93.7","6.3","-147932.39","2765.357986870897","61.0","52","85.2","85.2","1554396","25315","571","C"
"044800","South-Western City","3805 Marlane Dr","Grove City","OH","43123-9224","13","68.9","94.7","19734.0","1264","15.6","58.9","14.6","13.2","67.5","32.5","39.3","D","C","94.945","A","A","A","A","F","94.3","86.2","4175.98","265.45","6636.21","93.2","6.8","-15294792.58","4579.384553423059","1382.0","1288","93.2","93.2","98648549","2433305","22073","C"
"050013","Green Local","PO Box 218","Green","OH","44232-0218","12","76.6","93.4","3935.0","229","17.2","19.7","12.6","22.2","92.5","7.5","31.8","A","B","105.598","A","A","C","B","B","95.9","95.6","2422.23","70.72","1767.99","93.9","6.1","-481709.39","2563.7397961117217","306.0","306","100.0","100.0","10540508","283396","4222","A"
"044651","Port Clinton City","811 Jefferson St","Port Clinton","OH","43452-2415","5","53.1","95.6","1705.0","125","13.6","46.5","19.8","6.7","81.9","18.1","35.9","B","B","99.565","A","A","A","A","B","96.5","95.1","1408.35","108.19","2704.71","94.0","6.0","-241652.63","1645.0306123010091","117.0","112","95.7","95.7","2755879","235691","1819","A"
"044719","St Bernard-Elmwood Place City","105 Washington Ave","Saint Bernard","OH","45217-1317","13","46.6","96.6","947.0","76","12.5","79.8","18.4","5.5","57.9","42.1","57.1","F","C","91.868","D","NA","A","B","F","93.6","81.3","3281.58","157.73","3943.30","93.5","6.5","-296618.80","3594.839887765061","53.0","53","100.0","100.0","3109352","132043","902","D"
"046573","Olmsted Falls City","PO Box 38010","Olmsted Falls","OH","44138-0010","12","81.7","97.1","3645.0","206","17.7","17.8","11.9","20.2","92.2","7.8","30.3","A","B","106.457","A","C","C","C","B","96.2","95.4","2954.57","82.73","2068.29","93.7","6.3","-518702.75","3122.6169793462554","250.0","247","98.8","98.8","11334294","311787","3730","A"
"045302","Clyde-Green Springs Exempted Village","106 S Main St","Clyde","OH","43410-1633","16","75.9","96.1","2178.0","138","15.8","43.7","16.0","14.2","86.9","13.1","31.1","B","B","100.27","A","C","C","C","D","95.7","93.1","4640.34","69.82","1745.48","94.2","5.8","-405914.09","4792.720983893831","160.0","160","100.0","100.0","10271678","176022","2180","A"
"045278","Carrollton Exempted Village","252 3rd St NE","Carrollton","OH","44615-1236","14","58.6","94.1","2178.0","137","15.9","51.4","14.9","10.3",">95.0","<5.0","31.7","C","B","98.759","A","C","F","C","C","94.5","95.9","4597.68","33.31","832.74","93.7","6.3","-356805.08","4801.03817737704","151.0","144","95.4","95.4","10760832","383673","2321","A"
"045377","Georgetown Exempted Village","1043 Mount Orab Pike","Georgetown","OH","45121-8440","12","49.2","95.5","1009.0","63","16.0","58.9","12.9","5.4",">95.0","<5.0","42.1","D","B","97.005","A","NA","A","A","D","94.3","96.5","5061.02","26.37","659.22","93.1","6.9","-152566.86","5154.391126711935","72.0","70","97.2","97.2","5306441","67940","1043","A"
"045179","Zanesville City","160 N 4th St","Zanesville","OH","43701-3518","14","63.8","94.7","3312.0","200","16.6","76.9","22.5","5.1","69.2","30.8","40.2","F","C","84.851","F","D","F","F","F","94.1","92.4","4902.51","254.86","6371.43","94.6","5.4","-3030348.67","5234.423634883988","235.0","217","92.3","92.3","23327205","342649","4522","B"
"047993","Lakewood Local","PO Box 70","Hebron","OH","43025-0070","15","66.2","95.1","1941.0","154","12.6","51.1","15.5","14.9","94.6","5.4","39.1","C","B","97.46","A","B","A","A","D","95.2","89.0","2078.24","210.29","5257.15","92.9","7.1","-634996.45","2391.1387579239304","126.0","124","98.4","98.4","4619843","208345","2019","B"
"046276","Southeastern Local","226 Clifton Rd","South Charleston","OH","45368-9602","15","64.1","96.5","722.0","56","12.9","30.5","18.0","5.1",">95.0","<5.0","32.1","B","B","99.505","A","NA","C","D","D","95.7","96.9","4003.98","70.62","1765.38","94.3","5.7","-152743.25","4192.028747156912","53.0","53","100.0","100.0","3038559","76244","743","A"
"049122","Eastern Local","1170 Tile Mill Rd","Beaver","OH","45613-9435","12","64.2","94.7","800.0","55","14.5",">95.0","17.5","16.4",">95.0","<5.0","40.5","D","C","92.213","A","C","A","A","F","93.8","90.8","6804.76","4.87","121.64","93.9","6.1","-82380.85","6909.708539938939","56.0","50","89.3","89.3","6290847","91374","924","B"
"139303","Monroe Local","500 Yankee Rd","Monroe","OH","45050-1068","12","61.8","96.9","2538.0","122","20.8","29.3","10.6","17.1","85.1","14.9","42.6","A","B","102.518","A","C","A","A","D","96.1","95.0","2004.75","163.46","4086.38","93.6","6.4","-562116.75","2222.907790915338","177.0","171","96.6","96.6","5496405","132398","2532","A"
"045963","New Knoxville Local","345 S Main St","New Knoxville","OH","45871-0476","15","76.3","95.9","416.0","33","12.6","18.0","7.9","11.8",">95.0","<5.0","26.6","A","B","106.919","A","A","NA","NA","A","97.2","100.0","4841.98","12.69","317.13","92.5","7.5","-33493.35","4884.873485566137","21.0","21","100.0","100.0","1947576","11942","401","A"
"049346","Kalida Local","PO Box 269","Kalida","OH","45853-0269","22","65.4","95.8","617.0","41","15.0","11.7","11.7","15.1",">95.0","<5.0","26.0","A","A","108.04","A","A","B","NA","B","97.1","98.0","4083.47","45.28","1131.94","91.8","8.2","-58856.55","4248.543423483958","54.0","54","100.0","100.0","2458754","70404","595","A"
"048686","Jefferson Township Local","2625 S Union Rd","Dayton","OH","45417-5535","6","34.1","94.7","371.0","41","9.0",">95.0","19.1","5.9","13.2","86.8","64.4","F","D","81.743","C","NA","C","C","F","92.6","92.9","5573.77","347.77","8694.35","89.9","10.1","-1023607.46","6003.713475484","18.0","18","100.0","100.0","3586562","23111","601","B"
"045393","Granville Exempted Village","PO Box 417","Granville","OH","43023-0417","13","77.9","93.8","2416.0","150","16.1","6.6","11.9","47.4","94.4","5.6","29.5","A","A","108.623","A","A","A","C","C","96.1","96.5","2145.76","76.72","1917.91","94.0","6.0","-263042.12","2248.815271419359","160.0","160","100.0","100.0","5550858","63736","2497","A"
"048298","Austintown Local","700 S Raccoon Rd","Youngstown","OH","44515-3536","7","63.8","94.1","5350.0","309","17.3","47.5","13.0","8.5","81.3","18.7","38.3","C","B","96.946","F","F","D","F","F","94.4","91.4","3814.40","97.88","2447.09","94.2","5.8","-891573.33","3973.5907545668615","351.0","348","99.1","99.1","19475600","301597","4977","B"
"048520","Meigs Local","41765 Pomeroy Pike","Pomeroy","OH","45769-9411","15","43.2","94.9","1699.0","132","12.9",">95.0","14.2","10.6",">95.0","<5.0","36.0","D","C","90.632","F","F","D","C","F","93.6","86.3","8001.69","-34.94","-873.52","93.9","6.1","-386757.01","8071.335973428717","120.0","110","91.7","91.7","14661930","185939","1840","C"
"048835","East Muskingum Local","13505 John Glenn School Rd","New Concord","OH","43762-9702","17","60.3","96.6","2163.0","137","15.8","36.2","13.0","31.7",">95.0","<5.0","32.9","B","B","101.716","C","D","C","C","D","95.4","96.8","4346.50","42.24","1055.90","93.6","6.4","-273803.48","4437.506895896564","176.0","176","100.0","100.0","9010184","98553","2053","A"
"048975","Put-In-Bay Local","PO Box 659","Put In Bay","OH","43456-0659","21","86.0","94.2","62.0","14","4.4","NA","NA","30.6",">95.0","<5.0","0.0","NA","B","106.742","B","NA","NA","NA","A","95.2","NA","NA","0.00","0.00","91.8","8.2","0.00","374.6086153846154","NA","112","NA","NA","17689","6661","65","NA"
"049767","Botkins Local","PO Box 550","Botkins","OH","45306-0550","17","78.6","97.6","617.0","37","16.7","23.8","10.5","14.3",">95.0","<5.0","37.8","A","B","107.14","C","A","NA","C","C","96.3","100.0","5391.33","21.24","531.12","92.8","7.2","-35358.90","5525.5477","41.0","41","100.0","100.0","2165580","44639","400","A"
"049429","Crestview Local","1575 State Route 96","Ashland","OH","44805-9262","15","64.5","95.4","1092.0","82","13.3","40.1","12.5","10.2",">95.0","<5.0","33.1","B","B","100.953","C","C","F","F","C","95.9","95.8","5772.65","12.95","323.69","94.0","6.0","-231271.95","5801.871839858987","73.0","73","100.0","100.0","7088842","20887","1225","A"
"050161","Howland Local","8200 South St SE","Warren","OH","44484-2447","15","75.5","95","2809.0","184","15.3","31.2","11.2","18.7","87.0","13.0","34.8","B","B","102.456","C","C","D","D","B","95.0","91.4","1498.79","235.78","5894.54","93.5","6.5","-815493.41","1757.6140874880775","206.0","206","100.0","100.0","4978203","70755","2873","B"
"044255","London City","380 Elm St 2nd Fl","London","OH","43140-9220","6","37.8","95.9","1992.0","141","14.1","47.3","15.0","6.5","87.3","12.7","40.9","D","C","93.855","C","C","A","B","F","94.4","91.9","3303.35","224.31","5607.75","92.0","8.0","-950287.82","3639.695766062903","136.0","124","91.2","91.2","7762566","227003","2195","B"
"043612","Berea City","390 Fair St","Berea","OH","44017-2308","17","61.6","95.3","6589.0","428","15.4","34.8","16.1","15.9","78.2","21.8","33.1","C","B","99.962","F","D","C","F","D","95.4","92.7","908.39","173.03","4325.82","93.2","6.8","-1344955.60","1196.3088391667711","439.0","439","100.0","100.0","7266803","743537","6696","B"
"044628","Painesville City Local","58 Jefferson St","Painesville","OH","44077-3114","11","62.9","94.4","3025.0","182","16.6",">95.0","14.5","2.8","27.2","72.8","44.8","F","D","83.376","F","B","B","C","F","96.0","63.2","6163.97","125.24","3130.97","93.3","6.7","-1255330.36","6402.811396343593","220.0","205","93.2","93.2","20179794","357352","3208","F"
"045096","Willard City","110 S Myrtle Ave","Willard","OH","44890-1425","19","69.2","94.1","1621.0","102","15.9","60.4","13.9","2.3","72.8","27.2","41.2","D","C","93.08","A","D","C","B","F","95.3","83.7","4788.88","78.29","1957.24","91.4","8.6","-582860.08","4928.166696079945","90.0","80","88.9","88.9","8827422","108527","1813","D"
"044156","Jackson City","450 Vaughn St","Jackson","OH","45640-1944","15","60.1","95.8","2489.0","167","14.9","59.0","14.2","16.3",">95.0","<5.0","40.7","B","B","101.637","A","D","C","C","C","95.0","91.4","5599.72","43.16","1079.09","94.1","5.9","-647790.05","5683.071315093365","175.0","166","94.9","94.9","14400151","123279","2556","B"
"049882","Marlington Local","10320 Moulin Ave NE","Alliance","OH","44601-5906","14","59.5","95.5","2265.0","138","16.4","39.1","13.3","10.3","93.2","6.8","34.0","B","B","101.583","A","C","A","A","C","95.4","96.0","4064.53","60.45","1511.26","93.5","6.5","-380901.53","4223.872149684246","147.0","146","99.3","99.3","9684679","214388","2344","A"
"047050","Evergreen Local","14544 County Road 6","Metamora","OH","43540-9741","16","52.0","96.6","1192.0","96","12.4","30.0","19.9","12.5","92.1","7.9","32.2","B","B","100.326","A","B","A","C","B","96.0","94.9","3907.48","21.60","540.03","93.1","6.9","-84560.15","4082.82046127067","79.0","79","100.0","100.0","4517068","174092","1149","A"
"047720","New London Local","2 Wildcat Dr","New London","OH","44851-9262","13","48.2","94.9","756.0","67","11.3","33.9","14.6","7.1",">95.0","<5.0","40.6","C","B","98.19","A","B","A","B","C","94.0","90.2","5020.52","134.20","3354.91","93.5","6.5","-400973.95","5216.173896446096","60.0","55","91.7","91.7","5538749","63578","1074","B"
"045658","Wellington Exempted Village","201 S Main St","Wellington","OH","44090-1345","12","52.6","96","1245.0","87","14.3","37.8","15.7","16.1","91.6","8.4","32.7","D","B","96.096","B","C","C","C","D","94.7","88.7","3736.67","140.77","3519.25","92.4","7.6","-413270.76","3913.768942644173","68.0","68","100.0","100.0","5198599","46751","1340","C"
"049338","Jennings Local","PO Box 98","Fort Jennings","OH","45844-0098","28","79.9","96","382.0","26","14.7","19.9","13.4","15.4",">95.0","<5.0","32.4","B","B","103.08","C","C","NA","NA","B","97.0","97.1","5107.11","1.61","40.28","91.5","8.5","-5745.00","5179.464517045454","24.0","24","100.0","100.0","1798342","24829","352","A"
"047191","Kenston Local","17419 Snyder Rd","Chagrin Falls","OH","44023-2730","14","80.1","95.4","2960.0","195","15.2","12.2","7.6","12.4","90.0","10.0","29.4","A","A","108.061","F","A","F","C","B","97.0","94.0","1223.66","26.32","658.07","93.1","6.9","-97801.67","1302.495383132595","202.0","198","98.0","98.0","3709983","155016","2967","A"
"044784","Sidney City","750 S 4th Ave","Sidney","OH","45365-1163","15","78.2","96.2","3433.0","193","17.8","58.1","18.4","4.6","83.3","16.7","37.2","F","C","93.03","A","D","C","C","F","95.3","85.0","3933.58","57.04","1426.04","93.0","7.0","-601086.21","4142.11848690563","225.0","224","99.6","99.6","16273444","585268","4070","C"
"045872","Jefferson Area Local","121 S Poplar St","Jefferson","OH","44047-1328","14","61.3","94.9","1779.0","87","20.4","44.1","15.6","11.2",">95.0","<5.0","34.2","C","B","97.577","F","C","B","C","C","94.9","92.8","4229.82","102.24","2556.00","93.5","6.5","-508681.80","4413.4483751192265","117.0","116","99.1","99.1","7636636","137036","1761","B"
"048207","Anthony Wayne Local","PO Box 2487","Whitehouse","OH","43571-0487","12","71.9","96.3","4262.0","211","20.2","15.0","9.4","15.9","90.6","9.4","30.3","A","B","106.99","A","C","B","C","C","96.4","94.2","1317.54","131.84","3296.08","93.8","6.2","-695459.22","1489.9487329421288","334.0","334","100.0","100.0","6273782","223721","4361","A"
"048744","Valley View Local","59 Peffley St","Germantown","OH","45327-1021","11","88.3","94.7","1716.0","110","15.6","24.5","13.3","24.3","95.0","5.0","30.7","A","B","102.368","A","B","B","C","B","94.9","89.3","4159.05","33.15","828.73","95.4","4.6","-355625.15","4346.249859626419","117.0","116","99.1","99.1","7911974","215557","1870","B"
"046110","Lakota Local","5572 Princeton Rd","Liberty Township","OH","45011-9726","14","78.6","95.8","15947.0","789","20.2","19.7","10.7","37.2","73.6","26.4","31.1","A","B","105.256","A","A","A","B","F","98.5","94.7","2548.06","79.35","1983.78","94.1","5.9","-2088913.50","2705.5926757774855","1152.0","1146","99.5","99.5","42964748","1257272","16345","A"
"050708","North Baltimore Local","201 S Main St","North Baltimore","OH","45872-1354","14","48.9","95.3","673.0","41","16.4","52.6","21.2","12.6","88.0","12.0","31.4","D","C","94.202","F","NA","F","F","F","95.5","100.0","5092.28","134.42","3360.50","93.1","6.9","-238986.05","5485.776372131948","37.0","37","100.0","100.0","3755295","177732","717","A"
"048595","Fort Recovery Local","PO Box 604","Fort Recovery","OH","45846-0604","14","73.0","96.2","932.0","63","14.8","17.5","11.2","35.8",">95.0","<5.0","18.7","A","B","104.598","D","D","C","C","C","97.2","98.7","5328.37","0.45","11.19","94.3","5.7","-5830.29","5468.357644887492","64.0","63","98.4","98.4","4971225","124902","932","A"
"048371","Springfield Local","PO Box 549","New Middletown","OH","44442-0549","13","52.4","96.6","1079.0","73","14.8","33.5","11.0","5.7",">95.0","<5.0","31.0","A","B","104.514","D","F","C","C","B","96.2","94.1","3887.69","171.99","4299.87","91.5","8.5","-341290.66","4104.925595498156","69.0","69","100.0","100.0","4648474","49285","1144","A"
"049908","Northwest Local","2309 Locust St S","Canal Fulton","OH","44614-9389","15","72.1","95.8","1919.0","110","17.4","28.5","16.2","12.6",">95.0","<5.0","31.0","A","B","104.567","A","C","A","B","B","95.3","97.5","4103.86","62.52","1562.99","92.9","7.1","-320225.29","4251.54248238058","141.0","141","100.0","100.0","8519047","167704","2043","A"
"049395","Pandora-Gilboa Local","410 Rocket Ridge","Pandora","OH","45877-0389","23","51.6","95.6","530.0","41","12.9","21.9","12.3","13.8","93.8","6.2","28.1","B","B","103.491","A","C","NA","C","F","96.6","92.9","4733.95","16.44","411.02","92.7","7.3","-59748.00","4842.0804044294655","41.0","41","100.0","100.0","2763590","52370","582","B"
"045955","New Bremen Local","901 E Monroe St","New Bremen","OH","45869-9685","18","76.1","95.9","825.0","57","14.5","9.9","10.4","23.9",">95.0","<5.0","28.3","A","B","106.299","A","A","B","D","B","97.1","97.5","3988.83","4.04","101.09","93.7","6.3","-11030.40","4074.3699474306413","59.0","59","100.0","100.0","3175051","64643","795","A"
"043570","Bellaire Local","340 34th St","Bellaire","OH","43906-1589","13","71.8","93.3","1262.0","75","16.8","59.6","21.5","13.3","88.5","11.5","38.0","D","B","98.594","A","B","A","C","C","94.1","81.9","7041.24","27.49","687.20","89.8","10.2","-149300.50","7209.4468440822475","94.0","94","100.0","100.0","9757486","203734","1382","D"
"048843","Franklin Local","PO Box 428","Duncan Falls","OH","43734-0428","17","71.0","95.6","2044.0","146","14.0","53.9","12.9","15.5",">95.0","<5.0","31.1","C","B","98.66","A","C","C","B","C","94.7","98.0","5556.95","90.63","2265.84","94.1","5.9","-858717.12","5729.40625199333","154.0","150","97.4","97.4","12404473","170542","2195","A"
"043778","Claymont City","201 N 3rd St","Dennison","OH","44621-1237","12","61.1","95.5","2105.0","143","14.7","58.6","19.7","10.6","94.6","5.4","34.0","C","B","98.268","F","C","F","F","D","95.5","89.4","6310.02","-1.46","-36.59","95.1","4.9","-338238.70","6405.069104981241","149.0","149","100.0","100.0","13371297","200724","2119","B"
"045625","Upper Sandusky Exempted Village","800 N Sandusky Ave","Upper Sandusky","OH","43351-1032","21","63.1","95.4","1641.0","96","17.1","42.0","14.2","0.7","91.0","9.0","34.5","B","B","99.444","C","NA","C","C","C","96.4","94.0","3570.98","92.27","2306.68","92.6","7.4","-361469.53","3776.721065695652","108.0","108","100.0","100.0","6266134","185185","1708","A"
"044438","Napoleon Area City","701 Briarheath Ave Ste 108","Napoleon","OH","43545-1251","10","44.5","93.9","2068.0","121","17.1","41.6","16.4","2.0","86.0","14.0","41.1","B","B","99.432","A","C","B","C","F","96.7","92.7","3677.68","70.92","1772.92","94.2","5.8","-320658.99","3847.157105617978","116.0","116","100.0","100.0","8345101","214824","2225","B"
"045005","Warrensville Heights City","4500 Warrensville Center Rd","Warrensville Heights","OH","44128-4134","9","68.9","93.1","1432.0","121","11.8","79.1","24.5","1.8","NA","NA","59.4","F","D","72.05","D","NA","B","C","F","91.0","60.9","4254.00","557.16","13928.91","89.6","10.4","-3315395.87","4876.877918687584","78.0","61","79.5","79.5","10285521","101302","2130","F"
"048116","Avon Local","35573 Detroit Rd","Avon","OH","44011-1639","4","55.4","95.2","4172.0","213","19.6","10.4","10.4","32.9","88.5","11.5","32.8","A","B","107.389","A","A","B","B","B","96.3","93.8","731.11","112.30","2807.41","94.0","6.0","-544495.63","960.7188303379903","348.0","347","99.7","99.7","3574971","487169","4228","A"
"048447","River Valley Local","197 Brockelsby Road","Caledonia","OH","43314","11","65.8","95.9","2017.0","111","18.2","35.0","11.6","11.4","91.2","8.8","37.3","C","B","98.851","F","F","C","C","D","96.1","91.9","2734.80","196.07","4901.69","93.1","6.9","-588405.26","2980.7819675435394","151.0","149","98.7","98.7","5378490","93301","1836","B"
"044024","Galion City","470 Portland Way N","Galion","OH","44833-1115","20","66.7","96.1","1823.0","121","15.1","58.0","18.1","12.2","94.8","5.2","37.7","D","C","95.448","A","A","A","B","F","95.7","90.4","4603.89","124.01","3100.31","94.0","6.0","-818460.75","4883.354597131585","148.0","145","98.0","98.0","10144172","302104","2139","B"
"044537","North Ridgeville City","5490 Mills Creek Ln","North Ridgeville","OH","44039-2339","12","57.5","95.8","3561.0","234","15.2","21.4","13.8","14.3","90.3","9.7","33.6","B","B","101.238","A","A","C","C","D","95.4","88.8","1861.73","212.39","5309.71","94.5","5.5","-1225013.90","2208.0687148053903","280.0","278","99.3","99.3","8639334","532299","4154","C"
"049213","Rootstown Local","4140 State Route 44","Rootstown","OH","44272-9697","12","53.8","95.4","1214.0","74","16.4","25.4","14.7","18.0","94.1","5.9","36.7","B","B","102.441","F","C","C","C","C","95.4","97.1","3353.21","71.47","1786.79","93.5","6.5","-293392.02","3530.4871648470357","87.0","87","100.0","100.0","4521948","53740","1296","A"
"043984","Findlay City","1100 Broad Ave","Findlay","OH","45840-2651","13","63.8","95.1","5517.0","334","16.5","43.7","17.1","22.9","81.2","18.8","41.4","B","B","100.154","A","C","A","A","C","95.7","93.0","2915.81","186.23","4655.81","95.1","4.9","-1995133.20","3196.439219028037","379.0","374","98.7","98.7","18186421","531224","5856","A"
"047944","Rock Hill Local","2325A Co. Rd. 26","Ironton","OH","45638-8385","14","43.3","94.4","1482.0","110","13.5","68.0","20.4","5.6",">95.0","<5.0","33.7","D","C","95.731","A","D","D","C","D","94.1","88.6","7745.68","9.52","238.09","94.5","5.5","-175750.29","7831.426105108212","99.0","96","97.0","97.0","12223561","119472","1576","C"
"050559","Green Local","PO Box 438","Smithville","OH","44677-0438","9","63.7","96.2","1134.0","79","14.4","28.7","11.6","20.5",">95.0","<5.0","34.4","C","B","100.833","B","C","B","B","C","96.2","95.8","4498.19","40.38","1009.38","92.9","7.1","-181203.83","4594.017253857769","85.0","84","98.8","98.8","5081828","59658","1119","A"
"045435","Indian Hill Exempted Village","6855 Drake Rd","Cincinnati","OH","45243-2737","11","64.8","96.5","1794.0","151","11.9","5.9","8.4","55.0","82.4","17.6","35.2","A","A","111.222","A","A","C","A","B","96.4","97.2","457.46","71.87","1796.84","94.6","5.4","-143229.37","566.7126906688721","124.0","124","100.0","100.0","1011676","70960","1910","A"
"043976","Fairview Park City","21620 Mastick Rd # A","Fairview Park","OH","44126-3047","19","66.3","95.1","1726.0","107","16.1","22.7","11.8","18.3","86.6","13.4","36.3","B","B","99.459","D","C","B","D","F","95.1","90.8","990.57","131.37","3284.30","93.0","7.0","-271257.46","1172.801542636766","100.0","100","100.0","100.0","1964884","87811","1750","B"
"047431","Cory-Rawson Local","3930 County Road 26","Rawson","OH","45881-9609","15","71.1","96","630.0","44","14.3","46.3","18.1","8.9","94.1","5.9","36.2","D","C","94.752","D","C","C","D","F","95.7","100.0","4057.62","89.70","2242.44","91.0","9.0","-133912.03","4311.666318577373","38.0","38","100.0","100.0","2743591","105343","661","A"
