"School IRN","School Name","Address","City","State","Postal Code","County","District IRN","District Name","Grades Served","# of students","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","Read 3rd Grade % at or above Proficient","Letter grade of four year graduation rate","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white"
"008508","Falls Elementary School","200 Kimes Rd","Zanesville","OH","43701-8913","Muskingum","048884","West Muskingum Local","K-4","384","C","B","99.324","D","C","C","D","D","95.1","NA","88.4","NA","61.5","14.8","9.9","89.1","10.9"
"003756","Brookfield Middle School","614 Bedford Rd SE","Brookfield","OH","44403-9756","Trumbull","050120","Brookfield Local","5-8","340","F","C","94.129","F","NA","A","B","D","94.3","NA","NA","NA","57.1","15.0","5.3","91.2","8.8"
"089599","London Elementary School","380 Elm St","London","OH","43140-9220","Madison","044255","London City","K-5,P","999","F","C","93.806","A","B","A","A","F","94.4","NA","77.4","NA","52.4","18.3","5.0","87.4","12.6"
"028928","Ottoville Elementary School","PO Box 248","Ottoville","OH","45876-0248","Putnam","049387","Ottoville Local","K-6","250","A","B","106.341","C","B","NA","NA","A","97.9","NA","100.0","NA","12.8","15.6","13.2",">95.0","<5.0"
"008292","Defiance Middle School","629 Arabella St","Defiance","OH","43512-2856","Defiance","043869","Defiance City","6-8","587","D","C","92.281","F","F","F","C","F","95.4","NA","NA","NA","54.9","15.3","3.2","67.3","32.7"
"008290","Dennis","1695 S Main St","Springboro","OH","45066-1524","Warren","050427","Springboro Community City","1-5","1095","A","B","107.299","A","A","A","C","C","97.2","NA","97.0","NA","10.0","12.2","23.7","93.8","6.2"
"024042","Medill Elementary School","1151 James Rd","Lancaster","OH","43130-2052","Fairfield","044206","Lancaster City","K,1-5,SN","350","D","B","97.597","A","B","B","C","F","96.5","NA","94.6","NA","46.6","14.9","14.6","93.7","6.3"
"008294","Five Points","650 E Lytle 5 Points Rd","Centerville","OH","45458-5000","Warren","050427","Springboro Community City","1-5","1204","A","B","106.256","B","A","C","C","C","97.4","NA","94.3","NA","3.4","7.1","26.6","87.8","12.2"
"071068","Dover Middle School","2131 N Wooster Ave","Dover","OH","44622-2403","Tuscarawas","043893","Dover City","6-8","637","C","B","100.620","F","D","D","C","C","96.5","NA","NA","NA","33.8","13.5","25.9","91.8","8.2"
"008299","Dayton Boys Preparatory Academy","1923 W 3rd St","Dayton","OH","45417-2565","Montgomery","043844","Dayton City","P,K-8","342","F","D","71.473","D","NA","A","A","F","94.1","NA","55.6","NA",">95.0","14.0","NA","5.6","94.4"
