"District IRN","District Name","Street Address","City","State","Postal Code","Avg Grade","Letter grade performance index","Charter Transfer","% Spent in Classroom","Avg Teacher Experience","Community School Transfer"
"047639","Lynchburg-Clay Local","PO Box 515","Lynchburg","OH","45142-0515","B+","B","111379.25","93.5","12","-123856.05"
"045252","Caldwell Exempted Village","516 Fairground St","Caldwell","OH","43724-1175","D+","C","173464.54","92.9","15","-159393.24"
"046219","West Liberty-Salem Local","7208 US Highway 68 N","West Liberty","OH","43357-9663","C+","B","123885.90","93.3","14","-98815.35"
"047209","Ledgemont Local","16200 Burrows Rd","Thompson","OH","44086-9737","D","C","145622.93","90.7","15","-192308.40"
"044123","Hillsboro City","39 Willetsville Pike","Hillsboro","OH","45133-8277","B-","B","539876.56","95.2","13","-707932.84"
"049536","Union-Scioto Local","1565 Egypt Pike","Chillicothe","OH","45601-3974","D+","B","292868.29","92.8","7","-342164.41"
"046607","Solon City","33800 Inwood Dr","Solon","OH","44139-4133","A","A","210028.51","93.7","14","-198545.58"
"045484","Mechanicsburg Exempted Village","60 High St","Mechanicsburg","OH","43044-1071","A-","B","160684.39","92.3","19","-143705.51"
"049106","Westfall Local","19463 Pherson Pike","Williamsport","OH","43164-9745","D+","B","271891.59","92.5","7","-248460.24"
"049361","Miller City-New Cleveland Local","PO Box 38","Miller City","OH","45864-0038","B","A","7472.12","93.8","16","-10168.65"
"047027","Dublin City","7030 Coffman Rd","Dublin","OH","43017-1068","A","A","1232042.41","94.8","12","-1263878.49"
"046821","Vermilion Local","1230 Beechview Dr","Vermilion","OH","44089-1604","B-","B","326888.89","94.1","13","-277613.60"
"045807","Spencerville Local","600 School St","Spencerville","OH","45887-1293","B","B","125550.78","93.6","12","-106499.14"
"049445","Lucas Local","84 Lucas North Rd","Lucas","OH","44843-9532","B","B","79899.90","92.2","16","-66465.07"
"049692","Bettsville Local","PO Box 6","Bettsville","OH","44815-0006","D","C","60974.34","89.7","7","-74203.57"
"049155","Western Local","PO Box 130","Latham","OH","45646-0130","C","D","116280.78","92.9","13","-133433.87"
"044230","Lockland Local","210 N Cooper Ave","Cincinnati","OH","45215-3011","D+","D","207062.13","89.4","12","-233137.24"
"048264","Jonathan Alder Local","9200 US Route 42 S","Plain City","OH","43064","C+","B","327268.47","92.5","8","-313183.67"
"050062","Springfield Local","2410 Massillon Rd","Akron","OH","44312-4258","C","C","855509.13","94.3","15","-990055.83"
"043638","Bowling Green City","137 Clough St","Bowling Green","OH","43402-2901","C+","B","417282.28","93.7","14","-480889.13"
"044602","Oregon City","5721 Seaman St","Oregon","OH","43616-2631","C","B","755048.23","94.8","13","-956594.08"
"045328","Columbiana Exempted Village","700 Columbiana Waterford Rd","Columbiana","OH","44408-9499","B+","B","75555.85","92.3","12","-79127.15"
"048348","Poland Local","3199 Dobbins Rd","Poland","OH","44514-2327","B","B","128849.53","93.5","15","-162322.97"
"046854","Berne Union Local","506 N Main St","Sugar Grove","OH","43155-0187","C","B","119541.32","93.1","10","-88243.20"
"045633","Versailles Exempted Village","PO Box 313","Versailles","OH","45380-0313","A-","A","77535.03","92.3","10","-93576.80"
"048611","Bethel Local","7490 State Route 201","Tipp City","OH","45371-7316","C","B","160527.32","93.2","21","-201755.57"
"046508","Buckeye Central Local","938 S Kibler St","New Washington","OH","44854-9521","B-","B","187888.09","91.6","12","-165144.41"
"048165","Keystone Local","PO Box 65","Lagrange","OH","44050-0065","B-","B","382827.69","92.3","7","-364226.98"
"048009","Licking Heights Local","6539 Summit Rd SW","Pataskala","OH","43062-8767","B+","B","1164266.03","94.6","9","-1397456.99"
"044198","Lakewood City","1470 Warren Rd","Lakewood","OH","44107-3918","B-","B","2093421.94","95.2","12","-2516678.52"
"048215","Ottawa Hills Local","3600 Indian Rd","Toledo","OH","43606-2425","A-","A","40872.46","93.8","19","-41041.24"
"049841","Fairless Local","11885 Navarre Rd SW","Navarre","OH","44662-9485","A","B","238346.76","92.5","16","-304762.03"
"043752","Cincinnati City","PO Box 5381","Cincinnati","OH","45201-5381","F","C","52447253.03","91.7","18","-56673410.57"
"046136","New Miami Local","600 Seven Mile Ave","Hamilton","OH","45011-5748","D-","C","177663.19","92.3","9","-144445.15"
"050617","Edgerton Local","111 E River St","Edgerton","OH","43517-9623","C","B","106877.89","91.1","18","-84379.20"
"044040","Garfield Heights City","5640 Briarcliff Dr","Garfield Heights","OH","44125-4158","D+","D","1989950.09","91.3","10","-2360142.02"
"044511","North College Hill City","1731 Goodman Ave","Cincinnati","OH","45239-4844","C-","D","465186.23","94.7","10","-727237.96"
"045773","Elida Local","4380 Sunnydale St","Elida","OH","45807-9593","B-","B","686313.25","93.8","15","-796177.05"
"044693","Reading Community City","1301 Bonnell St","Reading","OH","45215-3322","D","B","226440.12","93.5","10","-275182.78"
"044289","Madeira City","7465 Loannes Dr","Cincinnati","OH","45243-1851","B+","A","84474.64","93.4","12","-56681.36"
"049999","Coventry Local","2910 S Main St","Akron","OH","44319-1849","B-","B","251993.07","94.0","14","-253786.82"
"050203","Lordstown Local","1824 Salt Springs Rd","Warren","OH","44481-9735","C","B","134065.30","91.3","13","-259842.44"
"048710","New Lebanon Local","320 S Fuls Rd","New Lebanon","OH","45345","B-","B","187176.35","94.0","15","-181578.16"
"044990","Warren City","105 High Street","Warren","OH","44481","D-","D","5848595.31","91.6","13","-6916670.72"
"049239","Streetsboro City","9000 Kirby Ln","Streetsboro","OH","44241-1725","C+","B","444106.74","92.7","12","-339890.42"
"047803","Indian Creek Local","587 Bantam Ridge Rd","Wintersville","OH","43953-4231","D","C","375077.69","93.1","19","-466710.48"
"047969","Symmes Valley Local","14778 State Route 141","Willow Wood","OH","45696-9015","C","B","63242.30","93.7","14","-35729.14"
"048488","Cloverleaf Local","8525 Friendsville Rd","Lodi","OH","44254-9706","B+","B","797896.72","94.0","13","-781556.56"
"046516","Colonel Crawford Local","PO Box 7","North Robinson","OH","44856-0007","B-","B","216045.27","93.3","19","-223168.29"
"046433","Crestview Local","44100 Crestview Rd Ste A","Columbiana","OH","44408-9660","B","B","126468.49","93.4","14","-119910.06"
"043919","East Liverpool City","810 W 8th St","East Liverpool","OH","43920-2302","D+","C","1146291.86","95.2","14","-1136676.02"
"047415","Arcadia Local","19033 State Route 12","Arcadia","OH","44804-9714","C","B","39076.83","92.6","13","-78536.38"
"046003","Shadyside Local","3890 Lincoln Ave","Shadyside","OH","43947-1319","D","B","56072.06","92.4","18","-43374.75"
"044461","New Boston Local","#1 Glenwood Tiger Trail","New Boston","OH","45662","D-","C","134284.99","90.5","14","-301088.90"
"050575","Northwestern Local","7571 N Elyria Rd","West Salem","OH","44287-9707","B-","B","196169.54","94.7","13","-158606.21"
"046979","Groveport Madison Local","5940 Clyde Moore Dr","Groveport","OH","43125-2009","F","C","9567319.40","92.0","9","-10600971.76"
